date,FU386000105.Q,FU385090005.Q,FU385050005.Q,FU155111003.Q,FU385012005.Q,FU385013005.Q,FU145020005.Q,FU385420005.Q,FU385000005.Q,FU384090005.Q,FU313011005.Q,FU383091005.Q,FU383020005.Q,FU383030005.Q,FU383034005.Q,FU382051005.Q,FU384022005.Q,FU383069105.Q,FU383061105.Q,FU383061705.Q,FU383062005.Q,FU383063005.Q,FU384023005.Q,FU383069005.Q,FU383065005.Q,FU383066005.Q,FU383064105.Q,FU383064205.Q,FU383070005.Q,FU153040005.Q,FU153050005.Q,FU383078005.Q,FU152090205.Q,FU103092005.Q,FU383090005.Q,FU384190005.Q,FU313111303.Q,FU713014003.Q,FU313112003.Q,FU384122005.Q,FU103169100.Q,FU313161105.Q,FU313161705.Q,FU383162005.Q,FU103163003.Q,FU384123005.Q,FU383168005.Q,FU383169005.Q,FU383165005.Q,FU153166000.Q,FU103164103.Q,FU383170005.Q,FU313140003.Q,FU143178005.Q,FU112090205.Q,FU143192005.Q,FU383190005.Q,FU387005005.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,82509.00,90925.00,81053.00,22947.00,15992.00,36456.00,5658.00,0.00,9872.00,36172.00,399.00,-41.00,-757.00,2478.00,0.00,0.00,2364.00,182.00,1701.00,144.00,293.00,44.00,3543.00,1324.00,1312.00,907.00,915.00,148.00,2202.00,2843.00,6948.00,8248.00,4819.00,695.00,1368.00,26300.00,0.00,0.00,-5.00,742.00,-6.00,-5733.00,847.00,1334.00,4300.00,11693.00,702.00,587.00,7370.00,3034.00,1000.00,2945.00,213.00,775.00,4819.00,29.00,4089.00,-8415.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,72407.00,81106.00,74816.00,25176.00,15209.00,37123.00,-2692.00,0.00,6290.00,26630.00,149.00,0.00,-280.00,2811.00,0.00,0.00,2472.00,155.00,3349.00,-66.00,-559.00,-407.00,2768.00,867.00,1265.00,636.00,561.00,275.00,-934.00,2751.00,7417.00,5241.00,1412.00,631.00,1356.00,20340.00,0.00,0.00,-19.00,7502.00,-4.00,3528.00,89.00,986.00,2903.00,8179.00,-2010.00,688.00,6459.00,3042.00,1212.00,194.00,84.00,-2302.00,1412.00,46.00,4032.00,-8699.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,93573.00,101382.00,97806.00,30690.00,21130.00,40216.00,5770.00,0.00,3575.00,57814.00,-284.00,47.00,4340.00,2474.00,0.00,0.00,4855.00,16.00,2926.00,-8.00,2192.00,-271.00,3048.00,689.00,1064.00,1295.00,766.00,211.00,11899.00,2945.00,8212.00,15601.00,2103.00,585.00,1012.00,54238.00,0.00,0.00,-10.00,5799.00,45.00,227.00,-622.00,4525.00,1624.00,20874.00,4740.00,1382.00,10179.00,4573.00,1288.00,10517.00,309.00,7255.00,2103.00,80.00,6024.00,-7809.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,107412.00,127965.00,111271.00,29961.00,19361.00,52040.00,9909.00,0.00,16694.00,56903.00,37.00,34.00,7105.00,5210.00,0.00,0.00,1421.00,296.00,189.00,163.00,496.00,277.00,2870.00,601.00,1536.00,733.00,1545.00,266.00,4402.00,2728.00,13708.00,13701.00,1709.00,465.00,1702.00,40209.00,0.00,0.00,24.00,5743.00,62.00,409.00,-137.00,2115.00,3294.00,17131.00,5254.00,1107.00,9367.00,1403.00,2107.00,1726.00,173.00,4476.00,1709.00,83.00,7037.00,-20552.00
1952:Q1,27020.00,37590.00,27100.00,7242.00,4731.00,13944.00,1183.00,0.00,10490.00,14549.00,3.00,-7.00,1292.00,1398.00,0.00,80.00,2203.00,235.00,376.00,-27.00,1772.00,-153.00,-335.00,45.00,404.00,-784.00,293.00,144.00,2430.00,668.00,4006.00,289.00,1376.00,164.00,544.00,4058.00,0.00,0.00,15.00,2081.00,59.00,-1268.00,-37.00,2246.00,1081.00,938.00,-227.00,-5.00,1923.00,-753.00,573.00,-1358.00,15.00,-1725.00,1376.00,56.00,2087.00,-10571.00
1952:Q2,25926.00,28552.00,26414.00,7296.00,4837.00,14662.00,-381.00,0.00,2137.00,8978.00,29.00,18.00,-563.00,2296.00,0.00,87.00,1405.00,209.00,-1108.00,72.00,2011.00,221.00,1331.00,267.00,323.00,741.00,194.00,128.00,-1036.00,708.00,3728.00,95.00,-285.00,354.00,489.00,6841.00,0.00,0.00,7.00,3741.00,-24.00,-14.00,-155.00,2464.00,1470.00,4910.00,-106.00,366.00,2369.00,2281.00,664.00,-1987.00,20.00,-2202.00,-285.00,98.00,1875.00,-2625.00
1952:Q3,26414.00,32586.00,27610.00,6934.00,4878.00,14405.00,1394.00,0.00,4976.00,21478.00,8.00,-4.00,2821.00,1530.00,0.00,512.00,2442.00,133.00,1602.00,63.00,869.00,-225.00,830.00,356.00,306.00,168.00,142.00,125.00,4481.00,739.00,3796.00,2766.00,490.00,64.00,735.00,16502.00,0.00,0.00,9.00,6005.00,42.00,3273.00,348.00,1215.00,1127.00,4269.00,421.00,335.00,2426.00,1087.00,390.00,2963.00,8.00,628.00,490.00,86.00,1654.00,-6172.00
1952:Q4,27205.00,26476.00,29242.00,7935.00,5138.00,14851.00,1319.00,0.00,-2766.00,16088.00,-114.00,-23.00,1598.00,2408.00,0.00,-432.00,1497.00,-223.00,1293.00,-24.00,584.00,-133.00,1650.00,155.00,370.00,1125.00,161.00,108.00,-84.00,773.00,3909.00,2813.00,957.00,228.00,639.00,18855.00,0.00,0.00,6.00,6150.00,-15.00,3951.00,225.00,962.00,1027.00,6387.00,954.00,567.00,2309.00,2557.00,693.00,2393.00,0.00,143.00,957.00,-138.00,2264.00,729.00
1953:Q1,28529.00,38262.00,29697.00,8415.00,5193.00,15117.00,973.00,0.00,8565.00,11672.00,21.00,27.00,-1540.00,1918.00,0.00,9.00,1484.00,247.00,372.00,43.00,973.00,-151.00,-373.00,-18.00,537.00,-892.00,208.00,137.00,2311.00,774.00,3962.00,1696.00,376.00,166.00,496.00,3107.00,0.00,0.00,3.00,-555.00,39.00,-3020.00,102.00,1564.00,760.00,2816.00,-8.00,329.00,2116.00,379.00,518.00,-563.00,8.00,-1374.00,376.00,126.00,1752.00,-9734.00
1953:Q2,28649.00,30863.00,30379.00,8375.00,5183.00,15927.00,894.00,0.00,484.00,9098.00,-72.00,-28.00,-3107.00,2711.00,0.00,-256.00,1972.00,-75.00,808.00,6.00,966.00,267.00,828.00,-86.00,438.00,476.00,347.00,83.00,-925.00,760.00,4107.00,2458.00,-407.00,221.00,406.00,8614.00,0.00,0.00,13.00,2113.00,-73.00,460.00,-445.00,1158.00,1013.00,4838.00,-57.00,255.00,2869.00,1771.00,545.00,363.00,18.00,-806.00,-407.00,78.00,1859.00,-2214.00
1953:Q3,29320.00,34144.00,30511.00,8270.00,5046.00,16614.00,583.00,0.00,3633.00,21931.00,55.00,11.00,4921.00,1536.00,0.00,815.00,2550.00,196.00,1720.00,53.00,946.00,-365.00,419.00,265.00,242.00,-88.00,36.00,77.00,1619.00,738.00,4176.00,3801.00,237.00,170.00,769.00,18298.00,0.00,0.00,7.00,8678.00,50.00,6540.00,142.00,1416.00,530.00,3427.00,202.00,43.00,2500.00,682.00,315.00,1256.00,25.00,2198.00,237.00,130.00,2025.00,-4824.00
1953:Q4,25677.00,25047.00,28388.00,8056.00,5061.00,15773.00,-502.00,0.00,-3341.00,10488.00,-90.00,29.00,-394.00,2390.00,0.00,-640.00,654.00,-103.00,146.00,-33.00,405.00,239.00,1160.00,16.00,254.00,890.00,-18.00,86.00,-3488.00,710.00,4128.00,2667.00,2707.00,121.00,466.00,13830.00,0.00,0.00,11.00,6255.00,55.00,1943.00,1828.00,1217.00,1212.00,2298.00,-1148.00,-154.00,2340.00,1260.00,388.00,-550.00,23.00,587.00,2707.00,-222.00,2332.00,630.00
1954:Q1,27148.00,35941.00,27595.00,7958.00,4933.00,15196.00,-492.00,0.00,8346.00,4601.00,-42.00,1.00,-2148.00,2380.00,0.00,-391.00,-570.00,236.00,-1135.00,35.00,562.00,-268.00,-1056.00,-20.00,161.00,-1197.00,12.00,100.00,1387.00,692.00,3974.00,263.00,-454.00,115.00,338.00,-3745.00,0.00,0.00,22.00,-1482.00,123.00,-4544.00,658.00,1504.00,777.00,186.00,-131.00,226.00,1961.00,-1870.00,737.00,-957.00,-13.00,-3646.00,-454.00,80.00,1781.00,-8793.00
1954:Q2,27033.00,30309.00,28204.00,8135.00,5235.00,15679.00,-845.00,0.00,2105.00,6626.00,10.00,13.00,1192.00,3034.00,0.00,216.00,-3466.00,-98.00,-3590.00,11.00,308.00,-97.00,1071.00,-304.00,893.00,482.00,172.00,53.00,-431.00,679.00,3936.00,793.00,-1067.00,243.00,178.00,4521.00,0.00,0.00,10.00,1486.00,-41.00,151.00,-909.00,1350.00,935.00,4333.00,-479.00,-50.00,3600.00,1262.00,522.00,219.00,-59.00,-3016.00,-1067.00,80.00,2013.00,-3276.00
1954:Q3,27961.00,30675.00,29213.00,8036.00,5651.00,16049.00,-523.00,0.00,1462.00,15604.00,-175.00,22.00,2777.00,1773.00,0.00,1006.00,836.00,-37.00,310.00,42.00,670.00,-149.00,-229.00,63.00,-170.00,-122.00,-2.00,114.00,2748.00,669.00,3963.00,2223.00,-722.00,39.00,562.00,14141.00,0.00,0.00,2.00,4716.00,100.00,3296.00,-1465.00,1510.00,1275.00,3381.00,164.00,210.00,2771.00,236.00,228.00,2244.00,-100.00,1839.00,-722.00,76.00,2477.00,-2714.00
1954:Q4,28148.00,24849.00,29817.00,8479.00,6021.00,15397.00,-79.00,0.00,-4968.00,16646.00,38.00,8.00,2495.00,2799.00,0.00,-834.00,1076.00,-238.00,1194.00,49.00,692.00,-621.00,1816.00,186.00,447.00,1183.00,-186.00,154.00,28.00,662.00,4029.00,2735.00,1158.00,202.00,466.00,21614.00,0.00,0.00,2.00,7411.00,-53.00,3828.00,1801.00,1287.00,548.00,6480.00,214.00,722.00,3823.00,1721.00,96.00,2702.00,-127.00,1604.00,1158.00,-157.00,2445.00,3299.00
1955:Q1,30500.00,42231.00,31379.00,9150.00,6357.00,14920.00,951.00,0.00,10852.00,13932.00,-81.00,-11.00,-1803.00,2029.00,0.00,230.00,2663.00,280.00,1762.00,121.00,602.00,-102.00,-513.00,216.00,425.00,-1154.00,188.00,142.00,3216.00,682.00,4052.00,2616.00,-152.00,81.00,594.00,3080.00,0.00,0.00,3.00,-2146.00,-31.00,-4372.00,257.00,1492.00,508.00,4268.00,477.00,376.00,3676.00,-261.00,531.00,229.00,-99.00,-1831.00,-152.00,127.00,2151.00,-11731.00
1955:Q2,33060.00,35251.00,33667.00,9691.00,6436.00,16386.00,1155.00,0.00,1584.00,13830.00,14.00,-20.00,498.00,2640.00,0.00,-402.00,1262.00,166.00,115.00,161.00,1018.00,-198.00,1130.00,47.00,405.00,678.00,-201.00,121.00,1051.00,709.00,4204.00,3466.00,-1482.00,277.00,563.00,12246.00,0.00,0.00,-1.00,69.00,-120.00,-602.00,-1045.00,1112.00,724.00,9816.00,1970.00,393.00,4400.00,3053.00,160.00,2158.00,-52.00,-910.00,-1482.00,164.00,2324.00,-2192.00
1955:Q3,33824.00,36612.00,35014.00,10099.00,6434.00,17408.00,1074.00,0.00,1598.00,22683.00,-37.00,-4.00,2425.00,1312.00,0.00,1136.00,4295.00,-61.00,3074.00,144.00,1009.00,129.00,481.00,148.00,264.00,69.00,-33.00,169.00,4520.00,758.00,4303.00,3131.00,-628.00,120.00,735.00,21085.00,0.00,0.00,0.00,3685.00,-9.00,2461.00,-642.00,1401.00,474.00,7517.00,1386.00,103.00,4240.00,1788.00,278.00,4719.00,1.00,3222.00,-628.00,137.00,2154.00,-2788.00
1955:Q4,34245.00,28893.00,35251.00,9859.00,6235.00,17349.00,1808.00,0.00,-6357.00,20188.00,-30.00,6.00,1035.00,2444.00,0.00,-415.00,4035.00,-177.00,2710.00,368.00,840.00,294.00,1646.00,-29.00,478.00,1197.00,16.00,140.00,863.00,756.00,4297.00,3293.00,1186.00,265.00,651.00,26545.00,0.00,0.00,0.00,6156.00,-9.00,3122.00,703.00,1029.00,1311.00,9069.00,2268.00,468.00,3927.00,2406.00,750.00,4020.00,-15.00,3182.00,1186.00,-283.00,2480.00,5352.00
1956:Q1,34985.00,45039.00,34209.00,9393.00,6064.00,17153.00,1600.00,0.00,10830.00,11262.00,-41.00,-34.00,-1185.00,2309.00,0.00,-158.00,875.00,432.00,-510.00,75.00,686.00,192.00,-627.00,34.00,495.00,-1156.00,57.00,314.00,2088.00,850.00,4301.00,1148.00,167.00,282.00,915.00,431.00,0.00,0.00,2.00,-2621.00,0.00,-4284.00,6.00,1235.00,422.00,4272.00,1111.00,424.00,3435.00,-698.00,522.00,-625.00,58.00,-3297.00,167.00,93.00,1860.00,-10054.00
1956:Q2,35346.00,39201.00,34928.00,9427.00,6104.00,18501.00,896.00,0.00,4273.00,9851.00,-51.00,46.00,-549.00,2960.00,0.00,-563.00,-1729.00,4.00,-3169.00,274.00,714.00,448.00,1111.00,107.00,499.00,505.00,-477.00,35.00,1583.00,909.00,4406.00,2290.00,-968.00,348.00,499.00,5578.00,0.00,0.00,3.00,-3641.00,-73.00,-4983.00,-466.00,921.00,960.00,8122.00,1903.00,122.00,4067.00,2030.00,234.00,2212.00,90.00,-2958.00,-968.00,55.00,2429.00,-3854.00
1956:Q3,37030.00,40024.00,36087.00,9395.00,6053.00,19747.00,892.00,0.00,3937.00,19919.00,155.00,-22.00,1105.00,1428.00,0.00,1878.00,1801.00,-35.00,605.00,231.00,830.00,170.00,456.00,72.00,319.00,65.00,-6.00,323.00,4056.00,891.00,4700.00,2091.00,-322.00,527.00,858.00,15982.00,0.00,0.00,5.00,3563.00,112.00,1433.00,-234.00,1185.00,1067.00,4928.00,558.00,-106.00,3779.00,697.00,573.00,2485.00,86.00,2084.00,-322.00,35.00,2545.00,-2994.00
1956:Q4,36388.00,33035.00,35901.00,9824.00,6013.00,19504.00,561.00,0.00,-2867.00,18888.00,545.00,19.00,1530.00,2767.00,0.00,-586.00,1589.00,-247.00,945.00,-55.00,620.00,326.00,2004.00,437.00,398.00,1169.00,255.00,114.00,-561.00,820.00,5106.00,2881.00,1141.00,703.00,561.00,21755.00,0.00,0.00,9.00,5318.00,-23.00,3051.00,439.00,824.00,1027.00,6928.00,1437.00,546.00,3343.00,1602.00,921.00,2140.00,69.00,2495.00,1141.00,8.00,2726.00,3353.00
1957:Q1,37467.00,47567.00,35715.00,10003.00,5891.00,19282.00,541.00,0.00,11851.00,15366.00,-58.00,60.00,-381.00,3426.00,0.00,-174.00,2180.00,466.00,130.00,142.00,699.00,743.00,-861.00,-92.00,640.00,-1409.00,-102.00,231.00,2156.00,744.00,5379.00,1272.00,254.00,451.00,789.00,3515.00,0.00,0.00,7.00,860.00,-25.00,-1670.00,22.00,1063.00,1470.00,2595.00,391.00,699.00,2843.00,-1338.00,760.00,-571.00,46.00,-2536.00,254.00,21.00,2079.00,-10100.00
1957:Q2,37546.00,40741.00,36421.00,9902.00,5719.00,20135.00,664.00,0.00,4321.00,9182.00,73.00,-22.00,-2065.00,3648.00,0.00,-1118.00,-1522.00,-225.00,-2085.00,333.00,268.00,187.00,976.00,-244.00,561.00,659.00,106.00,224.00,-459.00,667.00,5728.00,1861.00,-401.00,1163.00,323.00,4862.00,0.00,0.00,11.00,-3701.00,-33.00,-5592.00,-452.00,911.00,1465.00,7443.00,2081.00,425.00,2956.00,1981.00,903.00,-167.00,22.00,-2261.00,-401.00,48.00,2965.00,-3195.00
1957:Q3,37672.00,43181.00,37453.00,9833.00,5775.00,21143.00,702.00,0.00,5729.00,22453.00,254.00,-23.00,2786.00,1920.00,0.00,2242.00,2584.00,92.00,1314.00,6.00,861.00,311.00,702.00,173.00,648.00,-119.00,-468.00,193.00,1767.00,649.00,5841.00,2856.00,64.00,373.00,713.00,16725.00,0.00,0.00,8.00,6861.00,44.00,4170.00,-222.00,1356.00,1513.00,3861.00,-486.00,243.00,3356.00,748.00,299.00,1368.00,12.00,1554.00,64.00,-4.00,2701.00,-5509.00
1957:Q4,34895.00,30831.00,34868.00,9737.00,5820.00,20441.00,-1130.00,0.00,-4038.00,12717.00,35.00,-22.00,-1013.00,3297.00,0.00,-422.00,1160.00,92.00,466.00,408.00,370.00,-176.00,2052.00,511.00,608.00,933.00,-461.00,187.00,-2488.00,678.00,5691.00,2729.00,476.00,350.00,468.00,16754.00,0.00,0.00,10.00,4668.00,58.00,874.00,975.00,1177.00,1584.00,4566.00,78.00,203.00,3039.00,1246.00,479.00,2307.00,7.00,1110.00,476.00,72.00,3060.00,4064.00
1958:Q1,33196.00,44296.00,32405.00,9142.00,5530.00,18735.00,-1002.00,0.00,11891.00,11056.00,94.00,29.00,-1482.00,4707.00,0.00,-62.00,-717.00,575.00,-2087.00,-357.00,345.00,807.00,-763.00,280.00,591.00,-1634.00,-490.00,325.00,2085.00,721.00,5394.00,25.00,706.00,144.00,340.00,-834.00,0.00,0.00,16.00,2667.00,294.00,-1548.00,596.00,1460.00,1865.00,-729.00,-2092.00,1110.00,2695.00,-2442.00,221.00,-2665.00,7.00,-3126.00,706.00,26.00,2042.00,-11100.00
1958:Q2,32594.00,32544.00,32851.00,8966.00,5529.00,19415.00,-1059.00,0.00,-307.00,12570.00,13.00,-28.00,3158.00,5365.00,0.00,-1758.00,-3865.00,-236.00,-1748.00,-638.00,-561.00,-682.00,1625.00,210.00,901.00,514.00,-406.00,467.00,-52.00,775.00,5304.00,893.00,60.00,421.00,598.00,12877.00,0.00,0.00,12.00,4731.00,75.00,3486.00,-1053.00,1143.00,1080.00,4823.00,-61.00,382.00,3573.00,929.00,858.00,1674.00,11.00,-2504.00,60.00,14.00,3198.00,50.00
1958:Q3,34827.00,39946.00,35622.00,9142.00,6009.00,20084.00,387.00,0.00,4324.00,22006.00,-9.00,40.00,206.00,2420.00,0.00,2093.00,-604.00,-201.00,-1630.00,-24.00,792.00,459.00,1302.00,440.00,739.00,123.00,-160.00,339.00,5142.00,794.00,5404.00,3271.00,878.00,145.00,744.00,17682.00,0.00,0.00,3.00,3767.00,4.00,707.00,69.00,1541.00,1446.00,4293.00,-14.00,-236.00,4307.00,236.00,485.00,3848.00,16.00,1331.00,878.00,3.00,3058.00,-5119.00
1958:Q4,36123.00,32501.00,37708.00,9443.00,6682.00,20274.00,1309.00,0.00,-5207.00,24122.00,-137.00,-23.00,3575.00,3339.00,0.00,-676.00,3821.00,-261.00,3066.00,37.00,815.00,164.00,2582.00,424.00,1010.00,1148.00,-866.00,277.00,-49.00,783.00,5653.00,3798.00,1239.00,375.00,430.00,29329.00,0.00,0.00,7.00,9862.00,-137.00,7134.00,307.00,1306.00,1252.00,9281.00,2073.00,801.00,4857.00,1550.00,404.00,3529.00,22.00,1704.00,1239.00,51.00,3229.00,3622.00
