1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q1,150.00,0.00,0.00,0.00,0.00,151.00,0.00,0.00,151.00,-1.00,145.00,0.00,0.00,0.00,0.00,145.00,105.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q2,383.00,0.00,0.00,0.00,0.00,383.00,10.00,30.00,343.00,0.00,287.00,0.00,0.00,0.00,0.00,287.00,207.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q3,538.00,0.00,0.00,0.00,0.00,539.00,26.00,43.00,470.00,-1.00,495.00,0.00,0.00,0.00,0.00,495.00,335.00,0.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q4,830.00,0.00,0.00,0.00,0.00,830.00,35.00,75.00,720.00,0.00,766.00,0.00,0.00,0.00,0.00,766.00,566.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q1,992.00,0.00,0.00,0.00,0.00,992.00,50.00,149.00,793.00,0.00,982.00,0.00,0.00,0.00,0.00,982.00,625.00,0.00,357.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q2,1275.00,0.00,0.00,0.00,0.00,1275.00,84.00,215.00,976.00,0.00,1098.00,0.00,20.00,0.00,20.00,1078.00,710.00,0.00,368.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q3,1498.00,0.00,0.00,0.00,0.00,1498.00,129.00,304.00,1065.00,0.00,1238.00,0.00,84.00,0.00,84.00,1154.00,776.00,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,2007.00,0.00,0.00,0.00,0.00,2007.00,213.00,493.00,1301.00,0.00,1480.00,0.00,95.00,0.00,95.00,1385.00,955.00,0.00,430.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,2355.00,0.00,0.00,0.00,0.00,2355.00,365.00,766.00,1224.00,0.00,1526.00,0.00,302.00,0.00,302.00,1224.00,791.00,0.00,433.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,2743.00,0.00,0.00,0.00,0.00,2744.00,426.00,892.00,1426.00,-1.00,1745.00,0.00,400.00,0.00,400.00,1345.00,897.00,0.00,448.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,3152.00,0.00,0.00,0.00,0.00,3152.00,489.00,1024.00,1639.00,0.00,1814.00,0.00,400.00,0.00,400.00,1414.00,894.00,0.00,520.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,3904.00,0.00,0.00,0.00,0.00,3904.00,605.00,1269.00,2030.00,0.00,2179.00,0.00,600.00,0.00,600.00,1579.00,1033.00,0.00,546.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,4383.00,0.00,0.00,0.00,0.00,4322.00,669.00,1406.00,2247.00,61.00,2585.00,0.00,715.00,0.00,715.00,1870.00,1288.00,0.00,582.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,4992.00,0.00,0.00,0.00,0.00,4975.00,772.00,1618.00,2585.00,17.00,3011.00,0.00,979.00,0.00,979.00,2032.00,1416.00,0.00,616.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,5619.00,0.00,0.00,0.00,0.00,5515.00,743.00,1873.00,2899.00,104.00,3455.00,0.00,1207.00,312.00,895.00,2248.00,1615.00,0.00,633.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,6370.00,0.00,0.00,0.00,0.00,6203.00,785.00,2178.00,3240.00,167.00,4111.00,0.00,1796.00,780.00,1016.00,2315.00,1635.00,0.00,680.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,7770.00,0.00,0.00,0.00,0.00,7135.00,886.00,2794.00,3455.00,635.00,5363.00,0.00,2474.00,1322.00,1152.00,2823.00,2094.00,0.00,729.00,66.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,9132.00,0.00,0.00,0.00,0.00,8219.00,1114.00,3192.00,3913.00,913.00,6563.00,0.00,3217.00,1937.00,1280.00,3146.00,2215.00,0.00,931.00,200.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,10085.00,0.00,0.00,0.00,0.00,8921.00,1082.00,3551.00,4288.00,1164.00,7429.00,0.00,3930.00,2600.00,1330.00,3206.00,2163.00,0.00,1043.00,293.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,11690.00,0.00,0.00,0.00,0.00,10396.00,1210.00,4219.00,4967.00,1294.00,9060.00,0.00,4630.00,3240.00,1390.00,4121.00,2970.00,0.00,1151.00,309.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,13033.00,0.00,0.00,0.00,0.00,11269.00,1306.00,4504.00,5459.00,1764.00,10275.00,0.00,4640.00,3100.00,1540.00,5289.00,4015.00,0.00,1274.00,346.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,14463.00,0.00,0.00,0.00,0.00,12955.00,1312.00,5473.00,6170.00,1508.00,11591.00,0.00,4839.00,3121.00,1718.00,6405.00,4993.00,0.00,1412.00,347.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,15790.00,0.00,0.00,0.00,0.00,14909.00,1659.00,6130.00,7120.00,881.00,12918.00,0.00,5690.00,3920.00,1770.00,6870.00,5453.00,0.00,1417.00,358.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,16610.00,0.00,0.00,0.00,0.00,15956.00,1880.00,6600.00,7476.00,654.00,14120.00,0.00,5915.00,3975.00,1940.00,7781.00,6330.00,0.00,1451.00,424.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,17096.00,0.00,0.00,0.00,0.00,16700.00,2022.00,6948.00,7730.00,396.00,15003.00,0.00,5450.00,3380.00,2070.00,8935.00,7417.00,0.00,1518.00,618.00,0.00,0.00,0.00,0.00,0.00
1974:Q2,17407.00,0.00,0.00,0.00,0.00,16638.00,2013.00,6926.00,7699.00,769.00,15795.00,0.00,3641.00,1564.00,2077.00,10146.00,8619.00,0.00,1527.00,2008.00,0.00,0.00,0.00,0.00,0.00
1974:Q3,16796.00,0.00,0.00,0.00,0.00,16342.00,1757.00,6717.00,7868.00,454.00,15835.00,0.00,2938.00,895.00,2043.00,10955.00,9400.00,0.00,1555.00,1942.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,16420.00,0.00,0.00,0.00,0.00,16145.00,1708.00,6765.00,7672.00,275.00,15820.00,0.00,2809.00,710.00,2099.00,11160.00,9580.00,0.00,1580.00,1851.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,14966.00,0.00,0.00,0.00,0.00,13894.00,1462.00,5629.00,6803.00,1072.00,15240.00,0.00,2594.00,743.00,1851.00,10647.00,9069.00,0.00,1578.00,1999.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,12150.00,0.00,0.00,0.00,0.00,11643.00,1219.00,4556.00,5868.00,507.00,13056.00,0.00,2440.00,840.00,1600.00,9160.00,7609.00,0.00,1551.00,1456.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,9182.00,0.00,0.00,0.00,0.00,9000.00,938.00,3397.00,4665.00,182.00,10351.00,0.00,2135.00,784.00,1351.00,7736.00,6228.00,0.00,1508.00,480.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,7271.00,0.00,0.00,0.00,0.00,7140.00,740.00,2596.00,3804.00,131.00,8851.00,0.00,1929.00,829.00,1100.00,6810.00,5300.00,0.00,1510.00,112.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,6600.00,0.00,0.00,0.00,0.00,6510.00,701.00,2309.00,3500.00,90.00,8411.00,0.00,1622.00,646.00,976.00,6336.00,4765.00,0.00,1571.00,453.00,0.00,0.00,0.00,0.00,0.00
1976:Q2,5950.00,0.00,0.00,0.00,0.00,5880.00,656.00,2033.00,3191.00,70.00,7871.00,0.00,1607.00,607.00,1000.00,5994.00,4301.00,0.00,1693.00,270.00,0.00,0.00,0.00,0.00,0.00
1976:Q3,5280.00,0.00,0.00,0.00,0.00,5250.00,607.00,1768.00,2875.00,30.00,7451.00,0.00,1636.00,663.00,973.00,5785.00,3987.00,0.00,1798.00,30.00,0.00,0.00,0.00,0.00,0.00
1976:Q4,4620.00,0.00,0.00,0.00,0.00,4620.00,553.00,1515.00,2552.00,0.00,7060.00,0.00,1475.00,559.00,916.00,5400.00,3400.00,0.00,2000.00,185.00,0.00,0.00,0.00,0.00,0.00
1977:Q1,4312.00,0.00,0.00,0.00,0.00,4310.00,524.00,1407.00,2379.00,2.00,6612.00,0.00,1398.00,514.00,884.00,4858.00,2878.00,0.00,1980.00,356.00,0.00,0.00,0.00,0.00,0.00
1977:Q2,4000.00,0.00,0.00,0.00,0.00,4000.00,494.00,1299.00,2207.00,0.00,5729.00,0.00,1434.00,585.00,849.00,4168.00,2280.00,0.00,1888.00,127.00,0.00,0.00,0.00,0.00,0.00
1977:Q3,3690.00,0.00,0.00,0.00,0.00,3690.00,463.00,1193.00,2034.00,0.00,5261.00,0.00,1379.00,523.00,856.00,3831.00,2000.00,0.00,1831.00,51.00,0.00,0.00,0.00,0.00,0.00
1977:Q4,3460.00,0.00,0.00,0.00,0.00,3380.00,431.00,1088.00,1861.00,80.00,5090.00,0.00,1347.00,518.00,829.00,3680.00,1870.00,0.00,1810.00,63.00,0.00,0.00,0.00,0.00,0.00
1978:Q1,3316.00,0.00,0.00,0.00,0.00,3298.00,418.00,1049.00,1831.00,18.00,4912.00,0.00,1263.00,541.00,722.00,3224.00,1720.00,0.00,1504.00,425.00,0.00,0.00,0.00,0.00,0.00
1978:Q2,3276.00,0.00,0.00,0.00,0.00,3215.00,406.00,1011.00,1798.00,61.00,4833.00,0.00,1352.00,650.00,702.00,3001.00,1352.00,0.00,1649.00,480.00,0.00,0.00,0.00,0.00,0.00
1978:Q3,3115.00,0.00,0.00,0.00,0.00,3100.00,389.00,963.00,1748.00,15.00,4626.00,0.00,1377.00,666.00,711.00,3033.00,1226.00,0.00,1807.00,216.00,0.00,0.00,0.00,0.00,0.00
1978:Q4,3280.00,0.00,0.00,0.00,0.00,3050.00,381.00,936.00,1733.00,230.00,4670.00,0.00,1259.00,626.00,633.00,3120.00,1160.00,0.00,1960.00,291.00,0.00,0.00,0.00,0.00,0.00
1979:Q1,3307.00,0.00,0.00,0.00,0.00,3018.00,363.00,935.00,1720.00,289.00,4627.00,0.00,1266.00,658.00,608.00,3117.00,1100.00,0.00,2017.00,244.00,0.00,0.00,0.00,0.00,0.00
1979:Q2,3321.00,0.00,0.00,0.00,0.00,2985.00,345.00,934.00,1706.00,336.00,4564.00,0.00,1380.00,749.00,631.00,3024.00,1020.00,0.00,2004.00,160.00,0.00,0.00,0.00,0.00,0.00
1979:Q3,3331.00,0.00,0.00,0.00,0.00,2953.00,328.00,933.00,1692.00,378.00,4496.00,0.00,1179.00,658.00,521.00,2896.00,930.00,0.00,1966.00,421.00,0.00,0.00,0.00,0.00,0.00
1979:Q4,3320.00,0.00,0.00,0.00,0.00,2920.00,310.00,932.00,1678.00,400.00,4410.00,0.00,1361.00,761.00,600.00,2781.00,830.00,0.00,1951.00,268.00,0.00,0.00,0.00,0.00,0.00
1980:Q1,3300.00,0.00,0.00,0.00,0.00,2870.00,306.00,911.00,1653.00,430.00,4323.00,0.00,1264.00,648.00,616.00,2742.00,800.00,0.00,1942.00,317.00,0.00,0.00,0.00,0.00,0.00
