date,FA564090005.Q,FA564022005.Q,FA563061103.Q,FA563062003.Q,FA563063003.Q,FA563064103.Q,FA563093003.Q,FA564090005.Q,FA564091603.Q,FA564092603.Q,FA563093003.Q,FA564091403.Q,FA564091303.Q,FA564091203.Q
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1993:Q1,524.00,0.00,0.00,0.00,0.00,524.00,0.00,524.00,ND,ND,0.00,ND,ND,ND
1993:Q2,576.00,0.00,0.00,0.00,0.00,576.00,0.00,576.00,ND,ND,0.00,ND,ND,ND
1993:Q3,24.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,ND,ND,0.00,ND,ND,ND
1993:Q4,676.00,0.00,0.00,0.00,0.00,676.00,0.00,676.00,ND,ND,0.00,ND,ND,ND
1994:Q1,868.00,0.00,0.00,0.00,0.00,868.00,0.00,868.00,ND,ND,0.00,ND,ND,ND
1994:Q2,-1064.00,0.00,0.00,0.00,0.00,-1064.00,0.00,-1064.00,ND,ND,0.00,ND,ND,ND
1994:Q3,-348.00,0.00,0.00,0.00,0.00,-348.00,0.00,-348.00,ND,ND,0.00,ND,ND,ND
1994:Q4,432.00,0.00,0.00,0.00,0.00,432.00,0.00,432.00,ND,ND,0.00,ND,ND,ND
1995:Q1,-64.00,0.00,0.00,0.00,0.00,-64.00,0.00,-64.00,ND,ND,0.00,ND,ND,ND
1995:Q2,564.00,0.00,0.00,0.00,0.00,564.00,0.00,564.00,ND,ND,0.00,ND,ND,ND
1995:Q3,312.00,0.00,0.00,0.00,0.00,312.00,0.00,312.00,ND,ND,0.00,ND,ND,ND
1995:Q4,952.00,0.00,0.00,0.00,0.00,952.00,0.00,952.00,ND,ND,0.00,ND,ND,ND
1996:Q1,988.00,0.00,0.00,0.00,0.00,988.00,0.00,988.00,ND,ND,0.00,ND,ND,ND
1996:Q2,600.00,0.00,0.00,0.00,0.00,600.00,0.00,600.00,ND,ND,0.00,ND,ND,ND
1996:Q3,572.00,0.00,0.00,0.00,0.00,572.00,0.00,572.00,ND,ND,0.00,ND,ND,ND
1996:Q4,2200.00,0.00,0.00,0.00,0.00,2200.00,0.00,2200.00,ND,ND,0.00,ND,ND,ND
1997:Q1,1252.00,0.00,0.00,0.00,0.00,1252.00,0.00,1252.00,ND,ND,0.00,ND,ND,ND
1997:Q2,1632.00,0.00,0.00,0.00,0.00,1632.00,0.00,1632.00,ND,ND,0.00,ND,ND,ND
1997:Q3,4148.00,0.00,0.00,0.00,0.00,4148.00,0.00,4148.00,ND,ND,0.00,ND,ND,ND
1997:Q4,6728.00,0.00,0.00,0.00,0.00,6728.00,0.00,6728.00,ND,ND,0.00,ND,ND,ND
1998:Q1,2296.00,0.00,0.00,0.00,0.00,2296.00,0.00,2296.00,ND,ND,0.00,ND,ND,ND
1998:Q2,3440.00,0.00,0.00,0.00,0.00,3440.00,0.00,3440.00,ND,ND,0.00,ND,ND,ND
1998:Q3,6120.00,0.00,0.00,0.00,0.00,6120.00,0.00,6120.00,ND,ND,0.00,ND,ND,ND
1998:Q4,12240.00,0.00,0.00,0.00,0.00,12240.00,0.00,12240.00,ND,ND,0.00,ND,ND,ND
1999:Q1,1220.00,0.00,0.00,0.00,0.00,1220.00,0.00,1220.00,ND,ND,0.00,ND,ND,ND
1999:Q2,10260.00,0.00,0.00,0.00,0.00,10260.00,0.00,10260.00,ND,ND,0.00,ND,ND,ND
1999:Q3,5664.00,0.00,0.00,0.00,0.00,5664.00,0.00,5664.00,ND,ND,0.00,ND,ND,ND
1999:Q4,31504.00,0.00,0.00,0.00,0.00,31504.00,0.00,31504.00,ND,ND,0.00,ND,ND,ND
2000:Q1,2088.00,0.00,0.00,0.00,0.00,2088.00,0.00,2088.00,ND,ND,0.00,ND,ND,ND
2000:Q2,46312.00,0.00,0.00,0.00,0.00,46312.00,0.00,46312.00,ND,ND,0.00,ND,ND,ND
2000:Q3,14076.00,0.00,0.00,0.00,0.00,14076.00,0.00,14076.00,ND,ND,0.00,ND,ND,ND
2000:Q4,107168.00,0.00,0.00,0.00,0.00,107168.00,0.00,107168.00,ND,ND,0.00,ND,ND,ND
2001:Q1,57880.00,0.00,0.00,0.00,0.00,57880.00,0.00,57880.00,ND,ND,0.00,ND,ND,ND
2001:Q2,11312.00,0.00,0.00,0.00,0.00,11312.00,0.00,11312.00,ND,ND,0.00,ND,ND,ND
2001:Q3,27932.00,0.00,0.00,0.00,0.00,27932.00,0.00,27932.00,ND,ND,0.00,ND,ND,ND
2001:Q4,26928.00,0.00,0.00,0.00,0.00,26928.00,0.00,26928.00,0.00,0.00,0.00,0.00,0.00,0.00
2002:Q1,24036.00,0.00,0.00,0.00,0.00,24036.00,0.00,24036.00,21108.00,2928.00,0.00,0.00,0.00,0.00
2002:Q2,65224.00,0.00,0.00,0.00,0.00,65224.00,0.00,65224.00,50248.00,14976.00,0.00,0.00,0.00,0.00
2002:Q3,43196.00,400.00,0.00,0.00,400.00,42796.00,0.00,43196.00,34332.00,-6124.00,0.00,0.00,14988.00,0.00
2002:Q4,48748.00,-68.00,-488.00,0.00,420.00,48816.00,0.00,48748.00,45428.00,3388.00,0.00,0.00,-68.00,0.00
2003:Q1,6048.00,-1148.00,-1800.00,0.00,652.00,7196.00,0.00,6048.00,6456.00,740.00,0.00,0.00,-1148.00,0.00
2003:Q2,14988.00,416.00,-1040.00,0.00,1456.00,14572.00,0.00,14988.00,10312.00,4260.00,0.00,0.00,416.00,0.00
2003:Q3,-24056.00,1572.00,1976.00,0.00,-404.00,-25628.00,0.00,-24056.00,-30956.00,5328.00,0.00,0.00,1572.00,0.00
2003:Q4,66256.00,2044.00,1228.00,0.00,816.00,64212.00,0.00,66256.00,51488.00,12724.00,0.00,0.00,2044.00,0.00
2004:Q1,30080.00,5128.00,3596.00,0.00,1532.00,24952.00,0.00,30080.00,5212.00,19740.00,0.00,0.00,5128.00,0.00
2004:Q2,60776.00,3544.00,2972.00,0.00,572.00,57232.00,0.00,60776.00,46192.00,11040.00,0.00,0.00,3544.00,0.00
2004:Q3,27052.00,2248.00,1468.00,0.00,780.00,24804.00,0.00,27052.00,18080.00,6724.00,0.00,0.00,2248.00,0.00
