1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,62915.00,25375.00,9190.00,21676.00,0.00,6410.00,53.00,211.00,0.00,58455.00,37444.00,7894.00,5135.00,6534.00,1448.00,4460.00,7391.00,291.00,-289.00,11849.00,20931.00,12533.00,0.00,8398.00,16006.00,37.00,119.00,88.00,5.00,5.00,0.00,1209.00,679.00,530.00,0.00,0.00,900.00,13701.00,-53.00,7608.00,0.00,0.00,24.00,272.00,409.00,170.00,239.00,-137.00,0.00,1600.00,173.00,5539.00,5581.00,-42.00,-9082.00,197.00
1952:Q1,64733.00,29060.00,9740.00,18960.00,0.00,6696.00,57.00,220.00,0.00,63561.00,44188.00,7652.00,3752.00,6728.00,1241.00,1172.00,7876.00,440.00,-364.00,8972.00,13885.00,16732.00,0.00,-2847.00,13589.00,12.00,5472.00,48.00,36.00,36.00,0.00,2144.00,760.00,1384.00,0.00,0.00,1200.00,4701.00,-24.00,16436.00,0.00,0.00,60.00,11188.00,11496.00,10780.00,716.00,-308.00,0.00,-800.00,60.00,5928.00,6244.00,-316.00,-4913.00,3516.00
1952:Q2,64809.00,29968.00,10132.00,17856.00,0.00,6576.00,57.00,220.00,0.00,67256.00,47180.00,7632.00,4488.00,6756.00,1200.00,-2447.00,8120.00,520.00,-392.00,5545.00,9957.00,16912.00,0.00,-6955.00,3585.00,116.00,-2180.00,108.00,-40.00,-40.00,0.00,1424.00,1280.00,144.00,0.00,0.00,1600.00,2581.00,-24.00,10540.00,0.00,0.00,28.00,4880.00,2652.00,2188.00,464.00,2228.00,0.00,-400.00,80.00,5952.00,6352.00,-400.00,-4412.00,-252.00
1952:Q3,65280.00,30428.00,10132.00,17816.00,0.00,6620.00,56.00,228.00,0.00,70052.00,48696.00,8504.00,4816.00,6852.00,1184.00,-4772.00,8420.00,292.00,-368.00,3724.00,22485.00,17472.00,0.00,5013.00,16961.00,32.00,6560.00,32.00,-8.00,-8.00,0.00,1760.00,1496.00,264.00,0.00,0.00,800.00,7837.00,-52.00,11948.00,0.00,0.00,36.00,6456.00,3856.00,1864.00,1992.00,2600.00,0.00,400.00,32.00,5024.00,5352.00,-328.00,-18761.00,3996.00
1952:Q4,68420.00,31212.00,10480.00,19660.00,0.00,6776.00,56.00,236.00,0.00,70883.00,50340.00,8536.00,3952.00,6972.00,1083.00,-2463.00,8704.00,300.00,-264.00,6205.00,16717.00,17768.00,0.00,-1051.00,9425.00,-456.00,-368.00,104.00,0.00,0.00,0.00,1200.00,472.00,728.00,0.00,0.00,204.00,8697.00,44.00,10476.00,0.00,0.00,24.00,2768.00,5764.00,4736.00,1028.00,-2996.00,0.00,1100.00,0.00,6584.00,6912.00,-328.00,-10512.00,-72.00
1953:Q1,70117.00,31500.00,10784.00,20752.00,0.00,6792.00,57.00,232.00,0.00,71598.00,50916.00,8564.00,3880.00,7092.00,1146.00,-1481.00,8924.00,336.00,-548.00,7655.00,15929.00,18736.00,0.00,-2807.00,8565.00,84.00,-3920.00,-24.00,208.00,208.00,0.00,576.00,-164.00,740.00,0.00,0.00,1304.00,10293.00,44.00,11372.00,0.00,0.00,12.00,4408.00,4160.00,2204.00,1956.00,248.00,0.00,432.00,32.00,6488.00,6676.00,-188.00,-8274.00,-3488.00
1953:Q2,70463.00,31516.00,10936.00,20856.00,0.00,6860.00,59.00,236.00,0.00,73774.00,52496.00,8428.00,4800.00,7160.00,890.00,-3311.00,9224.00,312.00,-156.00,5757.00,8857.00,19436.00,0.00,-10579.00,1149.00,-288.00,-11036.00,-20.00,-136.00,-136.00,0.00,644.00,48.00,596.00,0.00,0.00,-348.00,12421.00,-88.00,11728.00,0.00,0.00,52.00,5804.00,4816.00,5392.00,-576.00,988.00,0.00,-816.00,72.00,6616.00,6880.00,-264.00,-3100.00,-9884.00
1953:Q3,69534.00,31236.00,10732.00,20388.00,0.00,6884.00,62.00,232.00,0.00,72136.00,50960.00,8596.00,4164.00,7280.00,1136.00,-2602.00,9312.00,296.00,-312.00,6726.00,23577.00,19004.00,0.00,4573.00,30101.00,220.00,16368.00,16.00,-76.00,-76.00,0.00,1316.00,964.00,352.00,0.00,0.00,96.00,12177.00,-16.00,25528.00,0.00,0.00,28.00,18880.00,17140.00,16412.00,728.00,1740.00,0.00,-48.00,100.00,6568.00,6752.00,-184.00,-16851.00,13636.00
1953:Q4,64313.00,30972.00,10376.00,15916.00,0.00,6756.00,65.00,228.00,0.00,73570.00,52056.00,9220.00,4216.00,7384.00,694.00,-9257.00,9508.00,368.00,-384.00,267.00,8165.00,17460.00,0.00,-9295.00,-1535.00,-360.00,-7540.00,-8.00,-4.00,-4.00,0.00,-244.00,-116.00,-128.00,0.00,0.00,-1200.00,7813.00,8.00,7760.00,0.00,0.00,44.00,1108.00,-2424.00,-3228.00,804.00,3532.00,0.00,-268.00,92.00,6784.00,7108.00,-324.00,-7898.00,-5688.00
1954:Q1,61631.00,28140.00,9720.00,15684.00,0.00,7776.00,67.00,244.00,0.00,71403.00,49292.00,9892.00,4044.00,7512.00,663.00,-9772.00,9756.00,148.00,-344.00,180.00,14911.00,17472.00,0.00,-2561.00,4907.00,-168.00,764.00,8.00,72.00,72.00,0.00,-664.00,-392.00,-272.00,0.00,0.00,1252.00,3775.00,-132.00,7468.00,0.00,0.00,88.00,8.00,-2396.00,-2992.00,596.00,2404.00,0.00,652.00,-52.00,6772.00,6948.00,-176.00,-14731.00,952.00
1954:Q2,61697.00,27888.00,9600.00,16164.00,0.00,7732.00,69.00,244.00,0.00,70069.00,46972.00,10524.00,3708.00,7612.00,1253.00,-8372.00,9980.00,-56.00,-316.00,1980.00,14503.00,16736.00,0.00,-2233.00,5719.00,40.00,-172.00,-36.00,-40.00,-40.00,0.00,772.00,-1404.00,2176.00,0.00,0.00,-444.00,5447.00,152.00,7952.00,0.00,0.00,40.00,2748.00,3756.00,2904.00,852.00,-1008.00,0.00,-1404.00,-236.00,6804.00,7108.00,-304.00,-12523.00,500.00
1954:Q3,62331.00,27896.00,9244.00,17132.00,0.00,7752.00,71.00,236.00,0.00,69900.00,46108.00,10856.00,4324.00,7704.00,908.00,-7569.00,10156.00,-508.00,-300.00,3395.00,10007.00,15228.00,0.00,-5221.00,551.00,-700.00,-4196.00,36.00,-8.00,-8.00,0.00,-2024.00,-92.00,-1932.00,0.00,0.00,768.00,6407.00,268.00,5772.00,0.00,0.00,8.00,-540.00,4176.00,3124.00,1052.00,-4716.00,0.00,-416.00,-400.00,7120.00,7188.00,-68.00,-6612.00,-4668.00
1954:Q4,64384.00,28348.00,9464.00,18424.00,0.00,7844.00,72.00,232.00,0.00,70668.00,46264.00,11448.00,4432.00,7756.00,768.00,-6284.00,10372.00,-192.00,-332.00,4612.00,10535.00,14952.00,0.00,-4417.00,11259.00,152.00,2248.00,104.00,-20.00,-20.00,0.00,776.00,340.00,436.00,0.00,0.00,-652.00,8239.00,412.00,15676.00,0.00,0.00,8.00,9048.00,5388.00,3836.00,1552.00,3660.00,0.00,232.00,-508.00,6896.00,7188.00,-292.00,-5923.00,4440.00
1955:Q1,68333.00,29048.00,9984.00,20408.00,0.00,8568.00,73.00,252.00,0.00,71272.00,46400.00,11356.00,4820.00,7752.00,944.00,-2939.00,10492.00,-312.00,-304.00,8169.00,19583.00,14312.00,0.00,5271.00,9327.00,-324.00,-6180.00,16.00,24.00,24.00,0.00,980.00,852.00,128.00,0.00,0.00,108.00,14295.00,408.00,4056.00,0.00,0.00,12.00,-2376.00,-3108.00,-4156.00,1048.00,732.00,0.00,-584.00,-396.00,7400.00,7356.00,44.00,-11414.00,-3580.00
1955:Q2,70302.00,30068.00,10524.00,20660.00,0.00,8732.00,74.00,244.00,0.00,70853.00,46220.00,11436.00,4404.00,7732.00,1061.00,-551.00,10600.00,-64.00,-132.00,10245.00,29963.00,14640.00,0.00,15323.00,21527.00,56.00,4736.00,-16.00,4.00,4.00,0.00,1004.00,628.00,376.00,0.00,0.00,-556.00,15903.00,396.00,6204.00,0.00,0.00,-4.00,-56.00,1688.00,1132.00,556.00,-1744.00,0.00,-300.00,-208.00,6772.00,7296.00,-524.00,-19718.00,1244.00
1955:Q3,71967.00,30956.00,10628.00,21176.00,0.00,8884.00,75.00,248.00,0.00,72686.00,47928.00,11604.00,4392.00,7968.00,794.00,-719.00,10812.00,28.00,-184.00,10249.00,15799.00,14000.00,0.00,1799.00,7827.00,-148.00,-2072.00,-72.00,-16.00,-16.00,0.00,388.00,304.00,84.00,0.00,0.00,-416.00,9863.00,300.00,6028.00,0.00,0.00,0.00,-208.00,1368.00,-164.00,1532.00,-1576.00,0.00,84.00,4.00,6148.00,6380.00,-232.00,-5550.00,-3928.00
1955:Q4,73688.00,31808.00,10576.00,22048.00,0.00,8936.00,76.00,244.00,0.00,71742.00,46648.00,11612.00,4288.00,8232.00,962.00,1946.00,11040.00,124.00,-368.00,13230.00,17759.00,13892.00,0.00,3867.00,13071.00,-120.00,2436.00,20.00,64.00,64.00,0.00,428.00,228.00,200.00,0.00,0.00,180.00,9795.00,268.00,9204.00,0.00,0.00,0.00,2168.00,2488.00,1816.00,672.00,-320.00,0.00,468.00,-60.00,6628.00,7540.00,-912.00,-4529.00,3568.00
1956:Q1,74193.00,32704.00,10592.00,20996.00,0.00,9528.00,77.00,296.00,0.00,71899.00,46456.00,11908.00,4164.00,8304.00,1067.00,2294.00,11368.00,400.00,-388.00,13650.00,23689.00,14528.00,0.00,9161.00,12997.00,-164.00,5032.00,-24.00,-20.00,-20.00,0.00,-144.00,-156.00,12.00,0.00,0.00,-32.00,7909.00,440.00,3836.00,0.00,0.00,8.00,-4260.00,-3984.00,-5000.00,1016.00,-276.00,0.00,24.00,232.00,7832.00,7672.00,160.00,-10039.00,6620.00
1956:Q2,75571.00,33572.00,10576.00,21420.00,0.00,9632.00,79.00,292.00,0.00,74837.00,48320.00,12116.00,4432.00,8648.00,1321.00,734.00,11572.00,420.00,-600.00,12486.00,33193.00,15188.00,0.00,18005.00,11089.00,-204.00,-2932.00,-80.00,-4.00,-4.00,0.00,1012.00,976.00,36.00,0.00,0.00,1000.00,11825.00,472.00,-6916.00,0.00,0.00,12.00,-14836.00,-15108.00,-15060.00,-48.00,272.00,0.00,52.00,360.00,7496.00,7908.00,-412.00,-20707.00,-3868.00
1956:Q3,75386.00,34212.00,11024.00,20136.00,0.00,9648.00,82.00,284.00,0.00,74196.00,46540.00,12544.00,4532.00,8916.00,1664.00,1190.00,11800.00,388.00,-436.00,13038.00,15869.00,16256.00,0.00,-387.00,4629.00,620.00,-2864.00,-4.00,-32.00,-32.00,0.00,148.00,160.00,-12.00,0.00,0.00,-92.00,5973.00,880.00,5016.00,0.00,0.00,20.00,-2464.00,-2308.00,-4648.00,2340.00,-156.00,0.00,260.00,344.00,6856.00,5824.00,1032.00,-2831.00,-3940.00
1956:Q4,78220.00,35164.00,11672.00,21244.00,0.00,9780.00,84.00,276.00,0.00,76843.00,48124.00,12632.00,4604.00,9512.00,1971.00,1377.00,12016.00,372.00,-412.00,13433.00,17217.00,17036.00,0.00,181.00,11449.00,2180.00,-388.00,0.00,12.00,12.00,0.00,1740.00,1688.00,52.00,0.00,0.00,-572.00,7889.00,588.00,11268.00,0.00,0.00,36.00,1408.00,2268.00,2500.00,-232.00,-860.00,0.00,964.00,276.00,8584.00,8620.00,-36.00,-3784.00,1396.00
1957:Q1,80415.00,35712.00,11560.00,21736.00,0.00,11036.00,87.00,284.00,0.00,80043.00,50576.00,13360.00,4612.00,9460.00,2035.00,372.00,12376.00,324.00,4.00,12420.00,25556.00,17308.00,0.00,8248.00,20248.00,-232.00,9548.00,40.00,44.00,44.00,0.00,104.00,-100.00,204.00,0.00,0.00,420.00,8996.00,1328.00,12000.00,0.00,0.00,28.00,4940.00,5104.00,6872.00,-1768.00,-164.00,0.00,-296.00,184.00,7144.00,8568.00,-1424.00,-13136.00,8420.00
1957:Q2,79895.00,36076.00,11548.00,20832.00,0.00,11068.00,91.00,280.00,0.00,81440.00,50396.00,14484.00,4812.00,9780.00,1968.00,-1545.00,12568.00,-128.00,-320.00,11471.00,27804.00,17120.00,0.00,10684.00,4028.00,292.00,-7484.00,-56.00,-8.00,-8.00,0.00,-804.00,-972.00,168.00,0.00,0.00,732.00,10204.00,1152.00,-6656.00,0.00,0.00,44.00,-16612.00,-16572.00,-14772.00,-1800.00,-40.00,0.00,-220.00,88.00,10044.00,9276.00,768.00,-16333.00,-7392.00
1957:Q3,79858.00,36292.00,11656.00,20408.00,0.00,11132.00,94.00,276.00,0.00,81458.00,50380.00,14576.00,4676.00,9980.00,1846.00,-1600.00,12836.00,112.00,-200.00,11324.00,13508.00,17976.00,0.00,-4468.00,11956.00,1016.00,1112.00,56.00,4.00,4.00,0.00,920.00,616.00,304.00,0.00,0.00,-280.00,8596.00,532.00,16424.00,0.00,0.00,32.00,8816.00,9228.00,10408.00,-1180.00,-412.00,192.00,-208.00,48.00,7544.00,8880.00,-1336.00,-2184.00,1472.00
1957:Q4,77100.00,35896.00,11236.00,18640.00,0.00,10952.00,96.00,280.00,0.00,84802.00,52140.00,15704.00,4852.00,10372.00,1734.00,-7702.00,13068.00,116.00,44.00,5206.00,16424.00,17896.00,0.00,-1472.00,5308.00,140.00,-2632.00,-156.00,-24.00,-24.00,0.00,2248.00,1800.00,448.00,0.00,0.00,-1228.00,7204.00,-244.00,6780.00,0.00,0.00,40.00,-4724.00,-6632.00,-5684.00,-948.00,1908.00,192.00,1368.00,28.00,9876.00,9240.00,636.00,-11218.00,-1852.00
1958:Q1,73586.00,35156.00,11036.00,16032.00,0.00,10972.00,98.00,292.00,0.00,83760.00,50608.00,16840.00,4560.00,9900.00,1852.00,-10174.00,13056.00,132.00,620.00,2130.00,14093.00,18100.00,0.00,-4007.00,11101.00,376.00,5468.00,-124.00,168.00,168.00,0.00,1164.00,892.00,272.00,0.00,0.00,-552.00,4117.00,484.00,15108.00,0.00,0.00,64.00,7264.00,5128.00,3812.00,1316.00,2136.00,504.00,-408.00,28.00,7656.00,8628.00,-972.00,-11963.00,6232.00
1958:Q2,73487.00,34668.00,11196.00,16340.00,0.00,10892.00,99.00,292.00,0.00,88438.00,52840.00,18628.00,5100.00,9836.00,2034.00,-14951.00,13240.00,-516.00,976.00,-2171.00,10901.00,18672.00,0.00,-7771.00,20109.00,52.00,12924.00,16.00,-116.00,-116.00,0.00,692.00,464.00,228.00,0.00,0.00,-708.00,6521.00,728.00,27880.00,0.00,0.00,48.00,16796.00,19588.00,20144.00,-556.00,-2792.00,500.00,-244.00,44.00,10736.00,9768.00,968.00,-13072.00,13972.00
1958:Q3,76730.00,35868.00,11056.00,18356.00,0.00,11064.00,98.00,288.00,0.00,89180.00,52844.00,18972.00,5100.00,10040.00,2224.00,-12450.00,13528.00,584.00,936.00,-442.00,61.00,19016.00,0.00,-18955.00,-14859.00,-36.00,-25928.00,104.00,-76.00,-76.00,0.00,1688.00,1476.00,212.00,0.00,0.00,-520.00,9509.00,400.00,4096.00,0.00,0.00,12.00,-4044.00,-4656.00,-5860.00,1204.00,612.00,368.00,272.00,64.00,7424.00,8164.00,-740.00,-503.00,-28260.00
1958:Q4,80423.00,36248.00,11504.00,21112.00,0.00,11176.00,99.00,284.00,0.00,90984.00,53936.00,18324.00,5940.00,10404.00,2380.00,-10561.00,13784.00,-84.00,1480.00,1827.00,12217.00,19960.00,0.00,-7743.00,21657.00,-548.00,8768.00,108.00,-16.00,-16.00,0.00,2464.00,1536.00,928.00,0.00,0.00,-372.00,11549.00,-296.00,29400.00,0.00,0.00,28.00,18776.00,19056.00,18916.00,140.00,-280.00,372.00,632.00,88.00,9504.00,9356.00,148.00,-10390.00,8764.00
1959:Q1,84552.00,37152.00,11836.00,22264.00,84.00,13296.00,119.00,272.00,-471.00,89096.00,50784.00,18400.00,7436.00,11328.00,1148.00,-4544.00,13952.00,172.00,1896.00,7340.00,8319.00,21564.00,0.00,-13245.00,3059.00,-680.00,-1580.00,-28.00,-4.00,-4.00,0.00,2668.00,972.00,1696.00,0.00,0.00,-124.00,2571.00,236.00,16304.00,0.00,0.00,24.00,8872.00,10312.00,10268.00,44.00,-1440.00,196.00,-120.00,108.00,7224.00,9032.00,-1808.00,-979.00,-928.00
1959:Q2,88284.00,38292.00,12076.00,24376.00,84.00,13536.00,121.00,280.00,-481.00,90120.00,51824.00,18288.00,8116.00,10964.00,928.00,-1836.00,14152.00,-716.00,1204.00,11828.00,12738.00,21732.00,0.00,-8994.00,10406.00,1260.00,-332.00,44.00,16.00,16.00,0.00,2832.00,1136.00,1696.00,0.00,0.00,-20.00,6078.00,528.00,19400.00,0.00,0.00,60.00,8808.00,8740.00,10448.00,-1708.00,68.00,204.00,-492.00,124.00,10696.00,10232.00,464.00,-910.00,-456.00
1959:Q3,86484.00,38712.00,12460.00,21904.00,84.00,13484.00,127.00,268.00,-555.00,90716.00,52368.00,18520.00,7240.00,11500.00,1088.00,-4232.00,14372.00,1068.00,2260.00,6812.00,7254.00,22124.00,572.00,-15442.00,2370.00,640.00,816.00,-44.00,36.00,36.00,0.00,1492.00,300.00,1192.00,0.00,0.00,60.00,86.00,-716.00,17812.00,0.00,0.00,20.00,10180.00,10192.00,10480.00,-288.00,-12.00,428.00,-40.00,112.00,7112.00,8572.00,-1460.00,-442.00,240.00
1959:Q4,87091.00,39708.00,12472.00,21392.00,84.00,13528.00,133.00,272.00,-498.00,92012.00,52136.00,19104.00,7732.00,11972.00,1068.00,-4921.00,14600.00,-268.00,1512.00,8435.00,10857.00,21660.00,563.00,-11366.00,2610.00,-944.00,3728.00,-140.00,-52.00,-52.00,0.00,144.00,-352.00,496.00,0.00,0.00,80.00,-210.00,4.00,13976.00,0.00,0.00,52.00,2104.00,3316.00,5012.00,-1696.00,-1212.00,432.00,936.00,92.00,10360.00,9972.00,388.00,-2422.00,3592.00
1960:Q1,95237.00,41140.00,13252.00,23644.00,88.00,16008.00,1408.00,280.00,-583.00,90512.00,49384.00,19132.00,7004.00,13968.00,1024.00,4725.00,14824.00,88.00,840.00,18621.00,17478.00,21564.00,291.00,-4377.00,559.00,-468.00,128.00,-20.00,180.00,180.00,0.00,808.00,1112.00,-304.00,0.00,0.00,400.00,-1033.00,564.00,4936.00,0.00,0.00,52.00,-5128.00,-4876.00,-5116.00,240.00,-252.00,400.00,820.00,84.00,8708.00,9660.00,-952.00,1143.00,-24.00
1960:Q2,93874.00,41816.00,13128.00,21720.00,100.00,16044.00,1382.00,292.00,-608.00,92568.00,49764.00,19688.00,7868.00,13968.00,1280.00,1306.00,15020.00,360.00,940.00,15026.00,16602.00,21244.00,519.00,-5161.00,4259.00,-260.00,4304.00,40.00,-124.00,-124.00,0.00,1164.00,988.00,176.00,0.00,0.00,-204.00,-1589.00,928.00,9420.00,0.00,0.00,36.00,-1692.00,-2692.00,-2740.00,48.00,1000.00,408.00,-444.00,72.00,11040.00,9732.00,1308.00,-1576.00,4612.00
1960:Q3,93326.00,42264.00,13036.00,20736.00,96.00,16068.00,1596.00,308.00,-778.00,93704.00,51740.00,20368.00,6720.00,13828.00,1048.00,-378.00,15248.00,84.00,1184.00,13602.00,10760.00,22392.00,535.00,-12167.00,-1795.00,-308.00,-1244.00,-40.00,-48.00,-48.00,0.00,944.00,552.00,392.00,0.00,0.00,-40.00,-1455.00,396.00,10372.00,0.00,0.00,48.00,104.00,1832.00,940.00,892.00,-1728.00,404.00,324.00,68.00,9424.00,9908.00,-484.00,2842.00,-2784.00
1960:Q4,91782.00,42132.00,12872.00,19688.00,96.00,15948.00,1534.00,328.00,-816.00,96692.00,52908.00,21264.00,7540.00,13748.00,1232.00,-4910.00,15460.00,-316.00,464.00,10402.00,10504.00,22368.00,459.00,-12323.00,673.00,-632.00,984.00,-72.00,132.00,132.00,0.00,1068.00,552.00,516.00,0.00,0.00,116.00,-1807.00,884.00,12996.00,0.00,0.00,52.00,664.00,728.00,-276.00,1004.00,-64.00,408.00,1124.00,80.00,10668.00,10372.00,296.00,-102.00,1552.00
1961:Q1,91825.00,42164.00,12856.00,19396.00,104.00,16304.00,1560.00,344.00,-903.00,96500.00,51000.00,22948.00,7288.00,13692.00,1572.00,-4675.00,15672.00,-56.00,1064.00,9989.00,8034.00,24264.00,379.00,-16609.00,-5585.00,-186.00,-5530.00,152.00,-4.00,-4.00,0.00,2484.00,2144.00,340.00,0.00,0.00,8.00,-2817.00,308.00,11024.00,0.00,0.00,20.00,740.00,172.00,-2248.00,2420.00,568.00,216.00,340.00,84.00,9624.00,10156.00,-532.00,1955.00,-4384.00
1961:Q2,93757.00,42460.00,13020.00,20740.00,108.00,16488.00,1587.00,344.00,-990.00,100140.00,52148.00,23704.00,8532.00,13748.00,2008.00,-6383.00,15876.00,40.00,896.00,8557.00,5250.00,24008.00,558.00,-19316.00,-684.00,514.00,-894.00,-48.00,-92.00,-92.00,0.00,-604.00,-972.00,368.00,0.00,0.00,-172.00,184.00,428.00,18632.00,0.00,0.00,64.00,7964.00,8032.00,6812.00,1220.00,-68.00,216.00,-932.00,88.00,11232.00,10232.00,1000.00,3307.00,40.00
1961:Q3,95585.00,42756.00,13160.00,21964.00,112.00,16620.00,1537.00,364.00,-928.00,100456.00,53244.00,23736.00,7328.00,13976.00,2172.00,-4871.00,16112.00,20.00,756.00,10465.00,13580.00,24848.00,614.00,-11882.00,14766.00,1632.00,8192.00,48.00,96.00,96.00,0.00,2944.00,2420.00,524.00,0.00,0.00,196.00,1646.00,12.00,26648.00,0.00,0.00,64.00,16540.00,16708.00,14580.00,2128.00,-168.00,228.00,616.00,96.00,9104.00,10680.00,-1576.00,-3115.00,4756.00
