date,FU893065405.Q,FU103165405.Q,FU113165405.Q,FU313165403.Q,FU643165483.Q,FU893065405.Q,FU153065403.Q,FU103065403.Q,FU113065403.Q,FU313065405.Q,FU213065403.Q,FU763065403.Q,FU753065403.Q,FU543065405.Q,FU573065403.Q,FU223065443.Q,FU403065405.Q,FU413065405.Q,FU673065405.Q,FU613065403.Q,FU643065405.Q
1951:Q4,1341.00,67.00,1274.00,0.00,0.00,1341.00,260.00,0.00,0.00,20.00,0.00,643.00,0.00,416.00,6.00,10.00,0.00,0.00,0.00,-14.00,0.00
1952:Q1,178.00,9.00,169.00,0.00,0.00,178.00,118.00,0.00,0.00,5.00,0.00,-45.00,0.00,80.00,1.00,3.00,0.00,0.00,0.00,16.00,0.00
1952:Q2,217.00,11.00,206.00,0.00,0.00,217.00,67.00,0.00,0.00,3.00,0.00,78.00,0.00,59.00,2.00,3.00,0.00,0.00,0.00,5.00,0.00
1952:Q3,238.00,12.00,226.00,0.00,0.00,238.00,61.00,0.00,0.00,7.00,0.00,96.00,0.00,61.00,3.00,3.00,0.00,0.00,0.00,7.00,0.00
1952:Q4,206.00,10.00,196.00,0.00,0.00,206.00,64.00,0.00,0.00,-1.00,0.00,78.00,0.00,57.00,2.00,3.00,0.00,0.00,0.00,3.00,0.00
1953:Q1,106.00,5.00,101.00,0.00,0.00,106.00,53.00,0.00,0.00,22.00,0.00,24.00,0.00,17.00,3.00,4.00,0.00,0.00,0.00,-17.00,0.00
1953:Q2,179.00,9.00,170.00,0.00,0.00,179.00,52.00,0.00,0.00,24.00,0.00,73.00,0.00,15.00,3.00,4.00,0.00,0.00,0.00,8.00,0.00
1953:Q3,168.00,8.00,160.00,0.00,0.00,168.00,46.00,0.00,0.00,39.00,0.00,51.00,0.00,12.00,3.00,3.00,0.00,0.00,0.00,14.00,0.00
1953:Q4,187.00,9.00,178.00,0.00,0.00,187.00,77.00,0.00,0.00,25.00,0.00,52.00,0.00,31.00,3.00,5.00,0.00,0.00,0.00,-6.00,0.00
1954:Q1,53.00,3.00,50.00,0.00,0.00,53.00,63.00,0.00,0.00,-26.00,0.00,1.00,0.00,6.00,3.00,4.00,0.00,0.00,0.00,2.00,0.00
1954:Q2,138.00,7.00,131.00,0.00,0.00,138.00,69.00,0.00,0.00,25.00,0.00,27.00,0.00,7.00,2.00,5.00,0.00,0.00,0.00,3.00,0.00
1954:Q3,140.00,7.00,133.00,0.00,0.00,140.00,55.00,0.00,0.00,68.00,0.00,-9.00,0.00,9.00,3.00,5.00,0.00,0.00,0.00,9.00,0.00
1954:Q4,213.00,11.00,202.00,0.00,0.00,213.00,98.00,0.00,0.00,17.00,0.00,64.00,0.00,19.00,4.00,5.00,0.00,0.00,0.00,6.00,0.00
1955:Q1,117.00,6.00,111.00,0.00,0.00,117.00,88.00,0.00,0.00,27.00,0.00,-49.00,0.00,32.00,4.00,5.00,0.00,0.00,0.00,10.00,0.00
1955:Q2,207.00,10.00,197.00,0.00,0.00,207.00,83.00,0.00,0.00,30.00,0.00,48.00,0.00,20.00,5.00,5.00,0.00,0.00,0.00,16.00,0.00
1955:Q3,190.00,10.00,181.00,0.00,0.00,190.00,81.00,0.00,0.00,12.00,0.00,38.00,0.00,24.00,5.00,5.00,0.00,0.00,0.00,25.00,0.00
1955:Q4,311.00,16.00,295.00,0.00,0.00,311.00,115.00,0.00,0.00,46.00,0.00,66.00,0.00,72.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,167.00,8.00,159.00,0.00,0.00,167.00,94.00,0.00,0.00,15.00,0.00,27.00,0.00,27.00,8.00,6.00,1.00,0.00,0.00,-11.00,0.00
1956:Q2,170.00,9.00,162.00,0.00,0.00,170.00,112.00,0.00,0.00,15.00,0.00,11.00,0.00,24.00,8.00,4.00,0.00,0.00,0.00,-4.00,0.00
1956:Q3,145.00,7.00,138.00,0.00,0.00,145.00,100.00,0.00,0.00,4.00,0.00,14.00,0.00,7.00,9.00,6.00,-1.00,0.00,0.00,6.00,0.00
1956:Q4,92.00,5.00,87.00,0.00,0.00,92.00,82.00,0.00,0.00,9.00,0.00,-9.00,0.00,5.00,9.00,7.00,0.00,0.00,0.00,-11.00,0.00
1957:Q1,21.00,1.00,20.00,0.00,0.00,21.00,76.00,0.00,0.00,18.00,0.00,-29.00,0.00,-37.00,8.00,9.00,0.00,0.00,0.00,-24.00,0.00
1957:Q2,97.00,5.00,92.00,0.00,0.00,97.00,97.00,0.00,0.00,6.00,0.00,14.00,0.00,-29.00,8.00,11.00,0.00,0.00,0.00,-10.00,0.00
1957:Q3,197.00,7.00,142.00,48.00,0.00,197.00,156.00,0.00,0.00,2.00,0.00,21.00,0.00,-2.00,9.00,12.00,0.00,0.00,0.00,-1.00,0.00
1957:Q4,232.00,9.00,175.00,48.00,0.00,232.00,143.00,0.00,0.00,17.00,0.00,49.00,0.00,4.00,9.00,13.00,0.00,0.00,0.00,-3.00,0.00
1958:Q1,414.00,14.00,274.00,126.00,0.00,414.00,253.00,0.00,0.00,16.00,1.00,110.00,0.00,-1.00,10.00,14.00,0.00,0.00,0.00,11.00,0.00
1958:Q2,492.00,18.00,349.00,125.00,0.00,492.00,301.00,0.00,0.00,15.00,2.00,140.00,0.00,-1.00,10.00,14.00,0.00,0.00,0.00,11.00,0.00
1958:Q3,503.00,21.00,390.00,92.00,0.00,503.00,266.00,0.00,0.00,13.00,2.00,185.00,0.00,-1.00,11.00,16.00,0.00,0.00,0.00,11.00,0.00
1958:Q4,545.00,23.00,429.00,93.00,0.00,545.00,249.00,0.00,0.00,90.00,1.00,164.00,0.00,-1.00,13.00,18.00,0.00,0.00,0.00,11.00,0.00
1959:Q1,567.00,26.00,492.00,49.00,0.00,567.00,220.00,0.00,0.00,95.00,1.00,142.00,0.00,64.00,15.00,18.00,0.00,0.00,0.00,12.00,0.00
1959:Q2,547.00,25.00,471.00,51.00,0.00,547.00,253.00,0.00,0.00,79.00,1.00,142.00,0.00,45.00,16.00,17.00,0.00,0.00,0.00,-6.00,0.00
1959:Q3,533.00,21.00,405.00,107.00,0.00,533.00,270.00,0.00,0.00,74.00,1.00,149.00,0.00,-8.00,17.00,20.00,0.00,0.00,0.00,10.00,0.00
1959:Q4,488.00,19.00,361.00,108.00,0.00,488.00,258.00,0.00,0.00,53.00,3.00,105.00,0.00,18.00,18.00,25.00,0.00,0.00,0.00,8.00,0.00
1960:Q1,499.00,20.00,379.00,100.00,0.00,499.00,242.00,0.00,0.00,35.00,2.00,88.00,0.00,75.00,21.00,32.00,0.00,0.00,0.00,4.00,0.00
1960:Q2,503.00,20.00,381.00,102.00,0.00,503.00,211.00,0.00,0.00,32.00,1.00,167.00,0.00,43.00,22.00,37.00,0.00,0.00,0.00,-10.00,0.00
1960:Q3,591.00,25.00,466.00,101.00,0.00,591.00,224.00,0.00,0.00,25.00,3.00,212.00,0.00,56.00,22.00,39.00,1.00,0.00,0.00,9.00,0.00
1960:Q4,493.00,20.00,371.00,102.00,0.00,493.00,205.00,0.00,0.00,28.00,8.00,175.00,0.00,25.00,20.00,37.00,1.00,0.00,0.00,-6.00,0.00
1961:Q1,638.00,29.00,555.00,54.00,0.00,638.00,213.00,0.00,0.00,15.00,11.00,238.00,0.00,103.00,20.00,37.00,0.00,0.00,0.00,1.00,0.00
1961:Q2,519.00,23.00,442.00,54.00,0.00,519.00,165.00,0.00,0.00,20.00,15.00,228.00,0.00,31.00,16.00,37.00,0.00,0.00,0.00,7.00,0.00
1961:Q3,847.00,40.00,751.00,57.00,0.00,847.00,236.00,0.00,0.00,28.00,18.00,401.00,0.00,80.00,18.00,37.00,0.00,0.00,0.00,29.00,0.00
1961:Q4,832.00,39.00,736.00,57.00,0.00,832.00,284.00,0.00,0.00,20.00,21.00,252.00,0.00,171.00,20.00,34.00,0.00,0.00,0.00,30.00,0.00
1962:Q1,596.00,26.00,490.00,80.00,0.00,596.00,41.00,0.00,0.00,2.00,24.00,427.00,0.00,56.00,21.00,30.00,1.00,0.00,0.00,-6.00,0.00
1962:Q2,719.00,32.00,606.00,81.00,0.00,719.00,95.00,0.00,0.00,37.00,27.00,412.00,0.00,70.00,21.00,27.00,5.00,0.00,0.00,25.00,0.00
1962:Q3,832.00,39.00,745.00,48.00,0.00,832.00,90.00,0.00,0.00,-8.00,31.00,555.00,0.00,86.00,23.00,27.00,0.00,0.00,0.00,28.00,0.00
1962:Q4,963.00,46.00,866.00,51.00,0.00,963.00,81.00,0.00,0.00,0.00,36.00,499.00,0.00,286.00,24.00,29.00,4.00,0.00,0.00,4.00,0.00
1963:Q1,650.00,31.00,594.00,25.00,0.00,650.00,27.00,0.00,0.00,-33.00,41.00,479.00,0.00,84.00,23.00,29.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,820.00,40.00,753.00,27.00,0.00,820.00,-1.00,0.00,0.00,-15.00,46.00,575.00,0.00,134.00,22.00,29.00,0.00,0.00,0.00,30.00,0.00
1963:Q3,792.00,39.00,749.00,4.00,0.00,792.00,-57.00,0.00,0.00,-33.00,49.00,585.00,0.00,158.00,23.00,30.00,-1.00,1.00,0.00,37.00,0.00
1963:Q4,1030.00,51.00,973.00,6.00,0.00,1030.00,-5.00,0.00,0.00,-2.00,49.00,681.00,0.00,219.00,30.00,34.00,1.00,0.00,0.00,23.00,0.00
1964:Q1,912.00,46.00,869.00,-3.00,0.00,912.00,-27.00,0.00,0.00,9.00,51.00,405.00,0.00,406.00,40.00,35.00,-1.00,0.00,0.00,-6.00,0.00
1964:Q2,1159.00,58.00,1107.00,-6.00,0.00,1159.00,-36.00,0.00,0.00,21.00,55.00,562.00,0.00,439.00,44.00,37.00,0.00,0.00,0.00,37.00,0.00
1964:Q3,1218.00,60.00,1140.00,18.00,0.00,1218.00,17.00,0.00,0.00,-19.00,54.00,594.00,0.00,468.00,41.00,40.00,0.00,1.00,0.00,22.00,0.00
1964:Q4,1265.00,62.00,1182.00,21.00,0.00,1265.00,11.00,0.00,0.00,-24.00,51.00,549.00,0.00,580.00,42.00,47.00,0.00,0.00,0.00,9.00,0.00
1965:Q1,806.00,39.00,743.00,24.00,0.00,806.00,-94.00,0.00,0.00,-36.00,48.00,416.00,0.00,371.00,41.00,51.00,0.00,0.00,0.00,9.00,0.00
1965:Q2,916.00,45.00,846.00,26.00,0.00,916.00,-126.00,0.00,0.00,-47.00,47.00,520.00,0.00,374.00,72.00,55.00,0.00,0.00,0.00,21.00,0.00
1965:Q3,943.00,48.00,910.00,-15.00,0.00,943.00,-159.00,0.00,0.00,20.00,44.00,544.00,0.00,357.00,36.00,59.00,0.00,1.00,0.00,41.00,0.00
1965:Q4,970.00,49.00,937.00,-16.00,0.00,970.00,-122.00,0.00,0.00,61.00,41.00,435.00,0.00,473.00,26.00,60.00,-1.00,1.00,0.00,-4.00,0.00
1966:Q1,974.00,49.00,940.00,-15.00,0.00,974.00,-19.00,0.00,0.00,130.00,35.00,379.00,0.00,353.00,37.00,64.00,0.00,0.00,0.00,-5.00,0.00
1966:Q2,888.00,45.00,858.00,-15.00,0.00,888.00,13.00,0.00,0.00,84.00,30.00,299.00,0.00,377.00,24.00,69.00,0.00,-1.00,0.00,-7.00,0.00
1966:Q3,633.00,32.00,616.00,-15.00,0.00,633.00,-43.00,0.00,0.00,48.00,28.00,127.00,0.00,377.00,35.00,66.00,0.00,1.00,0.00,-6.00,0.00
1966:Q4,567.00,29.00,555.00,-17.00,0.00,567.00,-21.00,0.00,0.00,40.00,31.00,70.00,0.00,371.00,58.00,57.00,0.00,0.00,0.00,-39.00,0.00
1967:Q1,693.00,35.00,671.00,-13.00,0.00,693.00,-49.00,0.00,0.00,62.00,32.00,202.00,0.00,365.00,25.00,57.00,-1.00,1.00,0.00,-1.00,0.00
1967:Q2,833.00,42.00,806.00,-15.00,0.00,833.00,-31.00,0.00,0.00,22.00,32.00,382.00,0.00,329.00,-3.00,56.00,0.00,0.00,0.00,46.00,0.00
1967:Q3,947.00,48.00,916.00,-17.00,0.00,947.00,-8.00,0.00,0.00,46.00,33.00,489.00,0.00,318.00,25.00,27.00,0.00,2.00,0.00,15.00,0.00
1967:Q4,1067.00,54.00,1031.00,-18.00,0.00,1067.00,45.00,0.00,0.00,85.00,35.00,454.00,0.00,416.00,8.00,28.00,0.00,2.00,0.00,-6.00,0.00
1968:Q1,662.00,33.00,634.00,-18.00,13.00,662.00,5.00,0.00,0.00,93.00,37.00,338.00,0.00,157.00,2.00,47.00,2.00,1.00,0.00,-20.00,0.00
1968:Q2,765.00,39.00,732.00,-18.00,13.00,765.00,-89.00,0.00,0.00,81.00,39.00,436.00,0.00,206.00,-12.00,39.00,0.00,2.00,0.00,33.00,30.00
1968:Q3,899.00,44.00,842.00,-14.00,27.00,899.00,63.00,0.00,0.00,69.00,41.00,434.00,0.00,245.00,6.00,2.00,3.00,3.00,0.00,20.00,13.00
1968:Q4,1110.00,56.00,1057.00,-16.00,13.00,1110.00,-65.00,0.00,0.00,100.00,44.00,495.00,0.00,429.00,0.00,30.00,2.00,3.00,0.00,40.00,32.00
1969:Q1,945.00,46.00,866.00,-19.00,52.00,945.00,61.00,0.00,0.00,63.00,38.00,472.00,0.00,207.00,4.00,22.00,2.00,4.00,0.00,-2.00,74.00
1969:Q2,1156.00,59.00,1119.00,-25.00,3.00,1156.00,-67.00,0.00,0.00,170.00,50.00,614.00,0.00,237.00,-1.00,29.00,2.00,4.00,0.00,52.00,66.00
1969:Q3,1160.00,58.00,1110.00,-12.00,4.00,1160.00,-88.00,0.00,0.00,192.00,111.00,496.00,0.00,315.00,21.00,25.00,8.00,4.00,0.00,-13.00,89.00
1969:Q4,1664.00,84.00,1588.00,-25.00,17.00,1664.00,-315.00,0.00,0.00,256.00,187.00,478.00,0.00,722.00,30.00,35.00,3.00,5.00,0.00,74.00,189.00
1970:Q1,2192.00,110.00,2098.00,-17.00,1.00,2192.00,840.00,0.00,0.00,113.00,233.00,364.00,0.00,324.00,8.00,25.00,22.00,5.00,0.00,-15.00,273.00
1970:Q2,1587.00,80.00,1526.00,-24.00,5.00,1587.00,28.00,0.00,0.00,91.00,79.00,569.00,0.00,405.00,0.00,37.00,97.00,5.00,0.00,150.00,126.00
1970:Q3,2114.00,106.00,2010.00,-26.00,24.00,2114.00,287.00,0.00,0.00,149.00,108.00,693.00,0.00,392.00,-24.00,10.00,96.00,8.00,0.00,263.00,132.00
1970:Q4,2161.00,108.00,2053.00,-8.00,8.00,2161.00,-14.00,0.00,0.00,153.00,152.00,760.00,0.00,613.00,15.00,10.00,75.00,7.00,0.00,145.00,245.00
1971:Q1,2183.00,109.00,2076.00,-14.00,12.00,2183.00,-302.00,0.00,75.00,143.00,223.00,1227.00,0.00,209.00,-44.00,159.00,114.00,9.00,0.00,233.00,137.00
1971:Q2,2740.00,138.00,2613.00,-21.00,11.00,2740.00,-283.00,0.00,75.00,86.00,97.00,1925.00,0.00,93.00,-131.00,136.00,150.00,10.00,0.00,370.00,212.00
1971:Q3,2347.00,118.00,2241.00,-18.00,6.00,2347.00,-379.00,0.00,75.00,57.00,205.00,1392.00,0.00,202.00,-31.00,53.00,223.00,9.00,0.00,286.00,255.00
1971:Q4,2451.00,123.00,2332.00,-19.00,15.00,2451.00,-665.00,0.00,75.00,113.00,191.00,1685.00,0.00,274.00,-107.00,-62.00,332.00,26.00,0.00,284.00,305.00
1972:Q1,2586.00,130.00,2464.00,-25.00,17.00,2586.00,-34.00,0.00,75.00,62.00,233.00,1224.00,0.00,90.00,-179.00,-7.00,260.00,32.00,0.00,214.00,616.00
1972:Q2,3366.00,166.00,3152.00,-18.00,66.00,3366.00,178.00,0.00,75.00,74.00,229.00,1961.00,0.00,11.00,-111.00,-14.00,193.00,66.00,0.00,306.00,398.00
1972:Q3,2788.00,139.00,2633.00,-21.00,37.00,2788.00,38.00,0.00,75.00,52.00,266.00,1637.00,0.00,127.00,-47.00,14.00,276.00,68.00,0.00,-77.00,359.00
1972:Q4,4042.00,201.00,3827.00,-22.00,36.00,4042.00,97.00,0.00,75.00,94.00,250.00,1738.00,0.00,372.00,-8.00,-44.00,250.00,112.00,0.00,438.00,668.00
1973:Q1,1817.00,90.00,1709.00,-22.00,40.00,1817.00,-238.00,0.00,37.00,-17.00,154.00,1173.00,0.00,12.00,-50.00,-96.00,255.00,110.00,0.00,192.00,285.00
1973:Q2,3364.00,167.00,3169.00,-18.00,46.00,3364.00,-207.00,0.00,22.00,36.00,155.00,1231.00,0.00,247.00,-4.00,6.00,574.00,44.00,0.00,291.00,969.00
1973:Q3,3170.00,159.00,3025.00,-16.00,2.00,3170.00,-209.00,0.00,-11.00,142.00,270.00,1186.00,0.00,321.00,-25.00,24.00,533.00,52.00,0.00,230.00,657.00
1973:Q4,2064.00,103.00,1965.00,-15.00,11.00,2064.00,-293.00,0.00,-39.00,137.00,338.00,725.00,0.00,524.00,-18.00,-6.00,482.00,18.00,0.00,-274.00,470.00
1974:Q1,2164.00,108.00,2054.00,-20.00,22.00,2164.00,33.00,0.00,-6.00,62.00,232.00,499.00,0.00,229.00,13.00,20.00,561.00,16.00,0.00,157.00,348.00
1974:Q2,1866.00,94.00,1791.00,-22.00,3.00,1866.00,-3.00,0.00,-10.00,85.00,276.00,926.00,0.00,255.00,8.00,-14.00,584.00,16.00,0.00,-235.00,-22.00
1974:Q3,1712.00,87.00,1647.00,-31.00,9.00,1712.00,-15.00,0.00,-16.00,253.00,333.00,618.00,0.00,274.00,6.00,34.00,574.00,89.00,0.00,-229.00,-209.00
1974:Q4,1133.00,58.00,1100.00,-33.00,8.00,1133.00,-48.00,0.00,-25.00,315.00,511.00,270.00,0.00,416.00,3.00,47.00,487.00,38.00,0.00,-929.00,48.00
1975:Q1,-82.00,-4.00,-74.00,-4.00,0.00,-82.00,563.00,-142.00,-50.00,325.00,166.00,-163.00,0.00,175.00,62.00,-15.00,219.00,120.00,0.00,-206.00,-1136.00
1975:Q2,149.00,10.00,190.00,-42.00,-9.00,149.00,202.00,102.00,-38.00,390.00,299.00,427.00,0.00,-36.00,2.00,11.00,40.00,-43.00,0.00,-134.00,-1073.00
1975:Q3,80.00,6.00,105.00,-17.00,-14.00,80.00,407.00,69.00,-8.00,284.00,171.00,372.00,0.00,-61.00,-10.00,0.00,-21.00,237.00,0.00,-201.00,-1159.00
1975:Q4,-135.00,-5.00,-103.00,-27.00,0.00,-135.00,101.00,33.00,16.00,213.00,112.00,255.00,0.00,-74.00,-10.00,156.00,3.00,86.00,0.00,-225.00,-801.00
1976:Q1,1441.00,72.00,1371.00,-22.00,20.00,1441.00,-148.00,404.00,23.00,71.00,-138.00,1357.00,0.00,-64.00,-5.00,-12.00,-135.00,271.00,0.00,104.00,-287.00
1976:Q2,1438.00,71.00,1348.00,-22.00,41.00,1438.00,-325.00,353.00,38.00,-89.00,105.00,1999.00,0.00,-198.00,23.00,17.00,4.00,23.00,0.00,-236.00,-276.00
1976:Q3,1302.00,65.00,1235.00,-32.00,34.00,1302.00,-209.00,321.00,74.00,352.00,163.00,942.00,0.00,-133.00,5.00,-51.00,5.00,89.00,0.00,9.00,-265.00
1976:Q4,986.00,47.00,887.00,-15.00,67.00,986.00,-210.00,244.00,108.00,-113.00,180.00,1129.00,0.00,-56.00,-3.00,15.00,66.00,101.00,0.00,-222.00,-253.00
1977:Q1,1247.00,64.00,1223.00,-33.00,-7.00,1247.00,-168.00,404.00,43.00,40.00,106.00,909.00,0.00,-245.00,27.00,-13.00,1.00,265.00,0.00,-14.00,-108.00
1977:Q2,2604.00,133.00,2531.00,-30.00,-30.00,2604.00,-272.00,461.00,55.00,67.00,1.00,2050.00,0.00,-26.00,26.00,-28.00,121.00,63.00,0.00,194.00,-108.00
1977:Q3,2089.00,107.00,2026.00,-25.00,-19.00,2089.00,-94.00,404.00,86.00,-28.00,119.00,1705.00,0.00,-56.00,-4.00,-289.00,56.00,225.00,0.00,71.00,-106.00
1977:Q4,2444.00,124.00,2352.00,-25.00,-7.00,2444.00,-123.00,408.00,115.00,218.00,62.00,1418.00,0.00,-28.00,-24.00,180.00,-125.00,372.00,0.00,76.00,-105.00
1978:Q1,2522.00,132.00,2515.00,-24.00,-101.00,2522.00,-230.00,429.00,120.00,348.00,84.00,1691.00,0.00,-175.00,3.00,35.00,-33.00,301.00,0.00,-12.00,-39.00
1978:Q2,3445.00,171.00,3253.00,-27.00,48.00,3445.00,-32.00,505.00,128.00,67.00,197.00,1952.00,0.00,40.00,-2.00,231.00,-194.00,584.00,0.00,7.00,-38.00
1978:Q3,2409.00,119.00,2264.00,-26.00,52.00,2409.00,-64.00,397.00,149.00,406.00,-119.00,1147.00,0.00,54.00,-14.00,55.00,70.00,267.00,0.00,109.00,-48.00
1978:Q4,2447.00,121.00,2295.00,-20.00,51.00,2447.00,-149.00,394.00,170.00,121.00,226.00,593.00,0.00,258.00,-50.00,239.00,149.00,361.00,0.00,162.00,-27.00
1979:Q1,2451.00,123.00,2335.00,-26.00,19.00,2451.00,-96.00,418.00,160.00,210.00,214.00,1007.00,0.00,64.00,-8.00,153.00,65.00,250.00,0.00,15.00,-1.00
1979:Q2,2268.00,116.00,2198.00,-41.00,-5.00,2268.00,-139.00,466.00,147.00,97.00,319.00,852.00,0.00,12.00,-8.00,160.00,-48.00,333.00,0.00,78.00,-1.00
1979:Q3,2493.00,127.00,2404.00,-25.00,-12.00,2493.00,-52.00,443.00,116.00,188.00,301.00,660.00,0.00,-12.00,52.00,202.00,110.00,288.00,0.00,198.00,-1.00
1979:Q4,2631.00,133.00,2529.00,-26.00,-5.00,2631.00,-159.00,510.00,90.00,622.00,542.00,469.00,0.00,151.00,-2.00,52.00,61.00,339.00,0.00,-43.00,-1.00
1980:Q1,1979.00,100.00,1903.00,-21.00,-3.00,1979.00,-83.00,620.00,-52.00,435.00,263.00,488.00,0.00,50.00,-61.00,225.00,36.00,79.00,0.00,0.00,-21.00
1980:Q2,1381.00,71.00,1346.00,-32.00,-4.00,1381.00,-17.00,201.00,-8.00,806.00,383.00,-159.00,0.00,27.00,-27.00,54.00,-62.00,221.00,0.00,-17.00,-21.00
1980:Q3,1810.00,92.00,1751.00,-29.00,-4.00,1810.00,-156.00,132.00,104.00,167.00,444.00,610.00,0.00,46.00,-76.00,161.00,86.00,214.00,0.00,99.00,-21.00
1980:Q4,2308.00,117.00,2216.00,-22.00,-3.00,2308.00,-85.00,93.00,195.00,450.00,366.00,719.00,0.00,176.00,-44.00,72.00,101.00,144.00,0.00,141.00,-20.00
1981:Q1,1422.00,73.00,1379.00,-30.00,0.00,1422.00,-88.00,-129.00,325.00,436.00,133.00,599.00,0.00,13.00,-12.00,134.00,-20.00,135.00,0.00,-91.00,-13.00
1981:Q2,1004.00,52.00,979.00,-27.00,1.00,1004.00,-111.00,-203.00,357.00,397.00,383.00,-85.00,0.00,-32.00,8.00,213.00,-19.00,90.00,0.00,19.00,-13.00
1981:Q3,1087.00,56.00,1057.00,-28.00,2.00,1087.00,-98.00,-272.00,438.00,-388.00,396.00,442.00,0.00,-54.00,-2.00,412.00,12.00,173.00,0.00,41.00,-13.00
1981:Q4,1278.00,65.00,1233.00,-24.00,4.00,1278.00,-270.00,-655.00,505.00,513.00,337.00,417.00,0.00,-158.00,-6.00,163.00,-54.00,457.00,0.00,42.00,-13.00
1982:Q1,1263.00,64.00,1218.00,-26.00,7.00,1263.00,135.00,-414.00,317.00,-95.00,372.00,608.00,0.00,-74.00,0.00,352.00,-23.00,39.00,0.00,18.00,28.00
1982:Q2,1054.00,54.00,1021.00,-32.00,11.00,1054.00,949.00,-1155.00,295.00,322.00,202.00,389.00,0.00,-209.00,-23.00,10.00,-25.00,108.00,0.00,163.00,28.00
