1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q3,13760.00,2247.00,4160.00,7350.00,3.00,13760.00,347.00,-881.00,569.00,104.00,145.00,9309.00,-141.00,-100.00,206.00,2793.00,1005.00,5.00,0.00,0.00,426.00,-27.00
1983:Q4,15449.00,2440.00,4299.00,8713.00,-2.00,15449.00,-18.00,1203.00,804.00,105.00,-3.00,9035.00,357.00,-74.00,151.00,3622.00,-371.00,239.00,0.00,0.00,425.00,-26.00
1984:Q1,15065.00,3420.00,-1859.00,13449.00,55.00,15065.00,6.00,3672.00,940.00,15.00,64.00,10594.00,-768.00,-35.00,103.00,939.00,-1117.00,55.00,0.00,0.00,487.00,110.00
1984:Q2,21279.00,2017.00,5711.00,13460.00,91.00,21279.00,-148.00,3607.00,1003.00,70.00,37.00,13502.00,-158.00,-17.00,76.00,2778.00,-379.00,212.00,0.00,0.00,579.00,117.00
1984:Q3,22091.00,1098.00,4100.00,16806.00,87.00,22091.00,-449.00,4856.00,1162.00,-153.00,80.00,13973.00,143.00,13.00,90.00,2253.00,-631.00,39.00,0.00,0.00,604.00,111.00
1984:Q4,20119.00,391.00,1004.00,18683.00,42.00,20119.00,-679.00,3156.00,1287.00,99.00,83.00,12485.00,1209.00,-5.00,84.00,1374.00,481.00,286.00,0.00,0.00,182.00,77.00
1985:Q1,15152.00,1712.00,-3159.00,16592.00,7.00,15152.00,789.00,-18.00,947.00,46.00,57.00,9764.00,-163.00,-1.00,205.00,2246.00,631.00,94.00,0.00,0.00,499.00,56.00
1985:Q2,18903.00,126.00,1745.00,17025.00,8.00,18903.00,-522.00,1552.00,907.00,75.00,141.00,11368.00,-73.00,25.00,178.00,3874.00,841.00,33.00,0.00,85.00,342.00,77.00
1985:Q3,16173.00,579.00,-1842.00,17426.00,10.00,16173.00,380.00,532.00,809.00,87.00,237.00,10742.00,91.00,32.00,150.00,2888.00,-255.00,26.00,0.00,-2.00,373.00,83.00
1985:Q4,19535.00,801.00,9034.00,9688.00,12.00,19535.00,283.00,-29.00,732.00,85.00,294.00,6434.00,272.00,21.00,142.00,7487.00,701.00,21.00,0.00,481.00,899.00,1712.00
1986:Q1,12570.00,1552.00,1351.00,9577.00,90.00,12570.00,-1255.00,-2923.00,195.00,18.00,664.00,11033.00,431.00,22.00,284.00,3048.00,437.00,147.00,0.00,-16.00,333.00,152.00
1986:Q2,11592.00,3117.00,3140.00,5183.00,152.00,11592.00,-402.00,-1391.00,190.00,91.00,-10.00,7125.00,413.00,15.00,220.00,5607.00,-1463.00,-52.00,0.00,536.00,511.00,202.00
1986:Q3,13307.00,2371.00,4091.00,6855.00,-10.00,13307.00,107.00,-2288.00,177.00,66.00,-60.00,9198.00,406.00,17.00,232.00,4516.00,-394.00,326.00,0.00,60.00,877.00,67.00
1986:Q4,22712.00,-2372.00,6287.00,18859.00,-61.00,22712.00,445.00,-4891.00,-1083.00,-78.00,84.00,18519.00,1682.00,6.00,273.00,8270.00,-1190.00,369.00,132.00,-28.00,618.00,-416.00
1987:Q1,14828.00,2822.00,3553.00,8392.00,61.00,14828.00,978.00,-5130.00,-824.00,17.00,56.00,14472.00,-314.00,15.00,96.00,2309.00,1540.00,-147.00,-5.00,485.00,1125.00,155.00
1987:Q2,16062.00,896.00,11130.00,4033.00,3.00,16062.00,-1500.00,-1362.00,-1074.00,90.00,52.00,12325.00,1416.00,0.00,306.00,4191.00,-190.00,2.00,-1.00,794.00,1031.00,-18.00
1987:Q3,12556.00,-239.00,8894.00,3876.00,25.00,12556.00,799.00,-2585.00,-1024.00,-1961.00,189.00,11190.00,1458.00,11.00,118.00,3853.00,-496.00,64.00,-2.00,33.00,687.00,222.00
1987:Q4,28864.00,2827.00,20471.00,5440.00,126.00,28864.00,1599.00,4516.00,-678.00,11.00,256.00,11658.00,2686.00,26.00,126.00,7258.00,-234.00,-65.00,-61.00,697.00,750.00,319.00
1988:Q1,14382.00,2017.00,5005.00,7369.00,-9.00,14382.00,-203.00,5467.00,175.00,37.00,192.00,-2333.00,2038.00,58.00,145.00,6641.00,921.00,68.00,-5.00,46.00,938.00,197.00
1988:Q2,21879.00,1264.00,461.00,20142.00,12.00,21879.00,-206.00,5865.00,525.00,-352.00,296.00,7967.00,1904.00,86.00,130.00,3760.00,938.00,195.00,-17.00,288.00,474.00,26.00
1988:Q3,23634.00,1263.00,7843.00,14544.00,-16.00,23634.00,-202.00,6054.00,575.00,-988.00,40.00,8069.00,2092.00,103.00,137.00,4073.00,2077.00,162.00,-3.00,422.00,671.00,352.00
1988:Q4,25714.00,-122.00,11795.00,13845.00,196.00,25714.00,-191.00,3865.00,325.00,43.00,-149.00,9315.00,2108.00,109.00,168.00,6353.00,2004.00,91.00,0.00,741.00,389.00,543.00
1989:Q1,11414.00,2214.00,4748.00,4420.00,32.00,11414.00,220.00,-4467.00,-875.00,-242.00,56.00,10028.00,1550.00,117.00,205.00,3365.00,105.00,26.00,-4.00,475.00,1029.00,-174.00
1989:Q2,6870.00,1726.00,2078.00,3053.00,13.00,6870.00,227.00,-6776.00,-1024.00,-1216.00,126.00,6871.00,1941.00,128.00,248.00,4184.00,637.00,-118.00,-8.00,786.00,906.00,-42.00
1989:Q3,9716.00,1564.00,800.00,7264.00,87.00,9716.00,236.00,-6391.00,-1074.00,481.00,45.00,6272.00,2363.00,139.00,243.00,4415.00,730.00,122.00,0.00,1123.00,1112.00,-100.00
1989:Q4,2315.00,1726.00,-6647.00,7149.00,87.00,2315.00,244.00,-7064.00,-1027.00,77.00,184.00,-1479.00,2272.00,147.00,190.00,5959.00,1226.00,-116.00,0.00,1363.00,231.00,108.00
1990:Q1,12130.00,1723.00,14658.00,-4338.00,87.00,12130.00,-180.00,-4144.00,-438.00,2056.00,271.00,-1543.00,5572.00,157.00,155.00,4950.00,3174.00,-39.00,-1.00,964.00,1226.00,-50.00
1990:Q2,3549.00,1549.00,2364.00,-451.00,87.00,3549.00,-166.00,904.00,-582.00,2312.00,218.00,-8200.00,2784.00,161.00,137.00,3602.00,634.00,9.00,-1.00,-79.00,1836.00,-20.00
1990:Q3,3463.00,1723.00,3648.00,-2063.00,154.00,3463.00,-163.00,-1226.00,-599.00,4221.00,52.00,-4148.00,2781.00,179.00,97.00,561.00,317.00,172.00,0.00,236.00,998.00,-15.00
1990:Q4,1505.00,2238.00,1469.00,-2289.00,87.00,1505.00,-173.00,-1083.00,-605.00,394.00,126.00,-3922.00,4208.00,209.00,36.00,536.00,210.00,724.00,0.00,659.00,551.00,-365.00
1991:Q1,7459.00,2138.00,6912.00,-1638.00,47.00,7459.00,-20.00,946.00,-893.00,3977.00,74.00,-850.00,3595.00,159.00,-26.00,1647.00,-1102.00,375.00,0.00,518.00,-836.00,-105.00
1991:Q2,4221.00,2137.00,1369.00,659.00,55.00,4221.00,-42.00,32.00,-659.00,3207.00,211.00,-3481.00,2569.00,232.00,-93.00,2436.00,-1468.00,-100.00,-2.00,936.00,496.00,-53.00
1991:Q3,-11973.00,2138.00,-6484.00,-7691.00,64.00,-11973.00,-26.00,1916.00,-1517.00,-126.00,-40.00,-11380.00,848.00,207.00,-126.00,-1025.00,-1013.00,167.00,-1.00,195.00,80.00,-132.00
1991:Q4,-13076.00,2138.00,-8043.00,-7315.00,144.00,-13076.00,29.00,1303.00,-651.00,691.00,306.00,-7072.00,1753.00,93.00,-129.00,-8683.00,-1289.00,389.00,-1.00,788.00,-370.00,-233.00
1992:Q1,-8990.00,1644.00,-5065.00,-5713.00,144.00,-8990.00,223.00,186.00,-332.00,1407.00,66.00,-8831.00,-91.00,1.00,-123.00,-1787.00,-718.00,-162.00,-1.00,1049.00,221.00,-98.00
1992:Q2,-5491.00,1645.00,-4505.00,-2644.00,14.00,-5491.00,223.00,209.00,-327.00,-1309.00,222.00,-4132.00,183.00,-90.00,-121.00,-3039.00,-854.00,779.00,0.00,1829.00,596.00,340.00
1992:Q3,-11524.00,1644.00,-8509.00,-4733.00,74.00,-11524.00,223.00,493.00,-321.00,-2846.00,-438.00,-6186.00,-874.00,-92.00,-154.00,-4493.00,-476.00,-419.00,0.00,3664.00,592.00,-197.00
1992:Q4,-17674.00,1644.00,-18944.00,-520.00,145.00,-17674.00,222.00,655.00,-381.00,-3806.00,18.00,-6131.00,-1912.00,6.00,-224.00,-5824.00,-639.00,354.00,-1.00,-54.00,-200.00,242.00
1993:Q1,-6944.00,2491.00,-8079.00,-1587.00,231.00,-6944.00,229.00,-578.00,-448.00,-1548.00,10.00,-3166.00,-1370.00,-47.00,-301.00,-943.00,78.00,-641.00,-2.00,2068.00,-152.00,-133.00
1993:Q2,-8886.00,2490.00,-8058.00,-3544.00,226.00,-8886.00,229.00,-664.00,-142.00,-1548.00,300.00,-3449.00,-1236.00,-2.00,-396.00,-1903.00,-237.00,-1261.00,-1.00,2077.00,-601.00,-52.00
1993:Q3,-5581.00,2491.00,-3518.00,-5588.00,1034.00,-5581.00,230.00,-707.00,-99.00,-636.00,-386.00,289.00,-1198.00,35.00,-400.00,-3777.00,361.00,592.00,-1.00,365.00,-213.00,-36.00
1993:Q4,-13869.00,3214.00,-11180.00,-6817.00,913.00,-13869.00,229.00,-692.00,-212.00,-729.00,270.00,-2626.00,-2741.00,109.00,-320.00,-9366.00,-1747.00,-604.00,-1.00,4471.00,145.00,-55.00
1994:Q1,-8516.00,-206.00,-5540.00,-4416.00,1646.00,-8516.00,-36.00,463.00,-279.00,-2781.00,163.00,-1327.00,-1524.00,86.00,-169.00,-3025.00,-589.00,-2.00,-1.00,-162.00,-88.00,755.00
1994:Q2,-419.00,-204.00,179.00,-2471.00,2077.00,-419.00,-35.00,491.00,493.00,-539.00,86.00,748.00,-1022.00,445.00,-169.00,-2656.00,-259.00,138.00,-2.00,898.00,361.00,603.00
1994:Q3,8.00,-205.00,96.00,-1893.00,2010.00,8.00,-36.00,503.00,70.00,-1877.00,189.00,648.00,-1090.00,222.00,-170.00,-1621.00,-271.00,-99.00,-1.00,2330.00,807.00,404.00
1994:Q4,-6102.00,-206.00,-3008.00,-3709.00,821.00,-6102.00,-35.00,495.00,249.00,-2065.00,108.00,1555.00,-1163.00,177.00,-169.00,-1232.00,-4899.00,13.00,0.00,515.00,461.00,-112.00
1995:Q1,5493.00,-140.00,2186.00,2882.00,564.00,5493.00,218.00,307.00,-212.00,-747.00,-131.00,7629.00,-1435.00,62.00,-245.00,-262.00,31.00,18.00,-2.00,-274.00,605.00,-69.00
1995:Q2,2431.00,-140.00,-499.00,1756.00,1314.00,2431.00,220.00,305.00,-97.00,-702.00,54.00,3410.00,-1168.00,-244.00,-244.00,-69.00,32.00,-22.00,-1.00,185.00,718.00,54.00
1995:Q3,2699.00,-140.00,-864.00,2951.00,752.00,2699.00,217.00,319.00,-155.00,-827.00,-400.00,1641.00,-829.00,54.00,-256.00,1248.00,32.00,4.00,-1.00,965.00,787.00,-101.00
1995:Q4,447.00,-139.00,-2480.00,2128.00,938.00,447.00,219.00,297.00,-97.00,-1570.00,-68.00,5658.00,-1706.00,96.00,-234.00,-4870.00,31.00,1.00,0.00,3119.00,-61.00,-367.00
1996:Q1,7438.00,1026.00,2654.00,2818.00,940.00,7438.00,158.00,2474.00,-109.00,611.00,60.00,4166.00,-1919.00,235.00,-245.00,-363.00,30.00,-5.00,0.00,2169.00,666.00,-490.00
1996:Q2,9535.00,1026.00,3348.00,3847.00,1314.00,9535.00,158.00,706.00,-153.00,-208.00,-82.00,6815.00,-894.00,-160.00,-4.00,-342.00,30.00,1.00,0.00,1894.00,2113.00,-339.00
1996:Q3,526.00,1026.00,-2980.00,911.00,1569.00,526.00,158.00,900.00,-51.00,-508.00,-202.00,4245.00,-82.00,-180.00,-28.00,-2957.00,33.00,0.00,-1.00,683.00,-1139.00,-345.00
1996:Q4,12134.00,1026.00,5272.00,4395.00,1441.00,12134.00,158.00,1000.00,-59.00,-771.00,39.00,8475.00,-5.00,51.00,-145.00,-1900.00,49.00,0.00,-4.00,5976.00,-906.00,176.00
1997:Q1,7559.00,763.00,1077.00,2939.00,2780.00,7559.00,157.00,5000.00,-190.00,-95.00,132.00,2772.00,-1458.00,164.00,86.00,-616.00,56.00,-1.00,0.00,1545.00,-447.00,454.00
1997:Q2,16843.00,763.00,5356.00,8008.00,2716.00,16843.00,158.00,5000.00,-74.00,-92.00,178.00,10024.00,-2488.00,55.00,-110.00,-86.00,55.00,-3.00,0.00,3357.00,327.00,542.00
1997:Q3,16726.00,763.00,12047.00,2797.00,1119.00,16726.00,156.00,5000.00,-104.00,-109.00,-107.00,10385.00,-666.00,115.00,-4.00,-2245.00,65.00,-1.00,0.00,3913.00,-32.00,360.00
1997:Q4,21795.00,763.00,8753.00,8905.00,3374.00,21795.00,158.00,5000.00,-80.00,-361.00,-51.00,6689.00,-1514.00,147.00,-136.00,1411.00,-126.00,-3.00,0.00,10935.00,-1123.00,849.00
1998:Q1,13258.00,2469.00,-8109.00,17374.00,1524.00,13258.00,216.00,-2464.00,510.00,39.00,8.00,5530.00,-2140.00,82.00,-27.00,-286.00,-2.00,470.00,0.00,10772.00,-570.00,1120.00
1998:Q2,19014.00,2470.00,-5739.00,18958.00,3325.00,19014.00,215.00,-2483.00,511.00,-15.00,-50.00,5131.00,-931.00,43.00,-43.00,963.00,3.00,802.00,0.00,14924.00,-589.00,533.00
1998:Q3,21830.00,2470.00,-4099.00,16822.00,6637.00,21830.00,216.00,-2522.00,510.00,16.00,2198.00,12617.00,-186.00,177.00,-257.00,-267.00,3.00,327.00,0.00,5625.00,2568.00,805.00
1998:Q4,35127.00,2470.00,14994.00,12541.00,5122.00,35127.00,215.00,-2522.00,509.00,61.00,341.00,16925.00,-2444.00,121.00,51.00,4580.00,-204.00,365.00,0.00,15767.00,1300.00,62.00
1999:Q1,23679.00,634.00,5837.00,13837.00,3371.00,23679.00,205.00,-4750.00,-7.00,34.00,89.00,13998.00,-2034.00,380.00,-46.00,3803.00,215.00,153.00,0.00,9537.00,1427.00,675.00
1999:Q2,22929.00,634.00,13256.00,11092.00,-2053.00,22929.00,206.00,-4750.00,-159.00,93.00,33.00,15664.00,-1215.00,369.00,29.00,4700.00,216.00,470.00,0.00,5730.00,1598.00,-55.00
1999:Q3,24659.00,634.00,9382.00,13074.00,1569.00,24659.00,205.00,-4750.00,-161.00,183.00,27.00,18006.00,-276.00,261.00,52.00,1076.00,215.00,-45.00,0.00,8404.00,1585.00,-123.00
1999:Q4,31390.00,635.00,13976.00,14519.00,2260.00,31390.00,206.00,-4750.00,-160.00,280.00,206.00,22709.00,-931.00,140.00,-68.00,4477.00,214.00,733.00,0.00,6501.00,1730.00,103.00
2000:Q1,26945.00,2904.00,4604.00,18075.00,1362.00,26945.00,430.00,285.00,-43.00,-881.00,31.00,22927.00,712.00,105.00,628.00,-892.00,-58.00,-534.00,0.00,4838.00,-349.00,-254.00
2000:Q2,30355.00,2905.00,8081.00,18358.00,1012.00,30355.00,429.00,285.00,-45.00,28.00,-60.00,19191.00,552.00,325.00,-701.00,2700.00,-175.00,96.00,0.00,6665.00,1169.00,-104.00
2000:Q3,22021.00,2905.00,3911.00,16413.00,-1208.00,22021.00,428.00,285.00,-43.00,118.00,12.00,14919.00,-200.00,282.00,-172.00,1790.00,-267.00,-1208.00,0.00,5738.00,1153.00,-814.00
2000:Q4,28151.00,2904.00,4569.00,20181.00,497.00,28151.00,429.00,285.00,-45.00,381.00,-84.00,14102.00,124.00,107.00,-42.00,1111.00,-399.00,128.00,0.00,11733.00,1116.00,-795.00
2001:Q1,-18782.00,3575.00,-31871.00,9486.00,28.00,-18782.00,-167.00,375.00,228.00,180.00,-47.00,13629.00,-17.00,2646.00,8.00,-679.00,-547.00,-167.00,0.00,-34050.00,171.00,-345.00
2001:Q2,22216.00,2526.00,9286.00,8296.00,2108.00,22216.00,-167.00,371.00,226.00,-2.00,91.00,15356.00,-372.00,630.00,32.00,1635.00,486.00,-564.00,0.00,5565.00,-439.00,-632.00
2001:Q3,37206.00,1684.00,25086.00,12002.00,-1566.00,37206.00,-167.00,375.00,227.00,-790.00,-171.00,19818.00,1150.00,219.00,32.00,1756.00,391.00,138.00,0.00,14400.00,-105.00,-67.00
2001:Q4,44083.00,1044.00,32396.00,10503.00,140.00,44083.00,-168.00,375.00,228.00,486.00,61.00,14869.00,-22.00,705.00,171.00,1907.00,236.00,-48.00,0.00,25997.00,-1658.00,944.00
2002:Q1,14773.00,3042.00,-3408.00,13975.00,1164.00,14773.00,642.00,240.00,-44.00,165.00,-120.00,15574.00,385.00,180.00,2.00,323.00,1012.00,-38.00,0.00,1020.00,-3977.00,-591.00
2002:Q2,28893.00,3043.00,10043.00,9989.00,5818.00,28893.00,210.00,243.00,-42.00,64.00,-128.00,17094.00,341.00,-86.00,17.00,1351.00,354.00,-99.00,0.00,7676.00,1595.00,303.00
2002:Q3,26792.00,3042.00,12704.00,10169.00,877.00,26792.00,182.00,245.00,-41.00,245.00,-179.00,15844.00,423.00,417.00,3.00,648.00,336.00,-864.00,0.00,9404.00,-131.00,260.00
2002:Q4,35648.00,3043.00,30053.00,906.00,1646.00,35648.00,249.00,245.00,-44.00,684.00,0.00,16721.00,-27.00,-323.00,80.00,4342.00,259.00,59.00,0.00,12902.00,277.00,224.00
2003:Q1,23671.00,1566.00,11301.00,11749.00,-945.00,23671.00,169.00,240.00,7.00,-1962.00,-7.00,16893.00,11.00,119.00,5.00,1452.00,230.00,67.00,0.00,6433.00,120.00,-106.00
2003:Q2,33024.00,1567.00,11423.00,18545.00,1489.00,33024.00,264.00,240.00,8.00,213.00,307.00,14331.00,543.00,280.00,-59.00,3315.00,117.00,509.00,0.00,12262.00,408.00,286.00
2003:Q3,34737.00,1567.00,10939.00,18796.00,3435.00,34737.00,276.00,240.00,9.00,-206.00,-64.00,15876.00,4646.00,776.00,-8.00,2446.00,203.00,-456.00,0.00,8874.00,1399.00,726.00
2003:Q4,29374.00,1567.00,3057.00,20341.00,4409.00,29374.00,276.00,240.00,7.00,368.00,145.00,19848.00,-6687.00,413.00,164.00,1693.00,229.00,-359.00,0.00,8778.00,3143.00,1116.00
2004:Q1,45879.00,1238.00,33004.00,7479.00,4158.00,45879.00,284.00,240.00,308.00,1956.00,138.00,24002.00,280.00,402.00,59.00,943.00,95.00,-457.00,0.00,16382.00,-380.00,1627.00
2004:Q2,38092.00,1238.00,12212.00,19471.00,5171.00,38092.00,303.00,240.00,307.00,-1301.00,495.00,25328.00,-2719.00,689.00,78.00,1544.00,-28.00,-442.00,0.00,13912.00,-1095.00,781.00
2004:Q3,48054.00,1238.00,19629.00,23821.00,3366.00,48054.00,320.00,240.00,307.00,336.00,186.00,25599.00,543.00,973.00,132.00,3056.00,50.00,-201.00,0.00,14643.00,1666.00,204.00
2004:Q4,57774.00,1238.00,16949.00,30359.00,9228.00,57774.00,425.00,240.00,308.00,842.00,340.00,26588.00,1260.00,1032.00,80.00,4596.00,-112.00,-735.00,0.00,18077.00,3944.00,889.00
2005:Q1,39589.00,2003.00,13615.00,18875.00,5096.00,39589.00,323.00,157.00,360.00,189.00,196.00,25747.00,945.00,-2599.00,43.00,1320.00,-52.00,-475.00,0.00,13785.00,-977.00,627.00
2005:Q2,63292.00,1927.00,46237.00,8873.00,6255.00,63292.00,466.00,158.00,361.00,397.00,163.00,30595.00,655.00,708.00,61.00,2660.00,-7.00,-663.00,0.00,27224.00,-677.00,1191.00
2005:Q3,59493.00,1927.00,42960.00,11438.00,3168.00,59493.00,513.00,161.00,361.00,1214.00,564.00,37795.00,3158.00,1740.00,126.00,1940.00,-14.00,877.00,0.00,11668.00,-557.00,-53.00
2005:Q4,76428.00,1927.00,68498.00,6276.00,-273.00,76428.00,637.00,160.00,361.00,1041.00,319.00,32593.00,-776.00,3040.00,70.00,4253.00,-53.00,-270.00,0.00,33808.00,-203.00,1448.00
2006:Q1,60881.00,4467.00,15861.00,36506.00,4047.00,60881.00,546.00,-800.00,-104.00,740.00,77.00,38222.00,671.00,1187.00,16.00,1835.00,-26.00,-123.00,0.00,16752.00,137.00,1751.00
2006:Q2,56245.00,4468.00,5777.00,41840.00,4160.00,56245.00,508.00,-810.00,-104.00,1543.00,311.00,33680.00,1646.00,812.00,109.00,4940.00,-62.00,60.00,0.00,12974.00,302.00,336.00
2006:Q3,66627.00,4468.00,17127.00,44711.00,321.00,66627.00,541.00,-818.00,-105.00,897.00,541.00,37373.00,141.00,205.00,57.00,3057.00,-54.00,349.00,0.00,20281.00,659.00,3503.00
2006:Q4,78326.00,4467.00,31797.00,44322.00,-2260.00,78326.00,565.00,-818.00,-104.00,549.00,378.00,28519.00,1619.00,1018.00,542.00,1312.00,-10.00,360.00,0.00,38940.00,735.00,4721.00
2007:Q1,43713.00,3317.00,-1387.00,45600.00,-3817.00,43713.00,330.00,-1791.00,503.00,982.00,506.00,3980.00,2744.00,360.00,104.00,1936.00,596.00,366.00,0.00,30182.00,-2488.00,5403.00
2007:Q2,76977.00,3316.00,21516.00,48356.00,3789.00,76977.00,631.00,-1811.00,502.00,639.00,337.00,32324.00,2321.00,340.00,498.00,4416.00,531.00,375.00,0.00,33540.00,801.00,1533.00
2007:Q3,85552.00,3316.00,30095.00,47275.00,4866.00,85552.00,655.00,-1832.00,502.00,192.00,355.00,24456.00,5229.00,723.00,243.00,3698.00,485.00,-34.00,0.00,44999.00,3665.00,2216.00
2007:Q4,60096.00,3316.00,10020.00,44586.00,2174.00,60096.00,455.00,-1830.00,503.00,239.00,270.00,37330.00,3774.00,-4157.00,471.00,6741.00,619.00,-37.00,0.00,13397.00,1360.00,961.00
2008:Q1,43976.00,-758.00,11967.00,28889.00,3878.00,43976.00,337.00,-575.00,-201.00,558.00,132.00,35568.00,860.00,156.00,95.00,4418.00,-2277.00,-28.00,0.00,-3129.00,7730.00,332.00
2008:Q2,41688.00,-758.00,4605.00,38449.00,-608.00,41688.00,287.00,-739.00,-200.00,2265.00,-144.00,32473.00,1194.00,80.00,146.00,5141.00,-2122.00,-38.00,0.00,-495.00,3611.00,229.00
2008:Q3,23919.00,-758.00,-27616.00,51366.00,927.00,23919.00,97.00,-748.00,-201.00,2824.00,-368.00,28841.00,694.00,-18.00,-351.00,4210.00,-2346.00,-457.00,0.00,-8110.00,-635.00,487.00
2008:Q4,22779.00,-758.00,-31537.00,54816.00,258.00,22779.00,149.00,-747.00,-201.00,4767.00,-137.00,20491.00,4020.00,207.00,294.00,1144.00,-1672.00,-436.00,0.00,-4249.00,-233.00,-618.00
2009:Q1,-5043.00,673.00,-15093.00,4244.00,5133.00,-5043.00,-54.00,-389.00,-81.00,1091.00,-248.00,4317.00,853.00,-45.00,38.00,-3039.00,-934.00,-426.00,0.00,-10138.00,-440.00,4452.00
2009:Q2,-16801.00,844.00,-25355.00,3956.00,3754.00,-16801.00,-107.00,-394.00,-82.00,2910.00,221.00,-2346.00,-240.00,143.00,40.00,-2817.00,-779.00,-432.00,0.00,-9536.00,-842.00,-2540.00
2009:Q3,-25501.00,973.00,-38184.00,11659.00,51.00,-25501.00,-218.00,-398.00,-81.00,3612.00,392.00,-18120.00,1165.00,108.00,-242.00,-1980.00,-864.00,-16.00,0.00,-5723.00,-119.00,-3017.00
2009:Q4,-32216.00,1071.00,-41938.00,8095.00,556.00,-32216.00,-358.00,-398.00,-82.00,-1245.00,170.00,-20616.00,-1703.00,-242.00,-344.00,-3707.00,-910.00,-14.00,0.00,-488.00,-513.00,-1766.00
2010:Q1,-23893.00,566.00,-20957.00,-2228.00,-1274.00,-23893.00,-244.00,-148.00,282.00,-2346.00,74.00,-17794.00,-225.00,-339.00,-179.00,-3503.00,423.00,-18.00,0.00,-4978.00,1630.00,3472.00
2010:Q2,-46535.00,911.00,-41161.00,-5339.00,-947.00,-46535.00,-351.00,-151.00,281.00,575.00,17.00,-25078.00,-1580.00,-3629.00,-19.00,-2678.00,239.00,-12.00,0.00,-8987.00,-1812.00,-3350.00
2010:Q3,-39739.00,812.00,-28818.00,-14856.00,3122.00,-39739.00,-330.00,-151.00,281.00,-1538.00,424.00,-27069.00,-677.00,-47.00,-19.00,342.00,1022.00,-32.00,0.00,-9387.00,-1582.00,-976.00
2010:Q4,-29622.00,475.00,-16206.00,-13401.00,-490.00,-29622.00,-209.00,-152.00,282.00,-403.00,347.00,-25146.00,352.00,60.00,-90.00,-924.00,778.00,-42.00,0.00,-2262.00,-1908.00,-305.00
2011:Q1,-25188.00,-1317.00,-28018.00,-2012.00,6159.00,-25188.00,-158.00,-53.00,-392.00,873.00,-61.00,-22512.00,-1515.00,367.00,-49.00,770.00,-873.00,-51.00,0.00,-2312.00,13.00,765.00
2011:Q2,-31675.00,-1909.00,-31133.00,-4065.00,5432.00,-31675.00,-199.00,-53.00,-392.00,1027.00,-3.00,-17128.00,-500.00,-365.00,256.00,3677.00,-930.00,-59.00,0.00,-15486.00,-4310.00,2790.00
2011:Q3,-28824.00,-1875.00,-19815.00,-7882.00,748.00,-28824.00,-193.00,-54.00,-392.00,285.00,10.00,-17768.00,722.00,-264.00,245.00,4736.00,-861.00,-36.00,0.00,-7093.00,-6071.00,-2090.00
2011:Q4,-12379.00,-1010.00,-2454.00,-9923.00,1008.00,-12379.00,-83.00,-54.00,-392.00,976.00,-108.00,-5506.00,-995.00,209.00,340.00,3145.00,-1337.00,-51.00,0.00,-7313.00,-678.00,-532.00
2012:Q1,-18747.00,-1454.00,-44166.00,24871.00,2002.00,-18747.00,-165.00,-180.00,-163.00,379.00,-90.00,-7622.00,-302.00,-219.00,244.00,3041.00,334.00,-55.00,0.00,-10887.00,-1047.00,-2015.00
2012:Q2,-19208.00,-1207.00,-38928.00,20653.00,274.00,-19208.00,-106.00,-181.00,-163.00,385.00,79.00,-7537.00,226.00,-270.00,210.00,2803.00,398.00,-45.00,0.00,-9677.00,-5054.00,-276.00
2012:Q3,-10229.00,-779.00,-30612.00,18536.00,2626.00,-10229.00,-104.00,-182.00,-163.00,376.00,204.00,-6567.00,-259.00,-214.00,128.00,2080.00,427.00,-113.00,0.00,-5777.00,-1665.00,1600.00
2012:Q4,12531.00,1209.00,-5465.00,15699.00,1088.00,12531.00,98.00,-183.00,-162.00,-372.00,80.00,13665.00,-525.00,-58.00,113.00,1844.00,429.00,-121.00,0.00,1484.00,-5993.00,2232.00
2013:Q1,-2060.00,-161.00,-21918.00,19434.00,585.00,-2060.00,-62.00,147.00,67.00,1322.00,76.00,-3459.00,-1019.00,-513.00,213.00,340.00,-31.00,-128.00,0.00,4891.00,-2071.00,-1833.00
2013:Q2,24407.00,1907.00,-1625.00,8550.00,15575.00,24407.00,113.00,150.00,67.00,623.00,-210.00,11059.00,500.00,84.00,714.00,3610.00,-24.00,-133.00,0.00,-133075.00,713.00,140216.00
2013:Q3,6452.00,505.00,11679.00,4384.00,-10116.00,6452.00,189.00,150.00,68.00,1620.00,-19.00,13776.00,274.00,-1936.00,451.00,6526.00,-29.00,40.00,0.00,-13721.00,-1082.00,145.00
2013:Q4,19991.00,1562.00,4210.00,3372.00,10847.00,19991.00,170.00,151.00,67.00,290.00,-25.00,17397.00,438.00,999.00,928.00,4902.00,-59.00,36.00,0.00,-8570.00,-1364.00,4631.00
2014:Q1,12649.00,989.00,17.00,8427.00,3216.00,12649.00,295.00,461.00,53.00,204.00,188.00,9538.00,1812.00,103.00,318.00,1259.00,539.00,35.00,0.00,-23409.00,291.00,20962.00
2014:Q2,23186.00,1812.00,4992.00,15445.00,937.00,23186.00,294.00,465.00,134.00,671.00,313.00,15177.00,1482.00,-137.00,526.00,3464.00,256.00,27.00,0.00,5012.00,-2054.00,-2444.00
