date,FL634090005.Q,FL633091003.Q,FL633020000.Q,FL633030000.Q,FL632051000.Q,FL634022005.Q,FL633069175.Q,FL633061105.Q,FL633061700.Q,FL633062000.Q,FL633063003.Q,FL633093005.Q,FL634090005.Q,FL634090503.Q
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,263.00,0.00,0.00,67.00,9.00,187.00,185.00,2.00,0.00,0.00,0.00,0.00,263.00,0.00
1974:Q2,570.00,0.00,0.00,210.00,19.00,358.00,353.00,5.00,0.00,0.00,0.00,-17.00,570.00,0.00
1974:Q3,1386.00,0.00,0.00,786.00,50.00,598.00,578.00,20.00,0.00,0.00,0.00,-48.00,1386.00,0.00
1974:Q4,2379.00,0.00,0.00,1620.00,92.00,757.00,645.00,112.00,0.00,0.00,0.00,-90.00,2379.00,0.00
1975:Q1,3620.00,0.00,0.00,2326.00,146.00,1294.00,1050.00,244.00,0.00,0.00,0.00,-146.00,3620.00,0.00
1975:Q2,3661.00,0.00,25.00,2532.00,154.00,1079.00,788.00,291.00,0.00,0.00,0.00,-129.00,3661.00,0.00
1975:Q3,3708.00,0.00,35.00,2308.00,154.00,1334.00,738.00,596.00,0.00,0.00,0.00,-123.00,3708.00,0.00
1975:Q4,3696.00,0.00,29.00,2139.00,149.00,1455.00,528.00,927.00,0.00,0.00,0.00,-76.00,3696.00,0.00
1976:Q1,3712.00,0.00,30.00,1705.00,146.00,1915.00,714.00,1201.00,0.00,0.00,0.00,-84.00,3712.00,0.00
1976:Q2,3430.00,0.00,11.00,1669.00,146.00,1669.00,837.00,832.00,0.00,0.00,0.00,-65.00,3430.00,0.00
1976:Q3,3421.00,0.00,35.00,1530.00,136.00,1746.00,772.00,974.00,0.00,0.00,0.00,-26.00,3421.00,0.00
1976:Q4,3686.00,0.00,24.00,1487.00,138.00,2093.00,944.00,1149.00,0.00,0.00,0.00,-56.00,3686.00,0.00
1977:Q1,3460.00,0.00,24.00,1455.00,136.00,1866.00,824.00,1042.00,0.00,0.00,0.00,-21.00,3460.00,0.00
1977:Q2,3443.00,73.00,23.00,1569.00,151.00,1725.00,927.00,798.00,0.00,0.00,0.00,-98.00,3443.00,0.00
1977:Q3,3463.00,106.00,72.00,1556.00,158.00,1671.00,916.00,755.00,0.00,0.00,0.00,-100.00,3463.00,0.00
1977:Q4,3887.00,14.00,28.00,1793.00,268.00,1947.00,1064.00,883.00,0.00,0.00,0.00,-163.00,3887.00,0.00
1978:Q1,5620.00,255.00,51.00,2658.00,224.00,2625.00,1505.00,1120.00,0.00,0.00,0.00,-193.00,5620.00,0.00
1978:Q2,6959.00,145.00,36.00,3115.00,297.00,3569.00,2304.00,1065.00,200.00,0.00,0.00,-203.00,6959.00,0.00
1978:Q3,8407.00,301.00,45.00,4095.00,335.00,4043.00,2683.00,960.00,400.00,0.00,0.00,-412.00,8407.00,0.00
1978:Q4,10808.00,470.00,68.00,4458.00,348.00,5138.00,3652.00,886.00,600.00,0.00,0.00,326.00,10808.00,0.00
1979:Q1,18020.00,1162.00,51.00,6067.00,409.00,9899.00,7012.00,1687.00,1200.00,0.00,0.00,432.00,18020.00,0.00
1979:Q2,25915.00,2298.00,85.00,7743.00,757.00,14505.00,10684.00,1988.00,1833.00,0.00,0.00,527.00,25915.00,0.00
1979:Q3,34194.00,3856.00,132.00,10538.00,1250.00,17780.00,13471.00,1224.00,3085.00,0.00,0.00,638.00,34194.00,0.00
1979:Q4,45214.00,5109.00,67.00,11987.00,2412.00,24939.00,19298.00,1621.00,4020.00,0.00,0.00,700.00,45214.00,0.00
1980:Q1,61292.00,6316.00,64.00,14140.00,2634.00,37719.00,26145.00,7004.00,3607.00,756.00,207.00,419.00,61292.00,0.00
1980:Q2,77827.00,7056.00,633.00,16381.00,3721.00,49323.00,36314.00,5272.00,5725.00,1659.00,353.00,713.00,77827.00,0.00
1980:Q3,79901.00,8657.00,240.00,19364.00,2908.00,47961.00,32261.00,7450.00,5399.00,2469.00,382.00,771.00,79901.00,0.00
1980:Q4,76415.00,6769.00,166.00,21201.00,5643.00,42048.00,31561.00,3474.00,4754.00,1967.00,292.00,588.00,76415.00,0.00
1981:Q1,114223.00,10754.00,-2007.00,29918.00,4993.00,70044.00,46244.00,14518.00,6345.00,2679.00,258.00,521.00,114223.00,0.00
1981:Q2,129871.00,14174.00,-611.00,31980.00,7550.00,75683.00,55351.00,9023.00,7403.00,3363.00,543.00,1095.00,129871.00,0.00
1981:Q3,164470.00,17072.00,-820.00,40438.00,10114.00,96446.00,71137.00,11419.00,9655.00,3630.00,605.00,1220.00,164470.00,0.00
1981:Q4,186305.00,18846.00,-549.00,44363.00,14529.00,107489.00,70399.00,21519.00,10370.00,4395.00,806.00,1627.00,186305.00,0.00
1982:Q1,198732.00,22466.00,-1732.00,41765.00,17285.00,116826.00,73065.00,25560.00,9889.00,7261.00,1051.00,2122.00,198732.00,0.00
1982:Q2,209680.00,23204.00,-270.00,45464.00,16738.00,122838.00,78219.00,22402.00,13287.00,8085.00,845.00,1706.00,209680.00,0.00
1982:Q3,235246.00,22819.00,745.00,50960.00,18906.00,140457.00,74799.00,38221.00,15137.00,11626.00,674.00,1359.00,235246.00,0.00
1982:Q4,219928.00,23759.00,278.00,41101.00,16224.00,137553.00,69112.00,42646.00,11972.00,13321.00,502.00,1013.00,219928.00,0.00
1983:Q1,197336.00,19182.00,-521.00,30600.00,13238.00,133936.00,61832.00,44873.00,9759.00,17025.00,447.00,901.00,197336.00,0.00
1983:Q2,180893.00,19644.00,-659.00,26372.00,12050.00,122464.00,66325.00,28279.00,11091.00,16262.00,507.00,1022.00,180893.00,0.00
1983:Q3,179590.00,19890.00,-940.00,24823.00,14799.00,119983.00,68790.00,22074.00,12022.00,16584.00,513.00,1035.00,179590.00,0.00
1983:Q4,179467.00,21911.00,-275.00,24289.00,13029.00,119697.00,66161.00,22839.00,13375.00,16918.00,404.00,816.00,179467.00,0.00
1984:Q1,195074.00,23774.00,-567.00,20900.00,17610.00,132316.00,75307.00,19374.00,15729.00,21392.00,514.00,1041.00,195074.00,0.00
1984:Q2,200096.00,22971.00,-288.00,24668.00,17198.00,134467.00,79844.00,14889.00,16633.00,22565.00,536.00,1080.00,200096.00,0.00
1984:Q3,205269.00,23651.00,-618.00,19975.00,20537.00,140567.00,85689.00,13618.00,18073.00,22613.00,574.00,1157.00,205269.00,0.00
1984:Q4,233554.00,21197.00,-1244.00,24126.00,22752.00,165056.00,97901.00,25395.00,16962.00,23973.00,825.00,1667.00,233554.00,0.00
1985:Q1,241000.00,20941.00,-2376.00,21849.00,23271.00,175513.00,96452.00,26109.00,17605.00,34455.00,892.00,1802.00,241000.00,0.00
1985:Q2,247095.00,18582.00,-355.00,20301.00,17963.00,188949.00,108266.00,24733.00,19702.00,35429.00,819.00,1655.00,247095.00,0.00
1985:Q3,243416.00,18983.00,-1621.00,19186.00,21250.00,183620.00,100919.00,22677.00,21961.00,37072.00,991.00,1998.00,243416.00,0.00
1985:Q4,243803.00,19011.00,155.00,17435.00,26046.00,179152.00,99047.00,24570.00,18093.00,36449.00,993.00,2004.00,243803.00,0.00
1986:Q1,266529.00,19157.00,412.00,17754.00,26180.00,201439.00,101882.00,29238.00,17103.00,52430.00,786.00,1587.00,266529.00,0.00
1986:Q2,278099.00,22030.00,102.00,17526.00,32121.00,203985.00,109390.00,22336.00,14806.00,56297.00,1156.00,2335.00,278099.00,0.00
1986:Q3,296048.00,22612.00,-669.00,19916.00,30775.00,220283.00,117799.00,23927.00,15176.00,61830.00,1551.00,3131.00,296048.00,0.00
1986:Q4,292152.00,22140.00,-32.00,20191.00,32120.00,214131.00,105158.00,27997.00,15101.00,64090.00,1785.00,3602.00,292152.00,0.00
1987:Q1,304475.00,27061.00,671.00,19892.00,36846.00,216543.00,109194.00,18443.00,16644.00,70546.00,1716.00,3462.00,304475.00,0.00
1987:Q2,301489.00,23889.00,384.00,24768.00,37683.00,211240.00,106459.00,20175.00,15835.00,67026.00,1745.00,3525.00,301489.00,0.00
1987:Q3,306182.00,22668.00,400.00,27532.00,40235.00,211957.00,111457.00,15198.00,18392.00,65231.00,1679.00,3390.00,306182.00,0.00
1987:Q4,316096.00,21579.00,-326.00,34845.00,39229.00,216367.00,111131.00,14278.00,26957.00,61820.00,2181.00,4402.00,316096.00,0.00
1988:Q1,344684.00,22067.00,13.00,37513.00,41367.00,236812.00,118328.00,14821.00,29732.00,70508.00,3423.00,6912.00,344684.00,0.00
1988:Q2,327808.00,22080.00,122.00,35091.00,40553.00,224575.00,120644.00,13096.00,21961.00,66203.00,2671.00,5387.00,327808.00,362.00
1988:Q3,327157.00,22463.00,2234.00,37994.00,41524.00,217873.00,118204.00,10820.00,20844.00,65502.00,2503.00,5069.00,327157.00,636.00
1988:Q4,338862.00,29648.00,663.00,34295.00,41611.00,227898.00,129508.00,11541.00,18433.00,66088.00,2328.00,4747.00,338862.00,909.00
1989:Q1,365061.00,28983.00,-1670.00,37133.00,47558.00,247478.00,149877.00,12716.00,14060.00,68117.00,2708.00,5579.00,365061.00,1247.00
1989:Q2,385856.00,22296.00,-466.00,44231.00,52664.00,260035.00,161399.00,11063.00,17328.00,66820.00,3425.00,7096.00,385856.00,1417.00
1989:Q3,416782.00,29354.00,1646.00,45653.00,54274.00,277738.00,174914.00,12643.00,16500.00,69752.00,3929.00,8117.00,416782.00,1697.00
1989:Q4,430007.00,26328.00,107.00,43652.00,54763.00,297379.00,187788.00,14760.00,21000.00,70065.00,3766.00,7778.00,430007.00,6248.00
1990:Q1,465696.00,26996.00,-450.00,36842.00,53123.00,340615.00,205188.00,31274.00,22093.00,77892.00,4168.00,8570.00,465696.00,6564.00
1990:Q2,455295.00,27990.00,353.00,31163.00,54999.00,329771.00,190898.00,27900.00,29082.00,76495.00,5396.00,11019.00,455295.00,6846.00
1990:Q3,486898.00,31756.00,562.00,25226.00,66173.00,357389.00,210808.00,33917.00,30356.00,79518.00,2790.00,5792.00,486898.00,7932.00
1990:Q4,501268.00,27025.00,11385.00,22361.00,58899.00,377358.00,208723.00,45414.00,37205.00,84009.00,2007.00,4240.00,501268.00,8305.00
1991:Q1,555411.00,32892.00,-2145.00,29283.00,73804.00,416657.00,217166.00,66040.00,39671.00,91347.00,2433.00,4920.00,555411.00,8544.00
1991:Q2,535657.00,27191.00,1968.00,32538.00,71927.00,395345.00,212285.00,55498.00,36345.00,87910.00,3307.00,6688.00,535657.00,8632.00
1991:Q3,536008.00,24164.00,2966.00,35086.00,73404.00,394524.00,198987.00,64789.00,41114.00,86735.00,2899.00,5864.00,536008.00,8369.00
1991:Q4,542441.00,21806.00,-211.00,35692.00,68098.00,409201.00,193784.00,79597.00,41323.00,90603.00,3894.00,7855.00,542441.00,8152.00
1992:Q1,574836.00,20424.00,-688.00,36068.00,81043.00,430118.00,204187.00,84839.00,39880.00,97320.00,3892.00,7871.00,574836.00,8406.00
1992:Q2,559738.00,16786.00,-2571.00,34402.00,81211.00,419423.00,196411.00,79679.00,44187.00,93959.00,5187.00,10487.00,559738.00,8141.00
1992:Q3,556864.00,21576.00,-3922.00,37719.00,73147.00,416916.00,187824.00,79892.00,51206.00,92346.00,5648.00,11428.00,556864.00,8075.00
1992:Q4,546194.00,20557.00,-2693.00,35168.00,66942.00,413324.00,176181.00,79620.00,55109.00,96024.00,6390.00,12896.00,546194.00,7862.00
1993:Q1,559524.00,18881.00,-1034.00,37485.00,73937.00,415016.00,177605.00,77674.00,50914.00,101271.00,7552.00,15239.00,559524.00,7492.00
1993:Q2,552412.00,19261.00,-2277.00,33743.00,68925.00,414676.00,174272.00,76388.00,56429.00,98627.00,8960.00,18084.00,552412.00,7484.00
1993:Q3,550522.00,14012.00,-3096.00,26333.00,76972.00,414741.00,162050.00,74468.00,66223.00,101315.00,10685.00,21560.00,550522.00,7801.00
1993:Q4,565319.00,10083.00,-1219.00,32275.00,67201.00,432996.00,166457.00,80430.00,68614.00,105612.00,11883.00,23983.00,565319.00,7820.00
1994:Q1,582288.00,11457.00,559.00,28818.00,74091.00,438767.00,168845.00,68914.00,69334.00,117503.00,14171.00,28596.00,582288.00,9251.00
1994:Q2,576632.00,8959.00,-1830.00,30073.00,72173.00,438703.00,179278.00,59522.00,71966.00,113789.00,14148.00,28554.00,576632.00,10002.00
1994:Q3,586195.00,8572.00,-2471.00,35564.00,72196.00,445072.00,182319.00,59945.00,74643.00,113287.00,14878.00,27262.00,586195.00,10223.00
1994:Q4,611005.00,16020.00,-2576.00,32101.00,70314.00,466746.00,191311.00,67603.00,78862.00,113472.00,15498.00,28400.00,611005.00,10730.00
1995:Q1,641874.00,15239.00,-6746.00,42345.00,74507.00,488218.00,209131.00,67745.00,76542.00,119350.00,15450.00,28311.00,641874.00,10529.00
1995:Q2,686673.00,15599.00,-2124.00,43563.00,82510.00,515833.00,229200.00,58671.00,89970.00,120917.00,17075.00,31292.00,686673.00,11514.00
1995:Q3,710873.00,21509.00,-2665.00,58270.00,85156.00,513454.00,223568.00,64196.00,83109.00,123403.00,19178.00,35149.00,710873.00,11763.00
1995:Q4,753018.00,20056.00,-3552.00,53333.00,89478.00,553527.00,239977.00,71287.00,92543.00,127800.00,21920.00,40176.00,753018.00,12069.00
1996:Q1,824202.00,21589.00,-2974.00,57619.00,98438.00,603617.00,252297.00,87222.00,97906.00,141145.00,25047.00,45913.00,824202.00,12792.00
1996:Q2,817748.00,14403.00,-2776.00,55659.00,100113.00,603610.00,267810.00,82167.00,91299.00,136833.00,25501.00,46739.00,817748.00,13359.00
1996:Q3,852063.00,17971.00,-3685.00,69158.00,103377.00,619063.00,272190.00,85824.00,97094.00,138758.00,25197.00,46179.00,852063.00,14195.00
1996:Q4,901807.00,23568.00,-1150.00,84412.00,105879.00,644395.00,279461.00,92046.00,103881.00,144615.00,24392.00,44703.00,901807.00,15193.00
