date,FL224090055.Q,FL223034055.Q,LM223064255.Q,FL223090055.Q,FL223095505.Q,FL223093053.Q,FL224090055.Q
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q4,3397.00,0.00,3397.00,0.00,0.00,0.00,3397.00
1980:Q1,3562.00,0.00,3562.00,0.00,0.00,0.00,3562.00
1980:Q2,3731.00,0.00,3731.00,0.00,0.00,0.00,3731.00
1980:Q3,4168.00,0.00,4168.00,0.00,0.00,0.00,4168.00
1980:Q4,4551.00,0.00,4551.00,0.00,0.00,0.00,4551.00
1981:Q1,4781.00,0.00,4781.00,0.00,0.00,0.00,4781.00
1981:Q2,4818.00,0.00,4818.00,0.00,0.00,0.00,4818.00
1981:Q3,4379.00,0.00,4379.00,0.00,0.00,0.00,4379.00
1981:Q4,4766.00,0.00,4766.00,0.00,0.00,0.00,4766.00
1982:Q1,4509.00,0.00,4509.00,0.00,0.00,0.00,4509.00
1982:Q2,4535.00,0.00,4535.00,0.00,0.00,0.00,4535.00
1982:Q3,5089.00,0.00,5089.00,0.00,0.00,0.00,5089.00
1982:Q4,6096.00,0.00,6096.00,0.00,0.00,0.00,6096.00
1983:Q1,6827.00,0.00,6827.00,0.00,0.00,0.00,6827.00
1983:Q2,7645.00,0.00,7645.00,0.00,0.00,0.00,7645.00
1983:Q3,7746.00,0.00,7746.00,0.00,0.00,0.00,7746.00
1983:Q4,7872.00,0.00,7872.00,0.00,0.00,0.00,7872.00
1984:Q1,7912.00,0.00,7912.00,0.00,0.00,0.00,7912.00
1984:Q2,7620.00,0.00,7620.00,0.00,0.00,0.00,7620.00
1984:Q3,8342.00,0.00,8342.00,0.00,0.00,0.00,8342.00
1984:Q4,8592.00,0.00,8592.00,0.00,0.00,0.00,8592.00
1985:Q1,9352.00,0.00,9352.00,0.00,0.00,0.00,9352.00
1985:Q2,9947.00,0.00,9947.00,0.00,0.00,0.00,9947.00
1985:Q3,9701.00,0.00,9701.00,0.00,0.00,0.00,9701.00
1985:Q4,11332.00,0.00,11332.00,0.00,0.00,0.00,11332.00
1986:Q1,13631.00,0.00,13631.00,0.00,0.00,0.00,13631.00
1986:Q2,14269.00,0.00,14269.00,0.00,0.00,0.00,14269.00
1986:Q3,13625.00,0.00,13625.00,0.00,0.00,0.00,13625.00
1986:Q4,14231.00,0.00,14231.00,0.00,0.00,0.00,14231.00
1987:Q1,17532.00,0.00,17532.00,0.00,0.00,0.00,17532.00
1987:Q2,18238.00,0.00,18238.00,0.00,0.00,0.00,18238.00
1987:Q3,19145.00,0.00,19145.00,0.00,0.00,0.00,19145.00
1987:Q4,15047.00,0.00,15047.00,0.00,0.00,0.00,15047.00
1988:Q1,15996.00,0.00,15996.00,0.00,0.00,0.00,15996.00
1988:Q2,16769.00,192.00,16577.00,0.00,0.00,0.00,16769.00
1988:Q3,16810.00,337.00,16473.00,0.00,0.00,0.00,16810.00
1988:Q4,17272.00,482.00,16790.00,0.00,0.00,0.00,17272.00
1989:Q1,18245.00,661.00,17584.00,0.00,0.00,0.00,18245.00
1989:Q2,19405.00,751.00,18654.00,0.00,0.00,0.00,19405.00
1989:Q3,21212.00,899.00,20313.00,0.00,0.00,0.00,21212.00
1989:Q4,21560.00,1014.00,20546.00,0.00,0.00,0.00,21560.00
1990:Q1,20908.00,1120.00,19788.00,0.00,0.00,0.00,20908.00
1990:Q2,22135.00,1216.00,20919.00,0.00,0.00,0.00,22135.00
1990:Q3,19183.00,1414.00,17769.00,0.00,0.00,0.00,19183.00
1990:Q4,20739.00,1551.00,19188.00,0.00,0.00,0.00,20739.00
1991:Q1,22819.00,1051.00,21768.00,0.00,0.00,0.00,22819.00
1991:Q2,22773.00,1047.00,21726.00,0.00,0.00,0.00,22773.00
1991:Q3,24164.00,1106.00,23058.00,0.00,0.00,0.00,24164.00
1991:Q4,26007.00,1184.00,24823.00,0.00,0.00,0.00,26007.00
1992:Q1,25401.00,1159.00,24242.00,0.00,0.00,0.00,25401.00
1992:Q2,25727.00,1172.00,24555.00,0.00,0.00,0.00,25727.00
1992:Q3,26397.00,1200.00,25197.00,0.00,0.00,0.00,26397.00
1992:Q4,28070.00,1269.00,26801.00,0.00,0.00,0.00,28070.00
1993:Q1,29418.00,1326.00,28092.00,0.00,0.00,0.00,29418.00
1993:Q2,29951.00,1349.00,28602.00,0.00,0.00,0.00,29951.00
1993:Q3,29879.00,1393.00,28486.00,0.00,0.00,0.00,29879.00
1993:Q4,31145.00,1363.00,29782.00,0.00,0.00,0.00,31145.00
1994:Q1,30435.00,1397.00,29038.00,0.00,0.00,0.00,30435.00
1994:Q2,30681.00,1442.00,29239.00,0.00,0.00,0.00,30681.00
1994:Q3,32221.00,1455.00,30766.00,0.00,0.00,0.00,32221.00
1994:Q4,31927.00,1492.00,30435.00,0.00,0.00,0.00,31927.00
1995:Q1,34156.00,1580.00,32576.00,0.00,0.00,0.00,34156.00
1995:Q2,36977.00,1654.00,35323.00,0.00,0.00,0.00,36977.00
1995:Q3,39947.00,1666.00,38281.00,0.00,0.00,0.00,39947.00
1995:Q4,41955.00,1668.00,40287.00,0.00,0.00,0.00,41955.00
1996:Q1,44240.00,1697.00,42543.00,0.00,0.00,0.00,44240.00
1996:Q2,46030.00,1688.00,44342.00,0.00,0.00,0.00,46030.00
1996:Q3,47427.00,1800.00,45627.00,0.00,0.00,0.00,47427.00
1996:Q4,162386.00,2977.00,87294.00,72115.00,58637.00,13478.00,162386.00
1997:Q1,171381.00,3364.00,92196.00,75821.00,61355.00,14466.00,171381.00
1997:Q2,190648.00,3664.00,103915.00,83069.00,67604.00,15465.00,190648.00
1997:Q3,205007.00,3938.00,112287.00,88782.00,72307.00,16475.00,205007.00
1997:Q4,213623.00,4267.00,116674.00,92682.00,75197.00,17485.00,213623.00
1998:Q1,234433.00,4623.00,129562.00,100248.00,81775.00,18473.00,234433.00
1998:Q2,245131.00,5033.00,135463.00,104635.00,85163.00,19472.00,245131.00
1998:Q3,241750.00,5762.00,131396.00,104592.00,84110.00,20482.00,241750.00
1998:Q4,269786.00,6192.00,149134.00,114460.00,92968.00,21492.00,269786.00
1999:Q1,282198.00,6645.00,159070.00,116483.00,95171.00,21312.00,282198.00
1999:Q2,300057.00,6936.00,172918.00,120203.00,99072.00,21131.00,300057.00
1999:Q3,305070.00,7382.00,177839.00,119849.00,98902.00,20947.00,305070.00
1999:Q4,333111.00,7805.00,198545.00,126761.00,105997.00,20764.00,333111.00
2000:Q1,336390.00,7334.00,201103.00,127953.00,107189.00,20764.00,336390.00
2000:Q2,329631.00,7068.00,196587.00,125976.00,105212.00,20764.00,329631.00
2000:Q3,325405.00,6820.00,193783.00,124802.00,104038.00,20764.00,325405.00
2000:Q4,311280.00,6613.00,184163.00,120504.00,99740.00,20764.00,311280.00
2001:Q1,293093.00,7237.00,171441.00,114415.00,93921.00,20494.00,293093.00
2001:Q2,296630.00,7378.00,174075.00,115177.00,94955.00,20222.00,296630.00
2001:Q3,278162.00,7901.00,161270.00,108991.00,89045.00,19946.00,278162.00
2001:Q4,286057.00,8036.00,166897.00,111124.00,91453.00,19671.00,286057.00
2002:Q1,282974.00,7591.00,164687.00,110696.00,91025.00,19671.00,282974.00
2002:Q2,267737.00,7331.00,153967.00,106439.00,86768.00,19671.00,267737.00
2002:Q3,249307.00,7191.00,140935.00,101181.00,81510.00,19671.00,249307.00
2002:Q4,251547.00,7047.00,142056.00,102444.00,82773.00,19671.00,251547.00
2003:Q1,259193.00,6870.00,146232.00,106091.00,85432.00,20659.00,259193.00
2003:Q2,281860.00,6412.00,160958.00,114490.00,92832.00,21658.00,281860.00
2003:Q3,295849.00,6146.00,169538.00,120165.00,97497.00,22668.00,295849.00
2003:Q4,318047.00,5728.00,183889.00,128430.00,104752.00,23678.00,318047.00
2004:Q1,327917.00,5365.00,190287.00,132265.00,107953.00,24312.00,327917.00
2004:Q2,335727.00,5199.00,195078.00,135450.00,110504.00,24946.00,335727.00
2004:Q3,340669.00,4988.00,197943.00,137738.00,112151.00,25587.00,340669.00
2004:Q4,358916.00,4659.00,210034.00,144223.00,117995.00,26228.00,358916.00
2005:Q1,362487.00,4729.00,211940.00,145818.00,119051.00,26767.00,362487.00
2005:Q2,370400.00,4801.00,216812.00,148787.00,121476.00,27311.00,370400.00
2005:Q3,382221.00,4937.00,224289.00,152995.00,125133.00,27862.00,382221.00
2005:Q4,391292.00,4996.00,229960.00,156336.00,127923.00,28413.00,391292.00
2006:Q1,406122.00,5144.00,239650.00,161328.00,132376.00,28952.00,406122.00
2006:Q2,411151.00,5594.00,242327.00,163230.00,133733.00,29497.00,411151.00
2006:Q3,424560.00,5933.00,250847.00,167780.00,137732.00,30048.00,424560.00
2006:Q4,442194.00,6189.00,262342.00,173663.00,143064.00,30599.00,442194.00
2007:Q1,450150.00,6436.00,267487.00,176227.00,145264.00,30963.00,450150.00
2007:Q2,475629.00,6772.00,284116.00,184741.00,152685.00,32056.00,475629.00
2007:Q3,484561.00,8202.00,289431.00,186928.00,154872.00,32056.00,484561.00
2007:Q4,480446.00,8433.00,284014.00,187999.00,154850.00,33149.00,480446.00
2008:Q1,446631.00,8855.00,259922.00,177854.00,145434.00,32420.00,446631.00
2008:Q2,450207.00,8855.00,260001.00,181351.00,147838.00,33513.00,450207.00
2008:Q3,407881.00,9107.00,229936.00,168838.00,136053.00,32785.00,407881.00
2008:Q4,343658.00,10166.00,185238.00,148254.00,117655.00,30599.00,343658.00
2009:Q1,325076.00,10435.00,169988.00,144653.00,113690.00,30963.00,325076.00
2009:Q2,367969.00,9984.00,197216.00,160769.00,127256.00,33513.00,367969.00
2009:Q3,410093.00,9498.00,225322.00,175273.00,139939.00,35334.00,410093.00
2009:Q4,426474.00,9191.00,236050.00,181233.00,144806.00,36427.00,426474.00
2010:Q1,442720.00,8993.00,246945.00,186782.00,149626.00,37156.00,442720.00
2010:Q2,411145.00,8875.00,224557.00,177713.00,140921.00,36792.00,411145.00
2010:Q3,445431.00,8715.00,246657.00,190059.00,151446.00,38613.00,445431.00
2010:Q4,474093.00,8504.00,265642.00,199947.00,159877.00,40070.00,474093.00
2011:Q1,484352.00,7287.00,271514.00,205551.00,164024.00,41527.00,484352.00
2011:Q2,477876.00,7144.00,266863.00,203869.00,161978.00,41891.00,477876.00
2011:Q3,416255.00,7270.00,225866.00,183119.00,143413.00,39706.00,416255.00
2011:Q4,435828.00,7051.00,236946.00,191831.00,149940.00,41891.00,435828.00
2012:Q1,461236.00,6758.00,258311.00,196167.00,152090.00,44077.00,461236.00
2012:Q2,444004.00,6671.00,248063.00,189270.00,146286.00,42984.00,444004.00
2012:Q3,458798.00,6566.00,257961.00,194271.00,150194.00,44077.00,458798.00
2012:Q4,457322.00,6489.00,256586.00,194247.00,149806.00,44441.00,457322.00
2013:Q1,464328.00,6321.00,268534.00,189473.00,143210.00,46263.00,464328.00
2013:Q2,460017.00,6318.00,265854.00,187845.00,141582.00,46263.00,460017.00
2013:Q3,476143.00,7284.00,276177.00,192682.00,145327.00,47355.00,476143.00
2013:Q4,496708.00,7134.00,289684.00,199890.00,150713.00,49177.00,496708.00
2014:Q1,489330.00,6926.00,288292.00,194112.00,144571.00,49541.00,489330.00
2014:Q2,493174.00,6713.00,290628.00,195833.00,145563.00,50270.00,493174.00
2014:Q3,481398.00,6520.00,279377.00,195501.00,144139.00,51362.00,481398.00
2014:Q4,481552.00,6292.00,277931.00,197329.00,144874.00,52455.00,481552.00
2015:Q1,488065.00,6237.00,281891.00,199937.00,146753.00,53184.00,488065.00
2015:Q2,486189.00,6259.00,278689.00,201241.00,147329.00,53912.00,486189.00
2015:Q3,457323.00,5319.00,255083.00,196921.00,143009.00,53912.00,457323.00
2015:Q4,471649.00,6283.00,263915.00,201451.00,146446.00,55005.00,471649.00
2016:Q1,472667.00,5291.00,268645.00,198731.00,146208.00,52523.00,472667.00
2016:Q2,478148.00,5221.00,271245.00,201682.00,148153.00,53529.00,478148.00
