date,FU564090005.Q,FU564022005.Q,FU563061103.Q,FU563062003.Q,FU563063003.Q,FU563064103.Q,FU563093003.Q,FU564090005.Q,FU564091603.Q,FU564092603.Q,FU563093003.Q,FU564091403.Q,FU564091303.Q,FU564091203.Q
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1974:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1975:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1976:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1977:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1978:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1979:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1980:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1981:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1982:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1983:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1984:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1985:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1986:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1987:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1988:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1989:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1990:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1991:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1993:Q1,131.00,0.00,0.00,0.00,0.00,131.00,0.00,131.00,ND,ND,0.00,ND,ND,ND
1993:Q2,144.00,0.00,0.00,0.00,0.00,144.00,0.00,144.00,ND,ND,0.00,ND,ND,ND
1993:Q3,6.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,ND,ND,0.00,ND,ND,ND
1993:Q4,169.00,0.00,0.00,0.00,0.00,169.00,0.00,169.00,ND,ND,0.00,ND,ND,ND
1994:Q1,217.00,0.00,0.00,0.00,0.00,217.00,0.00,217.00,ND,ND,0.00,ND,ND,ND
1994:Q2,-266.00,0.00,0.00,0.00,0.00,-266.00,0.00,-266.00,ND,ND,0.00,ND,ND,ND
1994:Q3,-87.00,0.00,0.00,0.00,0.00,-87.00,0.00,-87.00,ND,ND,0.00,ND,ND,ND
1994:Q4,108.00,0.00,0.00,0.00,0.00,108.00,0.00,108.00,ND,ND,0.00,ND,ND,ND
1995:Q1,-16.00,0.00,0.00,0.00,0.00,-16.00,0.00,-16.00,ND,ND,0.00,ND,ND,ND
1995:Q2,141.00,0.00,0.00,0.00,0.00,141.00,0.00,141.00,ND,ND,0.00,ND,ND,ND
1995:Q3,78.00,0.00,0.00,0.00,0.00,78.00,0.00,78.00,ND,ND,0.00,ND,ND,ND
1995:Q4,238.00,0.00,0.00,0.00,0.00,238.00,0.00,238.00,ND,ND,0.00,ND,ND,ND
1996:Q1,247.00,0.00,0.00,0.00,0.00,247.00,0.00,247.00,ND,ND,0.00,ND,ND,ND
1996:Q2,150.00,0.00,0.00,0.00,0.00,150.00,0.00,150.00,ND,ND,0.00,ND,ND,ND
1996:Q3,143.00,0.00,0.00,0.00,0.00,143.00,0.00,143.00,ND,ND,0.00,ND,ND,ND
1996:Q4,550.00,0.00,0.00,0.00,0.00,550.00,0.00,550.00,ND,ND,0.00,ND,ND,ND
1997:Q1,313.00,0.00,0.00,0.00,0.00,313.00,0.00,313.00,ND,ND,0.00,ND,ND,ND
1997:Q2,408.00,0.00,0.00,0.00,0.00,408.00,0.00,408.00,ND,ND,0.00,ND,ND,ND
1997:Q3,1037.00,0.00,0.00,0.00,0.00,1037.00,0.00,1037.00,ND,ND,0.00,ND,ND,ND
1997:Q4,1682.00,0.00,0.00,0.00,0.00,1682.00,0.00,1682.00,ND,ND,0.00,ND,ND,ND
1998:Q1,574.00,0.00,0.00,0.00,0.00,574.00,0.00,574.00,ND,ND,0.00,ND,ND,ND
1998:Q2,860.00,0.00,0.00,0.00,0.00,860.00,0.00,860.00,ND,ND,0.00,ND,ND,ND
1998:Q3,1530.00,0.00,0.00,0.00,0.00,1530.00,0.00,1530.00,ND,ND,0.00,ND,ND,ND
1998:Q4,3060.00,0.00,0.00,0.00,0.00,3060.00,0.00,3060.00,ND,ND,0.00,ND,ND,ND
1999:Q1,305.00,0.00,0.00,0.00,0.00,305.00,0.00,305.00,ND,ND,0.00,ND,ND,ND
1999:Q2,2565.00,0.00,0.00,0.00,0.00,2565.00,0.00,2565.00,ND,ND,0.00,ND,ND,ND
1999:Q3,1416.00,0.00,0.00,0.00,0.00,1416.00,0.00,1416.00,ND,ND,0.00,ND,ND,ND
1999:Q4,7876.00,0.00,0.00,0.00,0.00,7876.00,0.00,7876.00,ND,ND,0.00,ND,ND,ND
2000:Q1,522.00,0.00,0.00,0.00,0.00,522.00,0.00,522.00,ND,ND,0.00,ND,ND,ND
2000:Q2,11578.00,0.00,0.00,0.00,0.00,11578.00,0.00,11578.00,ND,ND,0.00,ND,ND,ND
2000:Q3,3519.00,0.00,0.00,0.00,0.00,3519.00,0.00,3519.00,ND,ND,0.00,ND,ND,ND
2000:Q4,26792.00,0.00,0.00,0.00,0.00,26792.00,0.00,26792.00,ND,ND,0.00,ND,ND,ND
2001:Q1,14470.00,0.00,0.00,0.00,0.00,14470.00,0.00,14470.00,ND,ND,0.00,ND,ND,ND
2001:Q2,2828.00,0.00,0.00,0.00,0.00,2828.00,0.00,2828.00,ND,ND,0.00,ND,ND,ND
2001:Q3,6983.00,0.00,0.00,0.00,0.00,6983.00,0.00,6983.00,ND,ND,0.00,ND,ND,ND
2001:Q4,6732.00,0.00,0.00,0.00,0.00,6732.00,0.00,6732.00,0.00,0.00,0.00,0.00,0.00,0.00
2002:Q1,6009.00,0.00,0.00,0.00,0.00,6009.00,0.00,6009.00,5277.00,732.00,0.00,0.00,0.00,0.00
2002:Q2,16306.00,0.00,0.00,0.00,0.00,16306.00,0.00,16306.00,12562.00,3744.00,0.00,0.00,0.00,0.00
2002:Q3,10799.00,100.00,0.00,0.00,100.00,10699.00,0.00,10799.00,8583.00,-1531.00,0.00,0.00,3747.00,0.00
2002:Q4,12187.00,-17.00,-122.00,0.00,105.00,12204.00,0.00,12187.00,11357.00,847.00,0.00,0.00,-17.00,0.00
2003:Q1,1512.00,-287.00,-450.00,0.00,163.00,1799.00,0.00,1512.00,1614.00,185.00,0.00,0.00,-287.00,0.00
2003:Q2,3747.00,104.00,-260.00,0.00,364.00,3643.00,0.00,3747.00,2578.00,1065.00,0.00,0.00,104.00,0.00
2003:Q3,-6014.00,393.00,494.00,0.00,-101.00,-6407.00,0.00,-6014.00,-7739.00,1332.00,0.00,0.00,393.00,0.00
2003:Q4,16564.00,511.00,307.00,0.00,204.00,16053.00,0.00,16564.00,12872.00,3181.00,0.00,0.00,511.00,0.00
2004:Q1,7520.00,1282.00,899.00,0.00,383.00,6238.00,0.00,7520.00,1303.00,4935.00,0.00,0.00,1282.00,0.00
2004:Q2,15194.00,886.00,743.00,0.00,143.00,14308.00,0.00,15194.00,11548.00,2760.00,0.00,0.00,886.00,0.00
2004:Q3,6763.00,562.00,367.00,0.00,195.00,6201.00,0.00,6763.00,4520.00,1681.00,0.00,0.00,562.00,0.00
