1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,102691.00,84643.00,10833.00,0.00,0.00,10833.00,0.00,0.00,0.00,0.00,7215.00,102691.00,10211.00,0.00,0.00,4573.00,0.00,4573.00,242.00,9.00,0.00,0.00,0.00,2060.00,0.00,2060.00,53074.00,0.00,53074.00,18101.00,0.00,10670.00,0.00,1617.00,975.00,0.00,0.00,0.00,0.00,0.00,0.00,465.00,0.00,0.00,694.00,0.00,694.00
1963:Q1,104533.00,85579.00,11245.00,0.00,0.00,11245.00,0.00,0.00,0.00,0.00,7709.00,104533.00,10656.00,0.00,0.00,4594.00,0.00,4594.00,234.00,11.00,0.00,0.00,0.00,2074.00,0.00,2074.00,53821.00,0.00,53821.00,18444.00,0.00,11117.00,0.00,1612.00,1079.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,0.00,0.00,652.00,0.00,652.00
1963:Q2,106138.00,86695.00,11227.00,0.00,0.00,11227.00,0.00,0.00,0.00,0.00,8216.00,106138.00,10389.00,0.00,0.00,4430.00,0.00,4430.00,202.00,15.00,0.00,0.00,0.00,2041.00,0.00,2041.00,54759.00,0.00,54759.00,18847.00,0.00,11608.00,0.00,1609.00,1162.00,0.00,0.00,0.00,0.00,0.00,0.00,366.00,0.00,0.00,710.00,0.00,710.00
1963:Q3,106914.00,87225.00,11402.00,35.00,0.00,11367.00,0.00,0.00,0.00,0.00,8287.00,106914.00,9877.00,0.00,0.00,4221.00,0.00,4221.00,136.00,18.00,0.00,0.00,0.00,2008.00,0.00,2008.00,55247.00,0.00,55247.00,19267.00,0.00,12165.00,0.00,1705.00,1251.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00,0.00,0.00,705.00,0.00,705.00
1963:Q4,109006.00,88414.00,12384.00,233.00,0.00,12151.00,0.00,0.00,0.00,0.00,8208.00,109006.00,10143.00,0.00,0.00,3935.00,0.00,3935.00,107.00,19.00,0.00,0.00,0.00,2019.00,0.00,2019.00,55899.00,0.00,55899.00,19560.00,0.00,12783.00,0.00,1788.00,1313.00,0.00,0.00,0.00,0.00,0.00,0.00,689.00,0.00,0.00,751.00,0.00,751.00
1964:Q1,110663.00,89091.00,13475.00,420.00,0.00,13055.00,0.00,0.00,0.00,0.00,8097.00,110663.00,9961.00,0.00,0.00,4414.00,0.00,4414.00,101.00,17.00,0.00,0.00,0.00,2069.00,0.00,2069.00,56520.00,0.00,56520.00,19798.00,0.00,13400.00,0.00,1781.00,1430.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,0.00,0.00,782.00,0.00,782.00
1964:Q2,112651.00,90362.00,14040.00,533.00,0.00,13507.00,0.00,0.00,0.00,0.00,8249.00,112651.00,9509.00,0.00,0.00,4457.00,0.00,4457.00,103.00,12.00,0.00,0.00,0.00,2146.00,0.00,2146.00,57240.00,0.00,57240.00,20389.00,0.00,13948.00,0.00,1927.00,1464.00,0.00,0.00,0.00,0.00,0.00,0.00,640.00,0.00,0.00,816.00,0.00,816.00
1964:Q3,113888.00,91058.00,14625.00,677.00,0.00,13948.00,0.00,0.00,0.00,0.00,8205.00,113888.00,9628.00,0.00,0.00,4405.00,0.00,4405.00,127.00,7.00,0.00,0.00,0.00,2244.00,0.00,2244.00,57585.00,0.00,57585.00,20695.00,0.00,14455.00,0.00,2001.00,1486.00,0.00,0.00,0.00,0.00,0.00,0.00,356.00,0.00,0.00,899.00,0.00,899.00
1964:Q4,116608.00,92408.00,15525.00,773.00,0.00,14752.00,0.00,0.00,0.00,0.00,8675.00,116608.00,10290.00,0.00,0.00,4254.00,0.00,4254.00,122.00,1.00,0.00,0.00,0.00,2359.00,0.00,2359.00,58218.00,0.00,58218.00,21206.00,0.00,14944.00,0.00,2149.00,1499.00,0.00,0.00,0.00,0.00,0.00,0.00,607.00,0.00,0.00,959.00,0.00,959.00
1965:Q1,118122.00,93342.00,16015.00,893.00,0.00,15122.00,0.00,0.00,0.00,0.00,8765.00,118122.00,10113.00,0.00,0.00,4312.00,0.00,4312.00,121.00,1.00,0.00,0.00,0.00,2497.00,0.00,2497.00,58723.00,0.00,58723.00,21626.00,0.00,15441.00,0.00,2334.00,1578.00,0.00,0.00,0.00,0.00,0.00,0.00,399.00,0.00,0.00,977.00,0.00,977.00
1965:Q2,119857.00,94941.00,16081.00,1490.00,0.00,14591.00,0.00,0.00,0.00,0.00,8835.00,119857.00,9669.00,0.00,0.00,4327.00,0.00,4327.00,122.00,3.00,0.00,0.00,0.00,2666.00,0.00,2666.00,59382.00,0.00,59382.00,22084.00,0.00,15970.00,0.00,2406.00,1565.00,0.00,0.00,0.00,0.00,0.00,0.00,787.00,0.00,0.00,876.00,0.00,876.00
1965:Q3,121496.00,96634.00,15885.00,1517.00,0.00,14368.00,0.00,0.00,0.00,0.00,8977.00,121496.00,9965.00,0.00,0.00,4174.00,0.00,4174.00,136.00,6.00,0.00,0.00,0.00,2843.00,0.00,2843.00,60101.00,0.00,60101.00,22446.00,0.00,16576.00,0.00,2472.00,1544.00,0.00,0.00,0.00,0.00,0.00,0.00,372.00,0.00,0.00,861.00,0.00,861.00
1965:Q4,123125.00,97260.00,16730.00,1590.00,0.00,15140.00,0.00,0.00,0.00,0.00,9135.00,123125.00,9001.00,0.00,0.00,3979.00,0.00,3979.00,144.00,8.00,0.00,0.00,0.00,3004.00,0.00,3004.00,61043.00,0.00,61043.00,22703.00,0.00,17245.00,0.00,2554.00,1527.00,0.00,0.00,0.00,0.00,0.00,0.00,914.00,0.00,0.00,1003.00,0.00,1003.00
1966:Q1,126838.00,100223.00,17121.00,1633.00,0.00,15488.00,0.00,0.00,0.00,0.00,9494.00,126838.00,9721.00,0.00,0.00,3966.00,0.00,3966.00,135.00,12.00,0.00,0.00,0.00,3150.00,0.00,3150.00,62233.00,0.00,62233.00,23740.00,0.00,17964.00,0.00,2760.00,1585.00,0.00,0.00,0.00,0.00,0.00,0.00,363.00,0.00,0.00,1209.00,0.00,1209.00
1966:Q2,129857.00,102790.00,17438.00,1694.00,0.00,15744.00,0.00,0.00,0.00,0.00,9629.00,129857.00,9715.00,0.00,0.00,3977.00,0.00,3977.00,124.00,17.00,0.00,0.00,0.00,3283.00,0.00,3283.00,62807.00,0.00,62807.00,24162.00,0.00,18730.00,0.00,2824.00,1561.00,0.00,0.00,0.00,0.00,0.00,0.00,867.00,0.00,0.00,1790.00,0.00,1790.00
1966:Q3,132821.00,105223.00,17862.00,1694.00,0.00,16168.00,0.00,0.00,0.00,0.00,9736.00,132821.00,11259.00,0.00,0.00,4122.00,0.00,4122.00,147.00,22.00,0.00,0.00,0.00,3419.00,0.00,3419.00,63172.00,0.00,63172.00,24618.00,0.00,19487.00,0.00,2707.00,1542.00,0.00,0.00,0.00,0.00,0.00,0.00,378.00,0.00,0.00,1948.00,0.00,1948.00
1966:Q4,135674.00,107474.00,18330.00,1694.00,0.00,16636.00,0.00,0.00,0.00,0.00,9870.00,135674.00,11099.00,0.00,0.00,4281.00,0.00,4281.00,168.00,25.00,0.00,0.00,0.00,3575.00,0.00,3575.00,63418.00,0.00,63418.00,25231.00,0.00,20184.00,0.00,2915.00,1533.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.00,0.00,0.00,2217.00,0.00,2217.00
1967:Q1,139406.00,110617.00,18630.00,1897.00,0.00,16733.00,0.00,0.00,0.00,0.00,10159.00,139406.00,12064.00,0.00,0.00,5121.00,0.00,5121.00,184.00,33.00,0.00,0.00,0.00,3748.00,0.00,3748.00,64292.00,0.00,64292.00,25647.00,0.00,20990.00,0.00,2885.00,1606.00,0.00,0.00,0.00,0.00,0.00,0.00,456.00,0.00,0.00,2380.00,0.00,2380.00
1967:Q2,142895.00,114236.00,18263.00,1920.00,0.00,16343.00,0.00,0.00,0.00,0.00,10396.00,142895.00,12148.00,0.00,0.00,6116.00,0.00,6116.00,228.00,41.00,0.00,0.00,0.00,3904.00,0.00,3904.00,64985.00,0.00,64985.00,25806.00,0.00,21763.00,0.00,2660.00,1611.00,0.00,0.00,0.00,0.00,0.00,0.00,992.00,0.00,0.00,2641.00,0.00,2641.00
1967:Q3,148001.00,118745.00,18471.00,1955.00,0.00,16516.00,0.00,0.00,0.00,0.00,10785.00,148001.00,13264.00,0.00,0.00,6911.00,0.00,6911.00,294.00,50.00,0.00,0.00,0.00,4079.00,0.00,4079.00,65980.00,0.00,65980.00,26224.00,0.00,22837.00,0.00,2676.00,1626.00,0.00,0.00,0.00,0.00,0.00,0.00,1178.00,0.00,0.00,2882.00,0.00,2882.00
1967:Q4,152516.00,122132.00,19298.00,1963.00,0.00,17335.00,0.00,0.00,0.00,0.00,11086.00,152516.00,15075.00,0.00,0.00,7090.00,0.00,7090.00,334.00,60.00,0.00,0.00,0.00,4293.00,0.00,4293.00,67228.00,0.00,67228.00,26355.00,0.00,23921.00,0.00,2565.00,1661.00,0.00,0.00,0.00,0.00,0.00,0.00,1399.00,0.00,0.00,2535.00,0.00,2535.00
1968:Q1,155571.00,124734.00,19448.00,1963.00,0.00,17485.00,0.00,0.00,0.00,0.00,11389.00,155571.00,15246.00,0.00,0.00,7572.00,0.00,7572.00,329.00,65.00,0.00,0.00,0.00,4555.00,0.00,4555.00,68396.00,0.00,68396.00,26738.00,0.00,24404.00,0.00,2375.00,1723.00,0.00,0.00,0.00,0.00,0.00,0.00,1087.00,0.00,0.00,3081.00,0.00,3081.00
1968:Q2,159158.00,128262.00,19447.00,2139.00,0.00,17308.00,0.00,0.00,0.00,0.00,11449.00,159158.00,16467.00,0.00,0.00,7916.00,0.00,7916.00,303.00,68.00,0.00,0.00,0.00,4872.00,0.00,4872.00,69312.00,0.00,69312.00,26757.00,0.00,25079.00,0.00,2166.00,1820.00,0.00,0.00,0.00,0.00,0.00,0.00,731.00,0.00,0.00,3667.00,0.00,3667.00
1968:Q3,162631.00,131563.00,19385.00,2222.00,0.00,17163.00,0.00,0.00,0.00,0.00,11683.00,162631.00,16714.00,0.00,0.00,8270.00,0.00,8270.00,275.00,70.00,0.00,0.00,0.00,5192.00,0.00,5192.00,69985.00,0.00,69985.00,26984.00,0.00,25813.00,0.00,2078.00,1913.00,0.00,0.00,0.00,0.00,0.00,0.00,1005.00,0.00,0.00,4332.00,0.00,4332.00
1968:Q4,167090.00,135025.00,19895.00,2221.00,0.00,17674.00,0.00,0.00,0.00,0.00,12170.00,167090.00,18002.00,0.00,0.00,8799.00,0.00,8799.00,256.00,71.00,0.00,0.00,0.00,5464.00,0.00,5464.00,70936.00,0.00,70936.00,27000.00,0.00,26565.00,0.00,1963.00,1963.00,0.00,0.00,0.00,0.00,0.00,0.00,1220.00,0.00,0.00,4851.00,0.00,4851.00
1969:Q1,170204.00,138462.00,19255.00,2097.00,0.00,17158.00,0.00,0.00,0.00,0.00,12487.00,170204.00,18292.00,0.00,0.00,9152.00,0.00,9152.00,254.00,72.00,0.00,0.00,0.00,5694.00,0.00,5694.00,71989.00,0.00,71989.00,26836.00,0.00,27401.00,0.00,2210.00,2072.00,0.00,0.00,0.00,0.00,0.00,0.00,745.00,0.00,0.00,5487.00,0.00,5487.00
1969:Q2,173237.00,141743.00,18802.00,2009.00,0.00,16773.00,20.00,0.00,0.00,0.00,12692.00,173237.00,19116.00,0.00,0.00,8723.00,0.00,8723.00,248.00,72.00,0.00,0.00,0.00,5814.00,0.00,5814.00,72502.00,0.00,72502.00,26912.00,0.00,28374.00,0.00,2312.00,2069.00,0.00,0.00,0.00,0.00,0.00,0.00,1395.00,0.00,0.00,5700.00,0.00,5700.00
1969:Q3,177218.00,144467.00,19644.00,2015.00,0.00,17545.00,84.00,0.00,0.00,0.00,13107.00,177218.00,20946.00,0.00,0.00,8622.00,0.00,8622.00,242.00,72.00,0.00,0.00,0.00,6074.00,0.00,6074.00,72816.00,0.00,72816.00,27451.00,0.00,29526.00,0.00,2632.00,2039.00,0.00,0.00,0.00,0.00,0.00,0.00,871.00,0.00,0.00,5927.00,0.00,5927.00
1969:Q4,181125.00,147000.00,20927.00,2037.00,0.00,18795.00,95.00,0.00,0.00,0.00,13198.00,181125.00,22006.00,0.00,0.00,8812.00,0.00,8812.00,259.00,74.00,0.00,0.00,0.00,6273.00,0.00,6273.00,72673.00,0.00,72673.00,27613.00,0.00,30559.00,0.00,2884.00,1975.00,0.00,0.00,0.00,0.00,0.00,0.00,1581.00,0.00,0.00,6416.00,0.00,6416.00
1970:Q1,184076.00,150069.00,20527.00,2060.00,0.00,17227.00,302.00,0.00,938.00,0.00,13480.00,184076.00,21420.00,0.00,0.00,10191.00,0.00,10191.00,199.00,72.00,0.00,0.00,0.00,6757.00,0.00,6757.00,73186.00,0.00,73186.00,27998.00,0.00,31618.00,0.00,3328.00,1777.00,0.00,0.00,0.00,0.00,0.00,0.00,724.00,0.00,0.00,6806.00,0.00,6806.00
1970:Q2,190032.00,155797.00,20813.00,2093.00,0.00,17342.00,400.00,0.00,978.00,0.00,13422.00,190032.00,22664.00,0.00,0.00,11698.00,0.00,11698.00,234.00,68.00,0.00,0.00,0.00,7231.00,0.00,7231.00,73603.00,0.00,73603.00,28131.00,0.00,32736.00,0.00,3458.00,1594.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.00,0.00,0.00,7274.00,0.00,7274.00
1970:Q3,196459.00,161157.00,21484.00,2110.00,0.00,17920.00,400.00,0.00,1054.00,0.00,13818.00,196459.00,26399.00,0.00,0.00,11662.00,0.00,11662.00,229.00,64.00,0.00,0.00,0.00,7902.00,0.00,7902.00,73780.00,0.00,73780.00,28629.00,0.00,34033.00,0.00,3499.00,1423.00,0.00,0.00,0.00,0.00,0.00,0.00,1231.00,0.00,0.00,7608.00,0.00,7608.00
1970:Q4,204296.00,166756.00,23468.00,2135.00,0.00,19633.00,600.00,0.00,1100.00,0.00,14072.00,204296.00,29738.00,0.00,0.00,12299.00,0.00,12299.00,551.00,59.00,0.00,0.00,0.00,8578.00,0.00,8578.00,74144.00,0.00,74144.00,29443.00,0.00,35055.00,0.00,3479.00,1351.00,0.00,0.00,0.00,0.00,0.00,0.00,1690.00,0.00,0.00,7909.00,0.00,7909.00
1971:Q1,211629.00,172222.00,25053.00,2550.00,0.00,19669.00,715.00,0.00,2119.00,0.00,14354.00,211629.00,31977.00,0.00,0.00,15286.00,0.00,15286.00,272.00,59.00,0.00,0.00,0.00,8823.00,0.00,8823.00,75295.00,0.00,75295.00,28753.00,0.00,36274.00,0.00,3358.00,1436.00,0.00,0.00,0.00,0.00,0.00,0.00,1706.00,0.00,0.00,8390.00,0.00,8390.00
1971:Q2,217767.00,177621.00,25524.00,2638.00,0.00,19789.00,979.00,0.00,2118.00,0.00,14622.00,217767.00,34744.00,0.00,0.00,16513.00,0.00,16513.00,246.00,59.00,0.00,0.00,0.00,8910.00,0.00,8910.00,76292.00,0.00,76292.00,28355.00,0.00,37498.00,0.00,3577.00,1556.00,0.00,0.00,0.00,0.00,0.00,0.00,1428.00,0.00,0.00,8589.00,0.00,8589.00
1971:Q3,222668.00,181204.00,26530.00,2775.00,0.00,20718.00,895.00,0.00,2142.00,0.00,14934.00,222668.00,37206.00,0.00,0.00,17833.00,0.00,17833.00,259.00,60.00,0.00,0.00,0.00,8903.00,0.00,8903.00,77516.00,0.00,77516.00,27891.00,0.00,38136.00,0.00,3453.00,1697.00,0.00,0.00,0.00,0.00,0.00,0.00,749.00,0.00,0.00,8965.00,0.00,8965.00
1971:Q4,228780.00,185563.00,28205.00,2990.00,0.00,21961.00,1016.00,0.00,2238.00,0.00,15012.00,228780.00,37357.00,0.00,0.00,18397.00,0.00,18397.00,256.00,60.00,0.00,0.00,0.00,8863.00,0.00,8863.00,79610.00,0.00,79610.00,28614.00,0.00,38996.00,0.00,3662.00,1788.00,0.00,0.00,0.00,0.00,0.00,0.00,1815.00,0.00,0.00,9362.00,0.00,9362.00
1972:Q1,233774.00,188338.00,29941.00,3486.00,0.00,22632.00,1152.00,0.00,2671.00,0.00,15495.00,233774.00,37719.00,0.00,0.00,20942.00,0.00,20942.00,242.00,61.00,0.00,0.00,0.00,8764.00,0.00,8764.00,80905.00,0.00,80905.00,28491.00,0.00,40118.00,0.00,3929.00,1921.00,0.00,0.00,0.00,0.00,0.00,0.00,955.00,0.00,0.00,9727.00,0.00,9727.00
1972:Q2,239770.00,192150.00,31703.00,3623.00,0.00,23592.00,1280.00,0.00,3208.00,0.00,15917.00,239770.00,38169.00,0.00,0.00,22407.00,0.00,22407.00,211.00,62.00,0.00,0.00,0.00,8574.00,0.00,8574.00,82897.00,0.00,82897.00,29376.00,0.00,40719.00,0.00,3957.00,1951.00,0.00,0.00,0.00,0.00,0.00,0.00,929.00,0.00,0.00,10518.00,0.00,10518.00
1972:Q3,244117.00,195187.00,33141.00,3760.00,0.00,24313.00,1330.00,0.00,3738.00,0.00,15789.00,244117.00,38783.00,0.00,0.00,22550.00,0.00,22550.00,188.00,63.00,0.00,0.00,0.00,8349.00,0.00,8349.00,84245.00,0.00,84245.00,30609.00,0.00,42075.00,0.00,4117.00,1977.00,0.00,0.00,0.00,0.00,0.00,0.00,405.00,0.00,0.00,10756.00,0.00,10756.00
1972:Q4,249414.00,197750.00,35622.00,4127.00,0.00,25953.00,1390.00,0.00,4152.00,0.00,16042.00,249414.00,38506.00,0.00,0.00,22276.00,0.00,22276.00,333.00,64.00,0.00,0.00,0.00,8141.00,0.00,8141.00,86602.00,0.00,86602.00,30604.00,0.00,43227.00,0.00,4163.00,2028.00,0.00,0.00,0.00,0.00,0.00,0.00,2034.00,0.00,0.00,11436.00,0.00,11436.00
1973:Q1,252708.00,199202.00,37331.00,4059.00,0.00,27272.00,1540.00,0.00,4460.00,0.00,16175.00,252708.00,38757.00,0.00,0.00,22544.00,0.00,22544.00,252.00,69.00,0.00,0.00,0.00,8028.00,0.00,8028.00,87784.00,0.00,87784.00,31559.00,0.00,44592.00,0.00,4338.00,2195.00,0.00,0.00,0.00,0.00,0.00,0.00,710.00,0.00,0.00,11880.00,0.00,11880.00
1973:Q2,256442.00,202249.00,37868.00,3959.00,0.00,27518.00,1718.00,0.00,4673.00,0.00,16325.00,256442.00,38567.00,0.00,0.00,22120.00,0.00,22120.00,277.00,74.00,0.00,0.00,0.00,7903.00,0.00,7903.00,89712.00,0.00,89712.00,32043.00,0.00,45995.00,0.00,4227.00,2313.00,0.00,0.00,0.00,0.00,0.00,0.00,970.00,0.00,0.00,12241.00,0.00,12241.00
1973:Q3,260545.00,204906.00,39093.00,3940.00,0.00,28526.00,1770.00,0.00,4857.00,0.00,16546.00,260545.00,40526.00,0.00,0.00,20383.00,0.00,20383.00,252.00,74.00,0.00,0.00,0.00,7863.00,0.00,7863.00,91379.00,0.00,91379.00,32978.00,0.00,47427.00,0.00,4161.00,2418.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,0.00,0.00,12544.00,0.00,12544.00
1973:Q4,264923.00,206909.00,41014.00,4135.00,0.00,29861.00,1940.00,0.00,5078.00,0.00,17000.00,264923.00,41469.00,0.00,0.00,19571.00,0.00,19571.00,290.00,74.00,0.00,0.00,0.00,8002.00,0.00,8002.00,92455.00,0.00,92455.00,32733.00,0.00,48437.00,0.00,4312.00,2464.00,0.00,0.00,0.00,0.00,0.00,0.00,2388.00,0.00,0.00,12728.00,0.00,12728.00
1974:Q1,269412.00,210614.00,41121.00,4200.00,0.00,29521.00,2070.00,0.00,5330.00,0.00,17677.00,269412.00,43127.00,0.00,0.00,19847.00,0.00,19847.00,289.00,75.00,0.00,0.00,0.00,8336.00,0.00,8336.00,93935.00,0.00,93935.00,32694.00,0.00,49733.00,0.00,4516.00,2547.00,0.00,0.00,0.00,0.00,0.00,0.00,1476.00,0.00,0.00,12837.00,0.00,12837.00
1974:Q2,276672.00,216000.00,42522.00,4310.00,0.00,30526.00,2077.00,0.00,5609.00,0.00,18150.00,276672.00,45766.00,0.00,0.00,19331.00,0.00,19331.00,279.00,75.00,0.00,0.00,0.00,8871.00,0.00,8871.00,95343.00,0.00,95343.00,32897.00,0.00,51433.00,0.00,4702.00,2468.00,0.00,0.00,0.00,0.00,0.00,0.00,2177.00,0.00,0.00,13330.00,0.00,13330.00
1974:Q3,283226.00,220192.00,44469.00,4300.00,0.00,32258.00,2043.00,0.00,5868.00,0.00,18565.00,283226.00,47998.00,0.00,0.00,19303.00,0.00,19303.00,291.00,75.00,0.00,0.00,0.00,9472.00,0.00,9472.00,96116.00,0.00,96116.00,33745.00,0.00,53594.00,0.00,4693.00,2379.00,0.00,0.00,0.00,0.00,0.00,0.00,1744.00,0.00,0.00,13816.00,0.00,13816.00
1974:Q4,293892.00,226579.00,47941.00,4290.00,0.00,35492.00,2099.00,0.00,6060.00,0.00,19372.00,293892.00,54410.00,0.00,0.00,20414.00,0.00,20414.00,303.00,75.00,0.00,0.00,0.00,10012.00,0.00,10012.00,96443.00,0.00,96443.00,35009.00,0.00,54533.00,0.00,4882.00,2328.00,0.00,0.00,0.00,0.00,0.00,0.00,1789.00,0.00,0.00,13694.00,0.00,13694.00
1975:Q1,306419.00,236009.00,48930.00,4335.00,0.00,36649.00,1851.00,0.00,6095.00,0.00,21480.00,306419.00,57759.00,0.00,0.00,22992.00,0.00,22992.00,303.00,72.00,0.00,0.00,0.00,10517.00,0.00,10517.00,98662.00,0.00,98662.00,37113.00,0.00,56425.00,0.00,5125.00,2397.00,0.00,0.00,0.00,0.00,0.00,0.00,1130.00,0.00,0.00,13924.00,0.00,13924.00
1975:Q2,316063.00,244281.00,49081.00,4362.00,0.00,37236.00,1600.00,0.00,5883.00,0.00,22701.00,316063.00,55844.00,0.00,0.00,28253.00,0.00,28253.00,337.00,75.00,0.00,0.00,0.00,11134.00,0.00,11134.00,100275.00,0.00,100275.00,38643.00,0.00,58093.00,0.00,5325.00,2396.00,0.00,0.00,0.00,0.00,0.00,0.00,1809.00,0.00,0.00,13879.00,0.00,13879.00
1975:Q3,322435.00,247958.00,50510.00,4480.00,0.00,38846.00,1351.00,0.00,5833.00,0.00,23967.00,322435.00,60060.00,0.00,0.00,25759.00,0.00,25759.00,320.00,78.00,0.00,0.00,0.00,11841.00,0.00,11841.00,102031.00,0.00,102031.00,40128.00,0.00,59249.00,0.00,5461.00,2406.00,0.00,0.00,0.00,0.00,0.00,0.00,1272.00,0.00,0.00,13830.00,0.00,13830.00
1975:Q4,336387.00,253783.00,56064.00,4529.00,0.00,40435.00,1100.00,0.00,10000.00,0.00,26540.00,336387.00,64342.00,0.00,0.00,24443.00,0.00,24443.00,336.00,81.00,0.00,0.00,0.00,12192.00,0.00,12192.00,105538.00,0.00,105538.00,41911.00,0.00,60980.00,0.00,5622.00,2417.00,0.00,0.00,0.00,0.00,0.00,0.00,2992.00,1050.00,0.00,14483.00,0.00,14483.00
1976:Q1,345447.00,260254.00,56298.00,4700.00,0.00,40122.00,976.00,0.00,10500.00,0.00,28895.00,345447.00,61293.00,0.00,0.00,30714.00,0.00,30714.00,265.00,100.00,0.00,0.00,0.00,13599.00,0.00,13599.00,109446.00,0.00,109446.00,42444.00,0.00,62269.00,0.00,5514.00,2534.00,0.00,0.00,0.00,0.00,0.00,0.00,1435.00,1120.00,0.00,14714.00,0.00,14714.00
1976:Q2,354015.00,265211.00,58562.00,4966.00,0.00,41596.00,1000.00,0.00,11000.00,0.00,30242.00,354015.00,63655.00,0.00,0.00,29303.00,0.00,29303.00,274.00,127.00,0.00,0.00,0.00,14606.00,0.00,14606.00,112852.00,0.00,112852.00,42922.00,0.00,64050.00,0.00,5663.00,2592.00,0.00,0.00,0.00,0.00,0.00,0.00,1647.00,1190.00,0.00,15134.00,0.00,15134.00
1976:Q3,364073.00,270908.00,60344.00,5140.00,0.00,42231.00,973.00,0.00,12000.00,0.00,32821.00,364073.00,67677.00,0.00,0.00,29218.00,0.00,29218.00,262.00,138.00,0.00,0.00,0.00,15724.00,0.00,15724.00,117189.00,0.00,117189.00,41415.00,0.00,65410.00,0.00,5746.00,2633.00,0.00,0.00,0.00,0.00,0.00,0.00,1956.00,1260.00,0.00,15445.00,0.00,15445.00
1976:Q4,374333.00,276614.00,63015.00,5301.00,0.00,43959.00,916.00,0.00,12839.00,0.00,34704.00,374333.00,74817.00,0.00,0.00,29296.00,0.00,29296.00,262.00,150.00,0.00,0.00,0.00,16106.00,0.00,16106.00,122422.00,0.00,122422.00,40244.00,0.00,65706.00,0.00,5971.00,2609.00,0.00,0.00,0.00,0.00,0.00,0.00,2091.00,1439.00,0.00,13220.00,0.00,13220.00
1977:Q1,381825.00,282016.00,64550.00,5350.00,0.00,44816.00,884.00,0.00,13500.00,0.00,35259.00,381825.00,76046.00,0.00,0.00,31561.00,0.00,31561.00,252.00,200.00,0.00,0.00,0.00,15664.00,0.00,15664.00,126654.00,0.00,126654.00,40117.00,0.00,65463.00,0.00,6101.00,2512.00,0.00,0.00,0.00,0.00,0.00,0.00,1891.00,1610.00,0.00,13754.00,0.00,13754.00
1977:Q2,391611.00,285712.00,68973.00,6037.00,0.00,47887.00,849.00,0.00,14200.00,0.00,36926.00,391611.00,75821.00,0.00,0.00,29868.00,0.00,29868.00,251.00,261.00,0.00,0.00,0.00,18990.00,0.00,18990.00,131573.00,0.00,131573.00,41244.00,0.00,65725.00,0.00,6283.00,2332.00,0.00,0.00,0.00,0.00,0.00,0.00,2254.00,1820.00,0.00,15189.00,0.00,15189.00
1977:Q3,401138.00,291816.00,70516.00,6294.00,0.00,48566.00,856.00,0.00,14800.00,0.00,38806.00,401138.00,76339.00,0.00,0.00,29808.00,0.00,29808.00,293.00,260.00,0.00,0.00,0.00,19822.00,0.00,19822.00,135040.00,0.00,135040.00,41567.00,0.00,68643.00,0.00,6832.00,2154.00,0.00,0.00,0.00,0.00,0.00,0.00,2152.00,2100.00,0.00,16128.00,0.00,16128.00
1977:Q4,414097.00,299491.00,75277.00,7010.00,0.00,52059.00,829.00,0.00,15379.00,0.00,39329.00,414097.00,80112.00,0.00,0.00,27851.00,0.00,27851.00,419.00,257.00,0.00,0.00,0.00,19788.00,0.00,19788.00,141180.00,0.00,141180.00,44552.00,0.00,71286.00,0.00,7037.00,2064.00,0.00,0.00,0.00,0.00,0.00,0.00,2150.00,2344.00,0.00,15057.00,0.00,15057.00
1978:Q1,421691.00,303936.00,77088.00,7065.00,0.00,53701.00,722.00,0.00,15600.00,0.00,40667.00,421691.00,78317.00,0.00,0.00,30150.00,0.00,30150.00,464.00,277.00,0.00,0.00,0.00,20473.00,0.00,20473.00,145603.00,0.00,145603.00,45355.00,0.00,72486.00,0.00,6882.00,2132.00,0.00,0.00,0.00,0.00,0.00,0.00,2178.00,2100.00,0.00,15274.00,0.00,15274.00
