date,FU344090025.Q,FU344022025.Q,FU343061155.Q,FU343061723.Q,FU343063023.Q,FU343064123.Q,FU343073053.Q,FU344090025.Q
1990:Q4,964.00,783.00,737.00,0.00,46.00,181.00,0.00,964.00
1991:Q1,674.00,608.00,583.00,0.00,25.00,66.00,0.00,674.00
1991:Q2,771.00,746.00,733.00,0.00,13.00,25.00,0.00,771.00
1991:Q3,766.00,601.00,569.00,20.00,12.00,165.00,0.00,766.00
1991:Q4,1029.00,810.00,770.00,25.00,15.00,219.00,0.00,1029.00
1992:Q1,929.00,558.00,502.00,35.00,21.00,371.00,0.00,929.00
1992:Q2,1107.00,822.00,778.00,27.00,17.00,285.00,0.00,1107.00
1992:Q3,1005.00,755.00,689.00,41.00,25.00,250.00,0.00,1005.00
1992:Q4,1220.00,914.00,858.00,35.00,21.00,306.00,0.00,1220.00
1993:Q1,1075.00,676.00,621.00,34.00,21.00,399.00,0.00,1075.00
1993:Q2,1218.00,873.00,791.00,51.00,31.00,345.00,0.00,1218.00
1993:Q3,1229.00,833.00,730.00,64.00,39.00,396.00,0.00,1229.00
1993:Q4,1350.00,824.00,748.00,48.00,28.00,526.00,0.00,1350.00
1994:Q1,1193.00,605.00,513.00,58.00,34.00,588.00,0.00,1193.00
1994:Q2,1158.00,787.00,762.00,16.00,9.00,371.00,0.00,1158.00
1994:Q3,1541.00,1144.00,1114.00,19.00,11.00,397.00,0.00,1541.00
1994:Q4,1266.00,920.00,924.00,-3.00,-1.00,346.00,0.00,1266.00
1995:Q1,1721.00,1345.00,1320.00,16.00,9.00,376.00,0.00,1721.00
1995:Q2,1523.00,889.00,847.00,27.00,15.00,634.00,0.00,1523.00
1995:Q3,1401.00,667.00,617.00,32.00,18.00,734.00,0.00,1401.00
1995:Q4,1498.00,-8301.00,-8373.00,44.00,28.00,891.00,8908.00,1498.00
1996:Q1,1663.00,9539.00,9457.00,50.00,32.00,1032.00,-8908.00,1663.00
1996:Q2,1919.00,676.00,670.00,4.00,2.00,1243.00,0.00,1919.00
1996:Q3,1350.00,456.00,410.00,28.00,18.00,894.00,0.00,1350.00
1996:Q4,1829.00,796.00,783.00,8.00,5.00,1033.00,0.00,1829.00
1997:Q1,1166.00,240.00,230.00,6.00,4.00,926.00,0.00,1166.00
1997:Q2,1917.00,827.00,812.00,9.00,6.00,1090.00,0.00,1917.00
1997:Q3,1174.00,-36.00,-62.00,16.00,10.00,1210.00,0.00,1174.00
1997:Q4,2055.00,877.00,814.00,39.00,24.00,1178.00,0.00,2055.00
1998:Q1,1337.00,310.00,245.00,40.00,25.00,1027.00,0.00,1337.00
1998:Q2,1997.00,561.00,521.00,25.00,15.00,1436.00,0.00,1997.00
1998:Q3,694.00,248.00,140.00,67.00,41.00,446.00,0.00,694.00
1998:Q4,2684.00,1615.00,1485.00,78.00,52.00,1069.00,0.00,2684.00
1999:Q1,1082.00,18.00,-27.00,27.00,18.00,1064.00,0.00,1082.00
1999:Q2,2297.00,1015.00,1000.00,9.00,6.00,1282.00,0.00,2297.00
1999:Q3,1446.00,517.00,541.00,-14.00,-10.00,929.00,0.00,1446.00
1999:Q4,2223.00,1082.00,1154.00,-45.00,-27.00,1141.00,0.00,2223.00
2000:Q1,1832.00,-245.00,-148.00,-61.00,-36.00,2077.00,0.00,1832.00
2000:Q2,1872.00,624.00,646.00,-14.00,-8.00,1248.00,0.00,1872.00
2000:Q3,1977.00,713.00,680.00,21.00,12.00,1264.00,0.00,1977.00
2000:Q4,1608.00,982.00,811.00,112.00,59.00,626.00,0.00,1608.00
2001:Q1,1818.00,2638.00,1862.00,510.00,266.00,-820.00,0.00,1818.00
2001:Q2,2468.00,1673.00,1431.00,159.00,83.00,795.00,0.00,2468.00
2001:Q3,1600.00,2740.00,1715.00,674.00,351.00,-1140.00,0.00,1600.00
2001:Q4,3073.00,2499.00,2018.00,302.00,179.00,574.00,0.00,3073.00
2002:Q1,3036.00,1668.00,1727.00,-37.00,-22.00,1368.00,0.00,3036.00
2002:Q2,2099.00,1576.00,1282.00,185.00,109.00,523.00,0.00,2099.00
2002:Q3,3401.00,4618.00,3625.00,624.00,369.00,-1217.00,0.00,3401.00
2002:Q4,2678.00,2230.00,1973.00,165.00,92.00,448.00,0.00,2678.00
2003:Q1,3496.00,-45729.00,-46603.00,560.00,314.00,-295.00,49520.00,3496.00
2003:Q2,3286.00,50124.00,50116.00,5.00,3.00,2682.00,-49520.00,3286.00
2003:Q3,3218.00,-551.00,674.00,-785.00,-440.00,3769.00,0.00,3218.00
2003:Q4,3393.00,-965.00,-191.00,-496.00,-278.00,4358.00,0.00,3393.00
2004:Q1,3321.00,230.00,535.00,-196.00,-109.00,3091.00,0.00,3321.00
2004:Q2,2906.00,1753.00,2067.00,-201.00,-113.00,1153.00,0.00,2906.00
2004:Q3,4088.00,2713.00,2493.00,141.00,79.00,1375.00,0.00,4088.00
2004:Q4,3958.00,65.00,244.00,-117.00,-62.00,3893.00,0.00,3958.00
2005:Q1,3890.00,2240.00,2225.00,10.00,5.00,1650.00,0.00,3890.00
2005:Q2,3748.00,2962.00,2772.00,124.00,66.00,786.00,0.00,3748.00
2005:Q3,4180.00,2029.00,1942.00,57.00,30.00,2151.00,0.00,4180.00
2005:Q4,3815.00,819.00,908.00,-59.00,-30.00,2996.00,0.00,3815.00
2006:Q1,3963.00,1431.00,1448.00,-11.00,-6.00,2532.00,0.00,3963.00
2006:Q2,3991.00,4602.00,4635.00,-22.00,-11.00,-611.00,0.00,3991.00
2006:Q3,3828.00,1891.00,1687.00,136.00,68.00,1937.00,0.00,3828.00
2006:Q4,4027.00,803.00,661.00,92.00,50.00,3224.00,0.00,4027.00
2007:Q1,4097.00,3802.00,3615.00,121.00,66.00,295.00,0.00,4097.00
2007:Q2,3752.00,1062.00,1059.00,2.00,1.00,2690.00,0.00,3752.00
2007:Q3,3646.00,4370.00,4074.00,191.00,105.00,-724.00,0.00,3646.00
2007:Q4,4188.00,2841.00,2605.00,147.00,89.00,1347.00,0.00,4188.00
2008:Q1,3814.00,10120.00,8537.00,987.00,596.00,-6306.00,0.00,3814.00
2008:Q2,4142.00,2133.00,2348.00,-134.00,-81.00,2009.00,0.00,4142.00
2008:Q3,4140.00,7107.00,7073.00,21.00,13.00,-2967.00,0.00,4140.00
2008:Q4,4852.00,5268.00,6375.00,-718.00,-389.00,-416.00,0.00,4852.00
2009:Q1,3874.00,4337.00,4389.00,-34.00,-18.00,-463.00,0.00,3874.00
2009:Q2,4974.00,544.00,387.00,102.00,55.00,4430.00,0.00,4974.00
2009:Q3,3381.00,1107.00,557.00,357.00,193.00,2274.00,0.00,3381.00
2009:Q4,6011.00,2184.00,1716.00,286.00,182.00,3827.00,0.00,6011.00
2010:Q1,4004.00,1736.00,1495.00,147.00,94.00,2268.00,0.00,4004.00
2010:Q2,4937.00,4479.00,4035.00,271.00,173.00,458.00,0.00,4937.00
2010:Q3,4246.00,4986.00,3878.00,677.00,431.00,-740.00,0.00,4246.00
2010:Q4,4776.00,444.00,942.00,-297.00,-201.00,4332.00,0.00,4776.00
2011:Q1,4149.00,3769.00,3913.00,-86.00,-58.00,380.00,0.00,4149.00
2011:Q2,4928.00,-100623.00,-101219.00,356.00,240.00,854.00,104697.00,4928.00
2011:Q3,4111.00,112849.00,112350.00,298.00,201.00,-4041.00,-104697.00,4111.00
2011:Q4,9784.00,9250.00,8698.00,314.00,238.00,534.00,0.00,9784.00
2012:Q1,3621.00,-165.00,-1080.00,521.00,394.00,2024.00,1762.00,3621.00
2012:Q2,3763.00,6098.00,4988.00,632.00,478.00,-573.00,-1762.00,3763.00
2012:Q3,3599.00,4630.00,3829.00,456.00,345.00,-1031.00,0.00,3599.00
2012:Q4,3559.00,4852.00,4669.00,101.00,82.00,-2519.00,1226.00,3559.00
2013:Q1,2419.00,-3326.00,-2337.00,-546.00,-443.00,4405.00,1340.00,2419.00
2013:Q2,3065.00,-10955.00,-10120.00,-461.00,-374.00,2560.00,11460.00,3065.00
2013:Q3,4507.00,-95705.00,-94886.00,-452.00,-367.00,-1493.00,101705.00,4507.00
2013:Q4,8995.00,119613.00,119999.00,-199.00,-187.00,5113.00,-115731.00,8995.00
2014:Q1,3821.00,1691.00,3060.00,-706.00,-663.00,2130.00,0.00,3821.00
2014:Q2,2598.00,2465.00,2106.00,185.00,174.00,133.00,0.00,2598.00
2014:Q3,7143.00,5289.00,5302.00,-7.00,-6.00,1854.00,0.00,7143.00
2014:Q4,9062.00,7984.00,7694.00,145.00,145.00,1078.00,0.00,9062.00
2015:Q1,3451.00,-59204.00,-59462.00,129.00,129.00,1734.00,60921.00,3451.00
2015:Q2,3050.00,-62742.00,-62942.00,100.00,100.00,-843.00,66635.00,3050.00
2015:Q3,4067.00,-68973.00,-68739.00,-117.00,-117.00,680.00,72360.00,4067.00
2015:Q4,7425.00,207133.00,207003.00,65.00,65.00,208.00,-199916.00,7425.00
2016:Q1,3469.00,6279.00,6125.00,77.00,77.00,-2810.00,0.00,3469.00
2016:Q2,1650.00,3778.00,3358.00,210.00,210.00,-2128.00,0.00,1650.00
2016:Q3,4033.00,5637.00,5093.00,272.00,272.00,-1604.00,0.00,4033.00
